Austria, Tempo-adjusted total fertility rates, Bongaarts-Feeney method
Last modified: 05/08/2021
Year    adjTFR
1985     1.735
1986     1.705
1987     1.647
1988     1.600
1989     1.664
1990     1.614
1991     1.578
1992     1.600
1993     1.717
1994     1.801
1995     1.739
1996     1.731
1997     1.585
1998     1.563
1999     1.519
2000     1.583
2001     1.606
2002     1.681
2003     1.587
2004     1.638
2005     1.728
2006     1.687
2007     1.613
2008     1.704
2009     1.710
2010     1.789
2011     1.778
2012     1.712
2013     1.628
2014     1.680
2015     1.648
2016     1.622
2017     1.706
2018     1.718
