Austria, Period fertility rates by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 05/08/2021
Year    Age        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1984     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984     13     0.00006     0.00006     0.00000     0.00000     0.00000     0.00000
1984     14     0.00018     0.00018     0.00000     0.00000     0.00000     0.00000
1984     15     0.00159     0.00155     0.00003     0.00000     0.00000     0.00000
1984     16     0.00654     0.00628     0.00024     0.00002     0.00000     0.00000
1984     17     0.01982     0.01886     0.00092     0.00003     0.00000     0.00000
1984     18     0.03826     0.03509     0.00301     0.00014     0.00002     0.00000
1984     19     0.06377     0.05411     0.00897     0.00067     0.00002     0.00000
1984     20     0.08605     0.06689     0.01756     0.00150     0.00009     0.00000
1984     21     0.09883     0.06630     0.02865     0.00333     0.00053     0.00002
1984     22     0.11176     0.06711     0.03776     0.00623     0.00058     0.00008
1984     23     0.11502     0.06067     0.04453     0.00850     0.00119     0.00013
1984     24     0.11647     0.05660     0.04628     0.01131     0.00187     0.00041
1984     25     0.11701     0.05113     0.04787     0.01439     0.00293     0.00070
1984     26     0.10801     0.04242     0.04624     0.01497     0.00344     0.00094
1984     27     0.09985     0.03732     0.04042     0.01740     0.00371     0.00100
1984     28     0.08956     0.02844     0.03780     0.01655     0.00506     0.00170
1984     29     0.08202     0.02395     0.03273     0.01782     0.00558     0.00195
1984     30     0.06962     0.01717     0.02703     0.01668     0.00632     0.00242
1984     31     0.05938     0.01350     0.02124     0.01508     0.00611     0.00345
1984     32     0.04959     0.00976     0.01686     0.01395     0.00596     0.00305
1984     33     0.04158     0.00704     0.01267     0.01171     0.00623     0.00392
1984     34     0.03465     0.00584     0.00922     0.00948     0.00592     0.00418
1984     35     0.02838     0.00417     0.00788     0.00779     0.00466     0.00388
1984     36     0.02203     0.00294     0.00562     0.00609     0.00406     0.00333
1984     37     0.01891     0.00248     0.00431     0.00505     0.00353     0.00355
1984     38     0.01389     0.00185     0.00273     0.00319     0.00268     0.00345
1984     39     0.00924     0.00118     0.00193     0.00233     0.00158     0.00222
1984     40     0.00675     0.00073     0.00126     0.00183     0.00116     0.00177
1984     41     0.00523     0.00039     0.00088     0.00114     0.00116     0.00167
1984     42     0.00352     0.00048     0.00039     0.00079     0.00066     0.00121
1984     43     0.00217     0.00014     0.00039     0.00037     0.00031     0.00097
1984     44     0.00114     0.00006     0.00011     0.00022     0.00022     0.00052
1984     45     0.00067     0.00000     0.00012     0.00016     0.00002     0.00037
1984     46     0.00059     0.00000     0.00005     0.00013     0.00008     0.00033
1984     47     0.00021     0.00000     0.00000     0.00003     0.00005     0.00013
1984     48     0.00005     0.00000     0.00000     0.00000     0.00003     0.00003
1984     49     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984     50     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984     51     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984     52     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984     53     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1985     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1985     13     0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
1985     14     0.00037     0.00037     0.00000     0.00000     0.00000     0.00000
1985     15     0.00138     0.00137     0.00002     0.00000     0.00000     0.00000
1985     16     0.00643     0.00627     0.00016     0.00000     0.00000     0.00000
1985     17     0.01754     0.01667     0.00085     0.00002     0.00000     0.00000
1985     18     0.03527     0.03265     0.00251     0.00011     0.00000     0.00000
1985     19     0.05848     0.05037     0.00762     0.00049     0.00000     0.00000
1985     20     0.07907     0.06162     0.01574     0.00156     0.00015     0.00000
1985     21     0.09318     0.06454     0.02580     0.00251     0.00030     0.00003
1985     22     0.10150     0.06095     0.03472     0.00506     0.00057     0.00020
1985     23     0.10867     0.05870     0.04139     0.00737     0.00102     0.00018
1985     24     0.11656     0.05547     0.04745     0.01151     0.00176     0.00036
1985     25     0.11246     0.05046     0.04660     0.01230     0.00257     0.00054
1985     26     0.10655     0.04229     0.04553     0.01469     0.00318     0.00085
1985     27     0.10026     0.03636     0.04196     0.01660     0.00401     0.00132
