Austria, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 05/08/2021
Year   Age   Cohort      ASFR
1951   12-       .    0.00000
1951   13     1938    0.00000
1951   13     1937    0.00000
1951   14     1937    0.00029
1951   14     1936    0.00045
1951   15     1936    0.00152
1951   15     1935    0.00147
1951   16     1935    0.00705
1951   16     1934    0.00990
1951   17     1934    0.02227
1951   17     1933    0.03014
1951   18     1933    0.04562
1951   18     1932    0.05675
1951   19     1932    0.06988
1951   19     1931    0.08721
1951   20     1931    0.09553
1951   20     1930    0.10480
1951   21     1930    0.10682
1951   21     1929    0.11422
1951   22     1929    0.11197
1951   22     1928    0.12655
1951   23     1928    0.12062
1951   23     1927    0.12026
1951   24     1927    0.11899
1951   24     1926    0.12629
1951   25     1926    0.11856
1951   25     1925    0.12381
1951   26     1925    0.11406
1951   26     1924    0.11944
1951   27     1924    0.11422
1951   27     1923    0.11660
1951   28     1923    0.10408
1951   28     1922    0.11094
1951   29     1922    0.10050
1951   29     1921    0.11334
1951   30     1921    0.09600
1951   30     1920    0.10193
1951   31     1920    0.08518
1951   31     1919    0.09243
1951   32     1919    0.07741
1951   32     1918    0.07442
1951   33     1918    0.06934
1951   33     1917    0.06980
1951   34     1917    0.06395
1951   34     1916    0.06260
1951   35     1916    0.05680
1951   35     1915    0.05764
1951   36     1915    0.05063
1951   36     1914    0.05600
1951   37     1914    0.04685
1951   37     1913    0.04689
1951   38     1913    0.03924
1951   38     1912    0.04142
1951   39     1912    0.03360
1951   39     1911    0.03365
1951   40     1911    0.02839
1951   40     1910    0.02721
1951   41     1910    0.01991
1951   41     1909    0.02158
1951   42     1909    0.01514
1951   42     1908    0.01551
1951   43     1908    0.01101
1951   43     1907    0.00961
1951   44     1907    0.00540
1951   44     1906    0.00649
1951   45     1906    0.00387
1951   45     1905    0.00299
1951   46     1905    0.00193
1951   46     1904    0.00143
1951   47     1904    0.00093
1951   47     1903    0.00084
1951   48     1903    0.00031
1951   48     1902    0.00046
1951   49     1902    0.00017
1951   49     1901    0.00016
1951   50     1901    0.00016
1951   50     1900    0.00018
1951   51     1900    0.00011
1951   51     1899    0.00003
1951   52     1899    0.00001
1951   52     1898    0.00000
1951   53     1898    0.00000
1951   53     1897    0.00000
1951   54     1897    0.00000
1951   54     1896    0.00000
1951   55+       .    0.00000
1952   12-       .    0.00000
1952   13     1939    0.00000
1952   13     1938    0.00009
1952   14     1938    0.00027
1952   14     1937    0.00051
1952   15     1937    0.00098
1952   15     1936    0.00246
1952   16     1936    0.00636
1952   16     1935    0.01005
1952   17     1935    0.02159
1952   17     1934    0.02889
1952   18     1934    0.04489
1952   18     1933    0.05636
1952   19     1933    0.07415
1952   19     1932    0.09038
1952   20     1932    0.10039
1952   20     1931    0.10423
1952   21     1931    0.10871
1952   21     1930    0.11856
1952   22     1930    0.11860
1952   22     1929    0.12843
1952   23     1929    0.12088
1952   23     1928    0.12613
1952   24     1928    0.12652
1952   24     1927    0.12999
1952   25     1927    0.12069
1952   25     1926    0.12700
1952   26     1926    0.12157
1952   26     1925    0.12713
1952   27     1925    0.11685
1952   27     1924    0.11900
1952   28     1924    0.10984
1952   28     1923    0.11070
1952   29     1923    0.10190
1952   29     1922    0.10738
1952   30     1922    0.09962
1952   30     1921    0.09842
1952   31     1921    0.08710
1952   31     1920    0.09152
1952   32     1920    0.08114
1952   32     1919    0.08398
1952   33     1919    0.06955
1952   33     1918    0.07671
1952   34     1918    0.06546
1952   34     1917    0.06499
1952   35     1917    0.05603
1952   35     1916    0.05621
1952   36     1916    0.05173
1952   36     1915    0.05112
1952   37     1915    0.04732
1952   37     1914    0.04764
1952   38     1914    0.03979
1952   38     1913    0.03970
1952   39     1913    0.03422
1952   39     1912    0.03259
1952   40     1912    0.02646
1952   40     1911    0.02509
1952   41     1911    0.02210
1952   41     1910    0.02105
1952   42     1910    0.01555
1952   42     1909    0.01407
1952   43     1909    0.01057
1952   43     1908    0.00936
1952   44     1908    0.00610
1952   44     1907    0.00515
1952   45     1907    0.00389
1952   45     1906    0.00312
1952   46     1906    0.00200
1952   46     1905    0.00116
1952   47     1905    0.00081
1952   47     1904    0.00048
1952   48     1904    0.00024
1952   48     1903    0.00028
1952   49     1903    0.00018
1952   49     1902    0.00011
1952   50     1902    0.00010
1952   50     1901    0.00010
1952   51     1901    0.00004
1952   51     1900    0.00000
1952   52     1900    0.00000
1952   52     1899    0.00000
1952   53     1899    0.00000
1952   53     1898    0.00000
1952   54     1898    0.00000
1952   54     1897    0.00000
1952   55+       .    0.00000
