Austria, Period fertility rates by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 05/08/2021
Year   Age   Cohort      ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1984   12-       .    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984   13     1971    0.00007     0.00007     0.00000     0.00000     0.00000     0.00000
1984   13     1970    0.00004     0.00004     0.00000     0.00000     0.00000     0.00000
1984   14     1970    0.00011     0.00011     0.00000     0.00000     0.00000     0.00000
1984   14     1969    0.00024     0.00024     0.00000     0.00000     0.00000     0.00000
1984   15     1969    0.00127     0.00124     0.00003     0.00000     0.00000     0.00000
1984   15     1968    0.00191     0.00187     0.00003     0.00000     0.00000     0.00000
1984   16     1968    0.00517     0.00501     0.00013     0.00003     0.00000     0.00000
1984   16     1967    0.00796     0.00759     0.00036     0.00000     0.00000     0.00000
1984   17     1967    0.01716     0.01646     0.00063     0.00006     0.00000     0.00000
1984   17     1966    0.02255     0.02132     0.00123     0.00000     0.00000     0.00000
1984   18     1966    0.03529     0.03256     0.00261     0.00009     0.00003     0.00000
1984   18     1965    0.04133     0.03772     0.00342     0.00019     0.00000     0.00000
1984   19     1965    0.06001     0.05174     0.00767     0.00060     0.00000     0.00000
1984   19     1964    0.06763     0.05654     0.01032     0.00074     0.00003     0.00000
1984   20     1964    0.08239     0.06549     0.01555     0.00127     0.00009     0.00000
1984   20     1963    0.08989     0.06837     0.01969     0.00174     0.00009     0.00000
1984   21     1963    0.09708     0.06612     0.02753     0.00294     0.00047     0.00003
1984   21     1962    0.10070     0.06650     0.02985     0.00376     0.00059     0.00000
1984   22     1962    0.11017     0.06732     0.03637     0.00600     0.00045     0.00003
1984   22     1961    0.11342     0.06690     0.03920     0.00648     0.00072     0.00012
1984   23     1961    0.11363     0.06073     0.04313     0.00839     0.00118     0.00021
1984   23     1960    0.11652     0.06060     0.04605     0.00862     0.00121     0.00003
1984   24     1960    0.11498     0.05885     0.04438     0.00990     0.00150     0.00034
1984   24     1959    0.11807     0.05418     0.04834     0.01282     0.00226     0.00047
1984   25     1959    0.11684     0.05121     0.04786     0.01419     0.00290     0.00068
1984   25     1958    0.11720     0.05103     0.04787     0.01462     0.00295     0.00073
1984   26     1958    0.10957     0.04392     0.04593     0.01559     0.00347     0.00067
1984   26     1957    0.10637     0.04083     0.04657     0.01433     0.00341     0.00123
1984   27     1957    0.10250     0.03836     0.04221     0.01707     0.00389     0.00098
1984   27     1956    0.09708     0.03623     0.03856     0.01775     0.00352     0.00102
1984   28     1956    0.09168     0.02984     0.03857     0.01662     0.00513     0.00153
1984   28     1955    0.08718     0.02688     0.03695     0.01648     0.00497     0.00190
1984   29     1955    0.08473     0.02540     0.03359     0.01821     0.00580     0.00173
1984   29     1954    0.07908     0.02237     0.03180     0.01739     0.00533     0.00219
1984   30     1954    0.07179     0.01775     0.02845     0.01748     0.00583     0.00229
1984   30     1953    0.06729     0.01655     0.02552     0.01581     0.00685     0.00257
1984   31     1953    0.06212     0.01426     0.02277     0.01554     0.00637     0.00319
1984   31     1952    0.05648     0.01269     0.01964     0.01458     0.00583     0.00374
1984   32     1952    0.05125     0.01085     0.01706     0.01423     0.00629     0.00283
1984   32     1951    0.04780     0.00860     0.01665     0.01366     0.00561     0.00329
1984   33     1951    0.04229     0.00788     0.01274     0.01155     0.00633     0.00378
1984   33     1950    0.04084     0.00617     0.01258     0.01189     0.00613     0.00407
1984   34     1950    0.03398     0.00588     0.00898     0.00913     0.00538     0.00461
1984   34     1949    0.03537     0.00580     0.00949     0.00986     0.00650     0.00373
1984   35     1949    0.02951     0.00455     0.00831     0.00756     0.00511     0.00398
1984   35     1948    0.02723     0.00378     0.00745     0.00802     0.00420     0.00378
1984   36     1948    0.02226     0.00303     0.00519     0.00647     0.00391     0.00365
1984   36     1947    0.02180     0.00284     0.00607     0.00569     0.00421     0.00300
1984   37     1947    0.01966     0.00255     0.00453     0.00555     0.00368     0.00336
1984   37     1946    0.01804     0.00241     0.00405     0.00446     0.00335     0.00376
1984   38     1946    0.01403     0.00214     0.00298     0.00312     0.00256     0.00322
1984   38     1945    0.01371     0.00149     0.00241     0.00327     0.00281     0.00373
1984   39     1945    0.00988     0.00147     0.00227     0.00255     0.00180     0.00180
1984   39     1944    0.00868     0.00094     0.00164     0.00213     0.00139     0.00258
1984   40     1944    0.00734     0.00085     0.00139     0.00205     0.00131     0.00174
1984   40     1943    0.00613     0.00060     0.00112     0.00160     0.00100     0.00180
1984   41     1943    0.00536     0.00040     0.00100     0.00112     0.00120     0.00164
1984   41     1942    0.00509     0.00037     0.00075     0.00116     0.00112     0.00170
1984   42     1942    0.00444     0.00067     0.00039     0.00086     0.00086     0.00165
1984   42     1941    0.00272     0.00031     0.00038     0.00072     0.00048     0.00083
1984   43     1941    0.00246     0.00010     0.00051     0.00044     0.00027     0.00113
1984   43     1940    0.00189     0.00017     0.00027     0.00030     0.00034     0.00081
1984   44     1940    0.00113     0.00003     0.00015     0.00021     0.00024     0.00049
1984   44     1939    0.00116     0.00010     0.00007     0.00023     0.00020     0.00056
1984   45     1939    0.00074     0.00000     0.00013     0.00017     0.00003     0.00040
1984   45     1938    0.00057     0.00000     0.00009     0.00014     0.00000     0.00033
1984   46     1938    0.00087     0.00000     0.00010     0.00019     0.00015     0.00044
1984   46     1937    0.00027     0.00000     0.00000     0.00005     0.00000     0.00022
1984   47     1937    0.00036     0.00000     0.00000     0.00005     0.00010     0.00021
1984   47     1936    0.00005     0.00000     0.00000     0.00000     0.00000     0.00005
1984   48     1936    0.00010     0.00000     0.00000     0.00000     0.00005     0.00005
1984   48     1935    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984   49     1935    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984   49     1934    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984   50     1934    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984   50     1933    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984   51     1933    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984   51     1932    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984   52     1932    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984   52     1931    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984   53     1931    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984   53     1930    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984   54     1930    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984   54     1929    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984   55+       .    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1985   12-       .    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1985   13     1972    0.00004     0.00004     0.00000     0.00000     0.00000     0.00000
1985   13     1971    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1985   14     1971    0.00026     0.00026     0.00000     0.00000     0.00000     0.00000
1985   14     1970    0.00049     0.00049     0.00000     0.00000     0.00000     0.00000
1985   15     1970    0.00085     0.00081     0.00004     0.00000     0.00000     0.00000
1985   15     1969    0.00191     0.00191     0.00000     0.00000     0.00000     0.00000
1985   16     1969    0.00504     0.00494     0.00010     0.00000     0.00000     0.00000
1985   16     1968    0.00787     0.00763     0.00023     0.00000     0.00000     0.00000
1985   17     1968    0.01501     0.01426     0.00076     0.00000     0.00000     0.00000
1985   17     1967    0.02015     0.01917     0.00095     0.00003     0.00000     0.00000
1985   18     1967    0.03165     0.02955     0.00207     0.00003     0.00000     0.00000
1985   18     1966    0.03899     0.03583     0.00296     0.00019     0.00000     0.00000
1985   19     1966    0.05550     0.04887     0.00632     0.00031     0.00000     0.00000
1985   19     1965    0.06157     0.05193     0.00897     0.00068     0.00000     0.00000
