Austria, Period fertility rates by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 05/08/2021
Year    ARDY   Cohort        ASFR
1951     12-    1939+     0.00000
1951     13     1938      0.00000
1951     14     1937      0.00015
1951     15     1936      0.00100
1951     16     1935      0.00433
1951     17     1934      0.01624
1951     18     1933      0.03809
1951     19     1932      0.06350
1951     20     1931      0.09150
1951     21     1930      0.10584
1951     22     1929      0.11308
1951     23     1928      0.12352
1951     24     1927      0.11961
1951     25     1926      0.12234
1951     26     1925      0.11879
1951     27     1924      0.11677
1951     28     1923      0.11016
1951     29     1922      0.10558
1951     30     1921      0.10443
1951     31     1920      0.09323
1951     32     1919      0.08557
1951     33     1918      0.07211
1951     34     1917      0.06677
1951     35     1916      0.05969
1951     36     1915      0.05383
1951     37     1914      0.05124
1951     38     1913      0.04309
1951     39     1912      0.03748
1951     40     1911      0.03106
1951     41     1910      0.02354
1951     42     1909      0.01836
1951     43     1908      0.01327
1951     44     1907      0.00751
1951     45     1906      0.00517
1951     46     1905      0.00246
1951     47     1904      0.00118
1951     48     1903      0.00058
1951     49     1902      0.00031
1951     50     1901      0.00016
1951     51     1900      0.00015
1951     52     1899      0.00002
1951     53     1898      0.00000
1951     54     1897      0.00000
1951     55+    1896-     0.00000
1952     12-    1940+     0.00000
1952     13     1939      0.00000
1952     14     1938      0.00018
1952     15     1937      0.00075
1952     16     1936      0.00446
1952     17     1935      0.01597
1952     18     1934      0.03710
1952     19     1933      0.06554
1952     20     1932      0.09551
1952     21     1931      0.10655
1952     22     1930      0.11858
1952     23     1929      0.12457
1952     24     1928      0.12633
1952     25     1927      0.12519
1952     26     1926      0.12422
1952     27     1925      0.12186
1952     28     1924      0.11431
1952     29     1923      0.10619
1952     30     1922      0.10340
1952     31     1921      0.09261
1952     32     1920      0.08624
1952     33     1919      0.07743
1952     34     1918      0.07132
1952     35     1917      0.06027
1952     36     1916      0.05391
1952     37     1915      0.04902
1952     38     1914      0.04367
1952     39     1913      0.03696
1952     40     1912      0.02953
1952     41     1911      0.02359
1952     42     1910      0.01830
1952     43     1909      0.01232
1952     44     1908      0.00773
1952     45     1907      0.00452
1952     46     1906      0.00256
1952     47     1905      0.00099
1952     48     1904      0.00036
1952     49     1903      0.00023
1952     50     1902      0.00010
1952     51     1901      0.00007
1952     52     1900      0.00000
1952     53     1899      0.00000
1952     54     1898      0.00000
1952     55+    1897-     0.00000
1953     12-    1941+     0.00000
1953     13     1940      0.00000
1953     14     1939      0.00016
1953     15     1938      0.00084
1953     16     1937      0.00468
1953     17     1936      0.01591
1953     18     1935      0.03714
1953     19     1934      0.06598
1953     20     1933      0.09774
1953     21     1932      0.11047
1953     22     1931      0.12566
1953     23     1930      0.12938
1953     24     1929      0.12889
1953     25     1928      0.13164
1953     26     1927      0.12681
1953     27     1926      0.12164
1953     28     1925      0.11429
1953     29     1924      0.11187
1953     30     1923      0.10546
1953     31     1922      0.09227
1953     32     1921      0.08825
1953     33     1920      0.07659
1953     34     1919      0.06970
1953     35     1918      0.06293
1953     36     1917      0.05606
1953     37     1916      0.04556
1953     38     1915      0.04236
1953     39     1914      0.03406
1953     40     1913      0.03031
1953     41     1912      0.02286
1953     42     1911      0.01655
1953     43     1910      0.01243
1953     44     1909      0.00765
1953     45     1908      0.00488
1953     46     1907      0.00242
1953     47     1906      0.00123
1953     48     1905      0.00059
1953     49     1904      0.00016
1953     50     1903      0.00009
1953     51     1902      0.00000
1953     52     1901      0.00000
1953     53     1900      0.00000
1953     54     1899      0.00000
1953     55+    1898-     0.00000
1954     12-    1942+     0.00000
1954     13     1941      0.00000
1954     14     1940      0.00003
1954     15     1939      0.00086
1954     16     1938      0.00504
1954     17     1937      0.01724
1954     18     1936      0.03913
1954     19     1935      0.06710
1954     20     1934      0.09565
1954     21     1933      0.11742
1954     22     1932      0.12590
1954     23     1931      0.13378
1954     24     1930      0.13679
1954     25     1929      0.13729
1954     26     1928      0.13186
1954     27     1927      0.12549
1954     28     1926      0.11885
1954     29     1925      0.11228
1954     30     1924      0.10663
1954     31     1923      0.09699
1954     32     1922      0.08733
1954     33     1921      0.08043
1954     34     1920      0.07093
1954     35     1919      0.06153
1954     36     1918      0.05893
1954     37     1917      0.04964
1954     38     1916      0.04221
1954     39     1915      0.03579
1954     40     1914      0.03122
1954     41     1913      0.02400
1954     42     1912      0.01802
1954     43     1911      0.01188
1954     44     1910      0.00733
1954     45     1909      0.00443
1954     46     1908      0.00226
1954     47     1907      0.00121
1954     48     1906      0.00043
1954     49     1905      0.00020
1954     50     1904      0.00012
1954     51     1903      0.00004
1954     52     1902      0.00000
1954     53     1901      0.00000
1954     54     1900      0.00000
1954     55+    1899-     0.00000
1955     12-    1943+     0.00004
1955     13     1942      0.00002
1955     14     1941      0.00002
1955     15     1940      0.00086
1955     16     1939      0.00505
1955     17     1938      0.01750
1955     18     1937      0.04237
1955     19     1936      0.07385
1955     20     1935      0.09844
1955     21     1934      0.11876
