Austria, Live births by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 05/08/2021
Year    Age        Total          B1          B2          B3          B4         B5p
1984     12-        0.00        0.00        0.00        0.00        0.00        0.00
1984     13         3.00        3.00        0.00        0.00        0.00        0.00
1984     14        10.00       10.00        0.00        0.00        0.00        0.00
1984     15        96.00       94.00        2.00        0.00        0.00        0.00
1984     16       405.00      389.00       15.00        1.00        0.00        0.00
1984     17      1243.00     1183.00       58.00        2.00        0.00        0.00
1984     18      2417.00     2217.00      190.00        9.00        1.00        0.00
1984     19      4171.00     3539.00      587.00       44.00        1.00        0.00
1984     20      5688.00     4422.00     1161.00       99.00        6.00        0.00
1984     21      6581.00     4415.00     1908.00      222.00       35.00        1.00
1984     22      7314.00     4392.00     2471.00      408.00       38.00        5.00
1984     23      7320.00     3861.00     2834.00      541.00       76.00        8.00
1984     24      7169.00     3484.00     2849.00      696.00      115.00       25.00
1984     25      6999.00     3058.00     2863.00      861.00      175.00       42.00
1984     26      6305.00     2476.00     2699.00      874.00      201.00       55.00
1984     27      5790.00     2164.00     2344.00     1009.00      215.00       58.00
1984     28      4994.00     1586.00     2108.00      923.00      282.00       95.00
1984     29      4295.00     1254.00     1714.00      933.00      292.00      102.00
1984     30      3536.00      872.00     1373.00      847.00      321.00      123.00
1984     31      2974.00      676.00     1064.00      755.00      306.00      173.00
1984     32      2438.00      480.00      829.00      686.00      293.00      150.00
1984     33      2055.00      348.00      626.00      579.00      308.00      194.00
1984     34      1732.00      292.00      461.00      474.00      296.00      209.00
1984     35      1498.00      220.00      416.00      411.00      246.00      205.00
1984     36      1184.00      158.00      302.00      327.00      218.00      179.00
1984     37       997.00      131.00      227.00      266.00      186.00      187.00
1984     38       540.00       72.00      106.00      124.00      104.00      134.00
1984     39       421.00       54.00       88.00      106.00       72.00      101.00
1984     40       343.00       37.00       64.00       93.00       59.00       90.00
1984     41       257.00       19.00       43.00       56.00       57.00       82.00
1984     42       192.00       26.00       21.00       43.00       36.00       66.00
1984     43       128.00        8.00       23.00       22.00       18.00       57.00
1984     44        72.00        4.00        7.00       14.00       14.00       33.00
1984     45        34.00        0.00        6.00        8.00        1.00       19.00
1984     46        23.00        0.00        2.00        5.00        3.00       13.00
1984     47         8.00        0.00        0.00        1.00        2.00        5.00
1984     48         2.00        0.00        0.00        0.00        1.00        1.00
1984     49         0.00        0.00        0.00        0.00        0.00        0.00
1984     50         0.00        0.00        0.00        0.00        0.00        0.00
1984     51         0.00        0.00        0.00        0.00        0.00        0.00
1984     52         0.00        0.00        0.00        0.00        0.00        0.00
1984     53         0.00        0.00        0.00        0.00        0.00        0.00
1984     54         0.00        0.00        0.00        0.00        0.00        0.00
1984     55+        0.00        0.00        0.00        0.00        0.00        0.00
1985     12-        0.00        0.00        0.00        0.00        0.00        0.00
1985     13         1.00        1.00        0.00        0.00        0.00        0.00
1985     14        20.00       20.00        0.00        0.00        0.00        0.00
1985     15        79.00       78.00        1.00        0.00        0.00        0.00
1985     16       391.00      381.00       10.00        0.00        0.00        0.00
1985     17      1090.00     1036.00       53.00        1.00        0.00        0.00
1985     18      2220.00     2055.00      158.00        7.00        0.00        0.00
1985     19      3706.00     3192.00      483.00       31.00        0.00        0.00
1985     20      5183.00     4039.00     1032.00      102.00       10.00        0.00
1985     21      6165.00     4270.00     1707.00      166.00       20.00        2.00
1985     22      6761.00     4060.00     2313.00      337.00       38.00       13.00
1985     23      7110.00     3841.00     2708.00      482.00       67.00       12.00
1985     24      7413.00     3528.00     3018.00      732.00      112.00       23.00
1985     25      6912.00     3101.00     2864.00      756.00      158.00       33.00
1985     26      6361.00     2525.00     2718.00      877.00      190.00       51.00
1985     27      5845.00     2120.00     2446.00      968.00      234.00       77.00
1985     28      5278.00     1779.00     2157.00      984.00      280.00       78.00
1985     29      4375.00     1286.00     1775.00      929.00      287.00       98.00
1985     30      3617.00     1016.00     1375.00      852.00      271.00      103.00
1985     31      3033.00      725.00     1115.00      766.00      284.00      143.00
1985     32      2593.00      582.00      906.00      651.00      300.00      154.00
1985     33      2004.00      396.00      653.00      561.00      253.00      141.00
1985     34      1737.00      308.00      520.00      478.00      271.00      160.00
1985     35      1409.00      234.00      374.00      381.00      236.00      184.00
1985     36      1204.00      171.00      281.00      367.00      206.00      179.00
1985     37       922.00      144.00      209.00      247.00      153.00      169.00
1985     38       645.00       72.00      149.00      164.00      128.00      132.00
1985     39       379.00       49.00       75.00      100.00       68.00       87.00
1985     40       347.00       43.00       75.00       91.00       59.00       79.00
1985     41       237.00       32.00       31.00       52.00       49.00       73.00
1985     42       158.00       20.00       27.00       34.00       26.00       51.00
1985     43       127.00       14.00       21.00       24.00       17.00       51.00
1985     44        58.00        4.00       14.00        7.00        6.00       27.00
