Austria, Live births by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 05/08/2021
Year   Age    Cohort           Total             B1             B2             B3             B4            B5p
1984    12-        .            0.00           0.00           0.00           0.00           0.00           0.00
1984    13      1971            2.00           2.00           0.00           0.00           0.00           0.00
1984    13      1970            1.00           1.00           0.00           0.00           0.00           0.00
1984    14      1970            3.00           3.00           0.00           0.00           0.00           0.00
1984    14      1969            7.00           7.00           0.00           0.00           0.00           0.00
1984    15      1969           39.00          38.00           1.00           0.00           0.00           0.00
1984    15      1968           57.00          56.00           1.00           0.00           0.00           0.00
1984    16      1968          163.00         158.00           4.00           1.00           0.00           0.00
1984    16      1967          242.00         231.00          11.00           0.00           0.00           0.00
1984    17      1967          545.00         523.00          20.00           2.00           0.00           0.00
1984    17      1966          698.00         660.00          38.00           0.00           0.00           0.00
1984    18      1966         1135.00        1047.00          84.00           3.00           1.00           0.00
1984    18      1965         1282.00        1170.00         106.00           6.00           0.00           0.00
1984    19      1965         1988.00        1714.00         254.00          20.00           0.00           0.00
1984    19      1964         2183.00        1825.00         333.00          24.00           1.00           0.00
1984    20      1964         2793.00        2220.00         527.00          43.00           3.00           0.00
1984    20      1963         2895.00        2202.00         634.00          56.00           3.00           0.00
1984    21      1963         3339.00        2274.00         947.00         101.00          16.00           1.00
1984    21      1962         3242.00        2141.00         961.00         121.00          19.00           0.00
1984    22      1962         3674.00        2245.00        1213.00         200.00          15.00           1.00
1984    22      1961         3640.00        2147.00        1258.00         208.00          23.00           4.00
1984    23      1961         3765.00        2012.00        1429.00         278.00          39.00           7.00
1984    23      1960         3555.00        1849.00        1405.00         263.00          37.00           1.00
1984    24      1960         3669.00        1878.00        1416.00         316.00          48.00          11.00
1984    24      1959         3500.00        1606.00        1433.00         380.00          67.00          14.00
1984    25      1959         3623.00        1588.00        1484.00         440.00          90.00          21.00
1984    25      1958         3376.00        1470.00        1379.00         421.00          85.00          21.00
1984    26      1958         3283.00        1316.00        1376.00         467.00         104.00          20.00
1984    26      1957         3022.00        1160.00        1323.00         407.00          97.00          35.00
1984    27      1957         3033.00        1135.00        1249.00         505.00         115.00          29.00
1984    27      1956         2757.00        1029.00        1095.00         504.00         100.00          29.00
1984    28      1956         2698.00         878.00        1135.00         489.00         151.00          45.00
1984    28      1955         2296.00         708.00         973.00         434.00         131.00          50.00
1984    29      1955         2308.00         692.00         915.00         496.00         158.00          47.00
1984    29      1954         1987.00         562.00         799.00         437.00         134.00          55.00
1984    30      1954         1885.00         466.00         747.00         459.00         153.00          60.00
1984    30      1953         1651.00         406.00         626.00         388.00         168.00          63.00
1984    31      1953         1599.00         367.00         586.00         400.00         164.00          82.00
1984    31      1952         1375.00         309.00         478.00         355.00         142.00          91.00
1984    32      1952         1304.00         276.00         434.00         362.00         160.00          72.00
1984    32      1951         1134.00         204.00         395.00         324.00         133.00          78.00
1984    33      1951         1062.00         198.00         320.00         290.00         159.00          95.00
1984    33      1950          993.00         150.00         306.00         289.00         149.00          99.00
1984    34      1950          878.00         152.00         232.00         236.00         139.00         119.00
1984    34      1949          854.00         140.00         229.00         238.00         157.00          90.00
1984    35      1949          785.00         121.00         221.00         201.00         136.00         106.00
1984    35      1948          713.00          99.00         195.00         210.00         110.00          99.00
