Austria, Live births by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 05/08/2021
Year  ARDY   Cohort       Total
1951    12-   1939+        0.00
1951    13    1938         0.00
1951    14    1937         6.01
1951    15    1936        41.10
1951    16    1935       179.41
1951    17    1934       688.57
1951    18    1933      1651.78
1951    19    1932      2856.53
1951    20    1931      4199.61
1951    21    1930      5052.55
1951    22    1929      5374.29
1951    23    1928      5981.68
1951    24    1927      5878.44
1951    25    1926      6402.64
1951    26    1925      6671.26
1951    27    1924      6806.56
1951    28    1923      6610.12
1951    29    1922      6397.63
1951    30    1921      6285.37
1951    31    1920      5353.25
1951    32    1919      3972.08
1951    33    1918      2459.62
1951    34    1917      2097.80
1951    35    1916      2038.66
1951    36    1915      2289.24
1951    37    1914      2765.32
1951    38    1913      2439.58
1951    39    1912      2190.01
1951    40    1911      1783.08
1951    41    1910      1400.20
1951    42    1909      1091.49
1951    43    1908       776.78
1951    44    1907       440.01
1951    45    1906       304.69
1951    46    1905       141.33
1951    47    1904        68.15
1951    48    1903        33.08
1951    49    1902        18.04
1951    50    1901         9.02
1951    51    1900         8.02
1951    52    1899         1.00
1951    53    1898         0.00
1951    54    1897         0.00
1951    55+   1896-        0.00
1952    12-   1940+        0.00
1952    13    1939         0.00
1952    14    1938         8.00
1952    15    1937        30.01
1952    16    1936       182.05
1952    17    1935       653.18
1952    18    1934      1555.42
1952    19    1933      2803.76
1952    20    1932      4272.16
1952    21    1931      4825.32
1952    22    1930      5663.53
1952    23    1929      5845.59
1952    24    1928      6089.66
1952    25    1927      6058.65
1952    26    1926      6445.75
1952    27    1925      6832.85
1952    28    1924      6620.80
1952    29    1923      6354.73
1952    30    1922      6242.70
1952    31    1921      5558.51
1952    32    1920      5034.37
1952    33    1919      3598.98
1952    34    1918      2300.62
1952    35    1917      1855.51
1952    36    1916      1792.48
1952    37    1915      2046.56
1952    38    1914      2413.66
1952    39    1913      2075.56
1952    40    1912      1735.47
1952    41    1911      1331.36
1952    42    1910      1091.30
1952    43    1909       730.20
1952    44    1908       449.12
1952    45    1907       263.07
1952    46    1906       151.04
1952    47    1905        56.02
1952    48    1904        21.00
1952    49    1903        13.01
1952    50    1902         6.00
1952    51    1901         4.00
1952    52    1900         0.00
1952    53    1899         0.00
1952    54    1898         0.00
1952    55+   1897-        0.00
1953    12-   1941+        0.00
1953    13    1940         0.00
1953    14    1939        10.01
1953    15    1938        37.03
1953    16    1937       187.17
1953    17    1936       643.57
1953    18    1935      1505.33
1953    19    1934      2740.42
1953    20    1933      4147.67
1953    21    1932      4905.34
1953    22    1931      5656.00
1953    23    1930      6140.44
1953    24    1929      6015.32
1953    25    1928      6310.58
1953    26    1927      6104.40
1953    27    1926      6278.56
1953    28    1925      6376.64
1953    29    1924      6448.70
1953    30    1923      6283.56
1953    31    1922      5545.91
1953    32    1921      5274.66
1953    33    1920      4452.94
1953    34    1919      3225.85
1953    35    1918      2020.79
1953    36    1917      1718.52
1953    37    1916      1509.34
1953    38    1915      1760.56
1953    39    1914      1874.65
1953    40    1913      1695.50
1953    41    1912      1337.19
1953    42    1911       929.82
1953    43    1910       737.65
1953    44    1909       451.40
1953    45    1908       282.25
1953    46    1907       140.12
1953    47    1906        72.07
1953    48    1905        33.03
