Austria, Live births by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 05/08/2021
Year  ARDY   Cohort       Total          B1          B2          B3          B4         B5p
1984    12-   1972+        0.00        0.00        0.00        0.00        0.00        0.00
1984    13    1971         2.00        2.00        0.00        0.00        0.00        0.00
1984    14    1970         4.00        4.00        0.00        0.00        0.00        0.00
1984    15    1969        46.00       45.00        1.00        0.00        0.00        0.00
1984    16    1968       220.00      214.00        5.00        1.00        0.00        0.00
1984    17    1967       787.00      754.00       31.00        2.00        0.00        0.00
1984    18    1966      1833.00     1707.00      122.00        3.00        1.00        0.00
1984    19    1965      3270.00     2884.00      360.00       26.00        0.00        0.00
1984    20    1964      4976.00     4045.00      860.00       67.00        4.00        0.00
1984    21    1963      6234.00     4476.00     1581.00      157.00       19.00        1.00
1984    22    1962      6916.00     4386.00     2174.00      321.00       34.00        1.00
1984    23    1961      7405.00     4159.00     2687.00      486.00       62.00       11.00
1984    24    1960      7224.00     3727.00     2821.00      579.00       85.00       12.00
1984    25    1959      7123.00     3194.00     2917.00      820.00      157.00       35.00
1984    26    1958      6659.00     2786.00     2755.00      888.00      189.00       41.00
1984    27    1957      6055.00     2295.00     2572.00      912.00      212.00       64.00
1984    28    1956      5455.00     1907.00     2230.00      993.00      251.00       74.00
1984    29    1955      4604.00     1400.00     1888.00      930.00      289.00       97.00
1984    30    1954      3872.00     1028.00     1546.00      896.00      287.00      115.00
1984    31    1953      3250.00      773.00     1212.00      788.00      332.00      145.00
1984    32    1952      2679.00      585.00      912.00      717.00      302.00      163.00
1984    33    1951      2196.00      402.00      715.00      614.00      292.00      173.00
1984    34    1950      1871.00      302.00      538.00      525.00      288.00      218.00
1984    35    1949      1639.00      261.00      450.00      439.00      293.00      196.00
1984    36    1948      1322.00      182.00      337.00      387.00      217.00      199.00
1984    37    1947      1131.00      147.00      288.00      307.00      215.00      174.00
1984    38    1946       742.00      105.00      163.00      176.00      137.00      161.00
1984    39    1945       448.00       57.00       90.00      111.00       87.00      103.00
1984    40    1944       402.00       45.00       76.00      105.00       68.00      108.00
1984    41    1943       287.00       25.00       53.00       68.00       55.00       86.00
1984    42    1942       236.00       26.00       28.00       50.00       49.00       83.00
1984    43    1941       151.00       12.00       26.00       34.00       22.00       57.00
1984    44    1940        93.00        6.00       13.00       16.00       18.00       40.00
1984    45    1939        57.00        3.00        6.00       12.00        7.00       29.00
1984    46    1938        30.00        0.00        4.00        7.00        3.00       16.00
1984    47    1937        12.00        0.00        0.00        2.00        2.00        8.00
1984    48    1936         3.00        0.00        0.00        0.00        1.00        2.00
1984    49    1935         0.00        0.00        0.00        0.00        0.00        0.00
1984    50    1934         0.00        0.00        0.00        0.00        0.00        0.00
1984    51    1933         0.00        0.00        0.00        0.00        0.00        0.00
1984    52    1932         0.00        0.00        0.00        0.00        0.00        0.00
1984    53    1931         0.00        0.00        0.00        0.00        0.00        0.00
1984    54    1930         0.00        0.00        0.00        0.00        0.00        0.00
1984    55+   1929-        0.00        0.00        0.00        0.00        0.00        0.00
1985    12-   1973+        0.00        0.00        0.00        0.00        0.00        0.00
1985    13    1972         1.00        1.00        0.00        0.00        0.00        0.00
1985    14    1971         7.00        7.00        0.00        0.00        0.00        0.00
1985    15    1970        37.00       36.00        1.00        0.00        0.00        0.00
1985    16    1969       210.00      207.00        3.00        0.00        0.00        0.00
1985    17    1968       711.00      680.00       31.00        0.00        0.00        0.00
1985    18    1967      1624.00     1527.00       95.00        2.00        0.00        0.00
1985    19    1966      3002.00     2690.00      296.00       16.00        0.00        0.00
1985    20    1965      4463.00     3650.00      737.00       68.00        8.00        0.00
1985    21    1964      5721.00     4203.00     1370.00      136.00       12.00        0.00
1985    22    1963      6428.00     4128.00     2044.00      223.00       26.00        7.00
1985    23    1962      7006.00     3972.00     2533.00      437.00       50.00       14.00
1985    24    1961      7280.00     3690.00     2882.00      601.00       86.00       21.00
1985    25    1960      7163.00     3301.00     2937.00      766.00      137.00       22.00
1985    26    1959      6797.00     2886.00     2841.00      835.00      187.00       48.00
1985    27    1958      6004.00     2297.00     2550.00      888.00      209.00       60.00
1985    28    1957      5548.00     1940.00     2282.00      984.00      259.00       83.00
1985    29    1956      4894.00     1552.00     2015.00      964.00      281.00       82.00
1985    30    1955      3963.00     1081.00     1577.00      909.00      290.00      106.00
1985    31    1954      3244.00      877.00     1202.00      785.00      268.00      112.00
1985    32    1953      2873.00      671.00     1037.00      713.00      295.00      157.00
1985    33    1952      2261.00      460.00      763.00      615.00      267.00      156.00
1985    34    1951      1811.00      333.00      556.00      525.00      258.00      139.00
1985    35    1950      1595.00      284.00      469.00      415.00      260.00      167.00
1985    36    1949      1310.00      192.00      314.00      381.00      231.00      192.00
1985    37    1948      1028.00      154.00      248.00      286.00      170.00      170.00
1985    38    1947       807.00      107.00      185.00      215.00      149.00      151.00
1985    39    1946       506.00       65.00      104.00      130.00       90.00      117.00
1985    40    1945       341.00       41.00       63.00      103.00       60.00       74.00
1985    41    1944       298.00       38.00       58.00       61.00       64.00       77.00
1985    42    1943       182.00       27.00       27.00       41.00       30.00       57.00
1985    43    1942       135.00       10.00       24.00       29.00       21.00       51.00
1985    44    1941       107.00       13.00       18.00       17.00       12.00       47.00
1985    45    1940        40.00        2.00       11.00        5.00        6.00       16.00
1985    46    1939        31.00        2.00        2.00        7.00        4.00       16.00
1985    47    1938         7.00        0.00        0.00        1.00        2.00        4.00
1985    48    1937         4.00        0.00        1.00        0.00        0.00        3.00
1985    49    1936         1.00        0.00        0.00        0.00        1.00        0.00
1985    50    1935         0.00        0.00        0.00        0.00        0.00        0.00
1985    51    1934         0.00        0.00        0.00        0.00        0.00        0.00
1985    52    1933         0.00        0.00        0.00        0.00        0.00        0.00
