Austria, Crude birth rate
Last modified: 05/08/2021
Year      CBR
1951    14.83
1952    14.87
1953    14.84
1954    14.98
1955    15.63
1956    16.66
1957    17.04
1958    17.14
1959    17.73
1960    17.87
1961    18.57
1962    18.69
1963    18.78
1964    18.53
1965    17.87
1966    17.56
1967    17.27
1968    17.01
1969    16.31
1970    15.04
1971    14.47
1972    13.79
1973    12.93
1974    12.82
1975    12.37
1976    11.56
1977    11.31
1978    11.30
1979    11.45
1980    12.04
1981    12.42
1982    12.53
1983    11.92
1984    11.81
1985    11.56
1986    11.49
1987    11.42
1988    11.61
1989    11.65
1990    11.78
1991    12.20
1992    12.15
1993    12.05
1994    11.65
1995    11.16
1996    11.16
1997    10.55
1998    10.19
1999     9.78
2000     9.77
2001     9.39
2002     9.70
2003     9.48
2004     9.66
2005     9.50
2006     9.42
2007     9.19
2008     9.34
2009     9.15
2010     9.42
2011     9.31
2012     9.37
2013     9.36
2014     9.56
2015     9.76
2016    10.04
2017     9.96
2018     9.68
2019     9.57
