Austria, Crude birth rate by birth order
Last modified: 05/08/2021
Year      CBR     CBR1     CBR2     CBR3     CBR4    CBR5p
1984    11.81     5.55     3.90     1.51     0.53     0.32
1985    11.56     5.44     3.87     1.48     0.49     0.28
1986    11.49     5.45     3.85     1.45     0.49     0.26
1987    11.42     5.43     3.85     1.41     0.47     0.26
1988    11.61     5.55     3.91     1.45     0.45     0.24
1989    11.65     5.44     4.00     1.51     0.47     0.23
1990    11.78     5.44     4.11     1.55     0.46     0.22
1991    12.20     5.67     4.21     1.59     0.50     0.22
1992    12.15     5.60     4.23     1.62     0.48     0.22
1993    12.05     5.45     4.31     1.60     0.47     0.22
1994    11.65     5.18     4.24     1.56     0.46     0.21
1995    11.16     4.96     4.06     1.50     0.45     0.20
1996    11.16     4.96     4.08     1.49     0.44     0.19
1997    10.55     4.76     3.78     1.43     0.41     0.17
1998    10.19     4.57     3.70     1.35     0.40     0.17
1999     9.78     4.44     3.49     1.29     0.39     0.17
2000     9.77     4.44     3.52     1.27     0.38     0.16
2001     9.39     4.32     3.33     1.22     0.36     0.16
2002     9.70     4.43     3.42     1.30     0.39     0.16
2003     9.48     4.34     3.32     1.28     0.37     0.17
2004     9.66     4.46     3.38     1.26     0.39     0.17
2005     9.50     4.40     3.31     1.25     0.38     0.17
2006     9.42     4.39     3.28     1.21     0.38     0.17
2007     9.19     4.25     3.23     1.18     0.36     0.17
2008     9.34     4.37     3.27     1.18     0.35     0.17
2009     9.15     4.31     3.18     1.16     0.34     0.16
2010     9.42     4.46     3.31     1.16     0.33     0.16
2011     9.31     4.47     3.24     1.12     0.33     0.16
2012     9.37     4.51     3.29     1.11     0.32     0.14
2013     9.36     4.50     3.33     1.08     0.30     0.15
2014     9.56     4.59     3.39     1.12     0.31     0.15
2015     9.76     4.72     3.45     1.13     0.32     0.15
2016    10.04     4.74     3.57     1.20     0.34     0.18
2017     9.96     4.73     3.52     1.18     0.35     0.18
2018     9.68     4.56     3.41     1.18     0.34     0.18
2019     9.57     4.51     3.36     1.17     0.35     0.18
