Austria, Cumulative cohort fertility rates (horizontal parallelograms
Last modified: 05/08/2021
Cohort  Age     CCFR
1936    12         .
1936    13         .
1936    14         .
1936    15     0.000
1936    16     0.002
1936    17     0.011
1936    18     0.037
1936    19     0.091
1936    20     0.184
1936    21     0.305
1936    22     0.458
1936    23     0.627
1936    24     0.807
1936    25     0.987
1936    26     1.173
1936    27     1.351
1936    28     1.516
1936    29     1.663
1936    30     1.793
1936    31     1.912
1936    32     2.016
1936    33     2.103
1936    34     2.175
1936    35     2.233
1936    36     2.282
1936    37     2.324
1936    38     2.357
1936    39     2.384
1936    40     2.402
1936    41     2.415
1936    42     2.423
1936    43     2.428
1936    44     2.432
1936    45     2.434
1936    46     2.435
1936    47     2.436
1936    48     2.436
1936    49     2.436
1936    50     2.436
1936    51     2.436
1936    52     2.436
1936    53     2.436
1936    54     2.436
1936    55     2.436
1937    12         .
1937    13         .
1937    14     0.000
1937    15     0.000
1937    16     0.002
1937    17     0.011
1937    18     0.039
1937    19     0.099
1937    20     0.192
1937    21     0.320
1937    22     0.471
1937    23     0.641
1937    24     0.822
1937    25     1.010
1937    26     1.196
1937    27     1.374
1937    28     1.535
1937    29     1.681
1937    30     1.810
1937    31     1.923
1937    32     2.021
1937    33     2.102
1937    34     2.171
1937    35     2.228
1937    36     2.275
1937    37     2.311
1937    38     2.342
1937    39     2.364
1937    40     2.379
1937    41     2.391
1937    42     2.399
1937    43     2.403
1937    44     2.406
1937    45     2.408
1937    46     2.409
1937    47     2.409
1937    48     2.410
1937    49     2.410
1937    50     2.410
1937    51     2.410
1937    52     2.410
1937    53     2.410
1937    54     2.410
1937    55     2.410
1938    12         .
1938    13     0.000
1938    14     0.000
1938    15     0.000
1938    16     0.003
1938    17     0.013
1938    18     0.041
1938    19     0.103
1938    20     0.204
1938    21     0.335
1938    22     0.489
1938    23     0.662
1938    24     0.848
1938    25     1.034
1938    26     1.214
1938    27     1.383
1938    28     1.533
1938    29     1.671
1938    30     1.794
1938    31     1.900
1938    32     1.989
1938    33     2.062
1938    34     2.125
1938    35     2.177
1938    36     2.218
1938    37     2.254
1938    38     2.279
1938    39     2.298
1938    40     2.313
1938    41     2.322
1938    42     2.329
1938    43     2.333
1938    44     2.336
1938    45     2.338
1938    46     2.338
1938    47     2.339
1938    48     2.339
1938    49     2.339
1938    50     2.339
1938    51     2.339
1938    52     2.339
1938    53     2.339
1938    54     2.339
1938    55     2.339
1939    12     0.000
1939    13     0.000
1939    14     0.000
1939    15     0.000
1939    16     0.002
1939    17     0.013
1939    18     0.044
1939    19     0.105
1939    20     0.205
1939    21     0.339
1939    22     0.492
1939    23     0.664
1939    24     0.842
1939    25     1.018
1939    26     1.190
1939    27     1.345
1939    28     1.486
1939    29     1.615
1939    30     1.730
1939    31     1.826
1939    32     1.904
1939    33     1.970
1939    34     2.023
1939    35     2.067
1939    36     2.103
1939    37     2.130
1939    38     2.151
1939    39     2.167
1939    40     2.179
1939    41     2.187
1939    42     2.193
1939    43     2.197
1939    44     2.200
1939    45     2.201
1939    46     2.202
1939    47     2.202
1939    48     2.202
1939    49     2.202
1939    50     2.202
1939    51     2.202
1939    52     2.202
1939    53     2.202
1939    54     2.202
1939    55     2.202
1940    12     0.000
1940    13     0.000
1940    14     0.000
1940    15     0.000
1940    16     0.002
1940    17     0.012
1940    18     0.044
1940    19     0.108
1940    20     0.209
1940    21     0.340
1940    22     0.497
1940    23     0.668
1940    24     0.843
1940    25     1.016
1940    26     1.178
1940    27     1.329
1940    28     1.469
1940    29     1.593
1940    30     1.694
1940    31     1.783
1940    32     1.854
1940    33     1.916
1940    34     1.965
1940    35     2.006
1940    36     2.039
1940    37     2.065
1940    38     2.084
1940    39     2.100
1940    40     2.111
1940    41     2.119
1940    42     2.125
1940    43     2.129
1940    44     2.131
1940    45     2.132
1940    46     2.132
1940    47     2.132
1940    48     2.132
1940    49     2.132
1940    50     2.132
1940    51     2.132
1940    52     2.132
1940    53     2.132
1940    54     2.132
1940    55     2.132
1941    12     0.000
1941    13     0.000
1941    14     0.000
1941    15     0.000
1941    16     0.003
1941    17     0.014
1941    18     0.046
1941    19     0.113
1941    20     0.217
1941    21     0.353
1941    22     0.510
1941    23     0.678
1941    24     0.847
1941    25     1.012
1941    26     1.169
1941    27     1.318
1941    28     1.451
1941    29     1.564
1941    30     1.660
1941    31     1.742
1941    32     1.808
1941    33     1.863
1941    34     1.909
