Austria, Cumulative cohort fertility rates by birth order (horizontal parallelograms
Last modified: 05/08/2021
Cohort  Age     CCFR     CCFR1     CCFR2     CCFR3     CCFR4    CCFR5p
1969    12         .         .         .         .         .         .
1969    13         .         .         .         .         .         .
1969    14         .         .         .         .         .         .
1969    15     0.000     0.000     0.000     0.000     0.000     0.000
1969    16     0.002     0.002     0.000     0.000     0.000     0.000
1969    17     0.008     0.008     0.000     0.000     0.000     0.000
1969    18     0.025     0.024     0.001     0.000     0.000     0.000
1969    19     0.055     0.052     0.003     0.000     0.000     0.000
1969    20     0.104     0.094     0.009     0.001     0.000     0.000
1969    21     0.167     0.145     0.021     0.002     0.000     0.000
1969    22     0.245     0.201     0.040     0.004     0.000     0.000
1969    23     0.333     0.259     0.066     0.007     0.001     0.000
1969    24     0.431     0.317     0.099     0.013     0.002     0.000
1969    25     0.534     0.372     0.138     0.020     0.003     0.000
1969    26     0.639     0.427     0.178     0.029     0.004     0.001
1969    27     0.746     0.478     0.220     0.039     0.007     0.002
1969    28     0.853     0.527     0.263     0.051     0.009     0.002
1969    29     0.951     0.569     0.305     0.063     0.012     0.003
1969    30     1.042     0.606     0.342     0.075     0.015     0.004
1969    31     1.127     0.638     0.378     0.087     0.018     0.005
1969    32     1.205     0.667     0.411     0.100     0.021     0.006
1969    33     1.275     0.691     0.439     0.113     0.025     0.007
1969    34     1.338     0.711     0.465     0.125     0.029     0.008
1969    35     1.395     0.729     0.488     0.136     0.032     0.010
1969    36     1.446     0.745     0.507     0.147     0.035     0.011
1969    37     1.487     0.757     0.523     0.155     0.039     0.013
1969    38     1.522     0.768     0.536     0.163     0.042     0.014
1969    39     1.548     0.774     0.545     0.169     0.044     0.016
1969    40     1.570     0.780     0.553     0.174     0.046     0.017
1969    41     1.587     0.785     0.558     0.178     0.047     0.018
1969    42     1.598     0.788     0.562     0.181     0.048     0.019
1969    43     1.605     0.790     0.564     0.182     0.049     0.020
1969    44     1.609     0.791     0.565     0.183     0.050     0.020
1969    45     1.612     0.792     0.566     0.184     0.050     0.020
1969    46     1.613     0.792     0.566     0.184     0.050     0.021
1969    47     1.614     0.792     0.566     0.184     0.050     0.021
1969    48     1.614     0.792     0.566     0.184     0.050     0.021
1969    49     1.614     0.793     0.567     0.184     0.051     0.021
1969    50     1.615     0.793     0.567     0.184     0.051     0.021
1969    51         .         .         .         .         .         .
1969    52         .         .         .         .         .         .
1969    53         .         .         .         .         .         .
1969    54         .         .         .         .         .         .
1969    55         .         .         .         .         .         .
1970    12         .         .         .         .         .         .
1970    13         .         .         .         .         .         .
1970    14     0.000     0.000     0.000     0.000     0.000     0.000
1970    15     0.000     0.000     0.000     0.000     0.000     0.000
1970    16     0.002     0.002     0.000     0.000     0.000     0.000
1970    17     0.007     0.007     0.000     0.000     0.000     0.000
1970    18     0.022     0.021     0.001     0.000     0.000     0.000
1970    19     0.051     0.048     0.004     0.000     0.000     0.000
1970    20     0.098     0.088     0.009     0.000     0.000     0.000
1970    21     0.161     0.139     0.021     0.002     0.000     0.000
1970    22     0.238     0.196     0.039     0.004     0.000     0.000
1970    23     0.327     0.254     0.066     0.007     0.001     0.000
1970    24     0.422     0.310     0.098     0.013     0.001     0.000
1970    25     0.521     0.364     0.135     0.020     0.002     0.000
1970    26     0.625     0.417     0.176     0.028     0.004     0.001
1970    27     0.731     0.470     0.216     0.038     0.006     0.001
1970    28     0.834     0.517     0.258     0.049     0.008     0.001
1970    29     0.929     0.558     0.297     0.061     0.010     0.002
1970    30     1.023     0.597     0.336     0.074     0.014     0.003
1970    31     1.111     0.631     0.372     0.087     0.017     0.004
1970    32     1.192     0.660     0.406     0.100     0.021     0.005
1970    33     1.268     0.687     0.437     0.114     0.024     0.006
1970    34     1.332     0.707     0.463     0.126     0.028     0.008
1970    35     1.391     0.725     0.487     0.138     0.032     0.009
1970    36     1.444     0.742     0.507     0.149     0.035     0.011
1970    37     1.487     0.755     0.523     0.158     0.039     0.013
1970    38     1.525     0.766     0.536     0.167     0.042     0.014
1970    39     1.555     0.774     0.547     0.173     0.045     0.016
1970    40     1.577     0.781     0.555     0.178     0.047     0.017
1970    41     1.595     0.786     0.561     0.181     0.048     0.018
1970    42     1.606     0.789     0.564     0.184     0.050     0.019
1970    43     1.614     0.791     0.567     0.186     0.050     0.020
1970    44     1.618     0.793     0.568     0.186     0.051     0.020
1970    45     1.621     0.793     0.569     0.187     0.051     0.020
1970    46     1.622     0.794     0.570     0.187     0.051     0.021
1970    47     1.623     0.794     0.570     0.187     0.051     0.021
1970    48     1.624     0.794     0.570     0.187     0.051     0.021
1970    49     1.624     0.794     0.570     0.187     0.051     0.021
1970    50         .         .         .         .         .         .
1970    51         .         .         .         .         .         .
1970    52         .         .         .         .         .         .
1970    53         .         .         .         .         .         .
1970    54         .         .         .         .         .         .
1970    55         .         .         .         .         .         .
1971    12         .         .         .         .         .         .
1971    13     0.000     0.000     0.000     0.000     0.000     0.000
1971    14     0.000     0.000     0.000     0.000     0.000     0.000
1971    15     0.000     0.000     0.000     0.000     0.000     0.000
1971    16     0.002     0.002     0.000     0.000     0.000     0.000
1971    17     0.008     0.008     0.000     0.000     0.000     0.000
1971    18     0.024     0.022     0.001     0.000     0.000     0.000
1971    19     0.052     0.048     0.004     0.000     0.000     0.000
1971    20     0.098     0.088     0.009     0.001     0.000     0.000
1971    21     0.164     0.140     0.022     0.002     0.000     0.000
1971    22     0.239     0.194     0.040     0.004     0.000     0.000
1971    23     0.323     0.248     0.066     0.008     0.001     0.000
1971    24     0.413     0.301     0.098     0.013     0.001     0.000
1971    25     0.510     0.353     0.135     0.020     0.003     0.000
1971    26     0.615     0.408     0.174     0.028     0.004     0.001
1971    27     0.716     0.457     0.214     0.038     0.006     0.001
1971    28     0.815     0.503     0.253     0.049     0.008     0.002
1971    29     0.912     0.545     0.292     0.061     0.011     0.003
1971    30     1.005     0.584     0.330     0.073     0.014     0.003
1971    31     1.094     0.620     0.366     0.086     0.017     0.005
1971    32     1.178     0.652     0.400     0.100     0.021     0.006
1971    33     1.254     0.678     0.432     0.113     0.025     0.007
1971    34     1.325     0.701     0.460     0.126     0.029     0.009
1971    35     1.387     0.721     0.485     0.138     0.033     0.010
1971    36     1.440     0.738     0.505     0.149     0.036     0.012
1971    37     1.488     0.753     0.523     0.159     0.040     0.014
1971    38     1.526     0.763     0.537     0.167     0.043     0.016
1971    39     1.558     0.773     0.549     0.173     0.045     0.017
1971    40     1.583     0.781     0.557     0.179     0.048     0.018
1971    41     1.603     0.787     0.564     0.183     0.050     0.020
1971    42     1.615     0.791     0.568     0.185     0.051     0.020
1971    43     1.624     0.793     0.571     0.187     0.052     0.021
1971    44     1.628     0.794     0.572     0.188     0.052     0.021
1971    45     1.631     0.795     0.573     0.189     0.052     0.022
1971    46     1.632     0.796     0.573     0.189     0.053     0.022
1971    47     1.633     0.796     0.574     0.189     0.053     0.022
1971    48     1.634     0.796     0.574     0.189     0.053     0.022
1971    49         .         .         .         .         .         .
1971    50         .         .         .         .         .         .
1971    51         .         .         .         .         .         .
1971    52         .         .         .         .         .         .
1971    53         .         .         .         .         .         .
1971    54         .         .         .         .         .         .
1971    55         .         .         .         .         .         .
1972    12     0.000     0.000     0.000     0.000     0.000     0.000
1972    13     0.000     0.000     0.000     0.000     0.000     0.000
1972    14     0.000     0.000     0.000     0.000     0.000     0.000
1972    15     0.000     0.000     0.000     0.000     0.000     0.000
1972    16     0.002     0.002     0.000     0.000     0.000     0.000
1972    17     0.009     0.008     0.000     0.000     0.000     0.000
1972    18     0.025     0.024     0.001     0.000     0.000     0.000
1972    19     0.057     0.052     0.004     0.000     0.000     0.000
1972    20     0.107     0.095     0.011     0.001     0.000     0.000
1972    21     0.172     0.145     0.024     0.002     0.000     0.000
1972    22     0.247     0.198     0.044     0.005     0.001     0.000
1972    23     0.326     0.247     0.069     0.009     0.001     0.000
1972    24     0.412     0.297     0.100     0.013     0.002     0.000
1972    25     0.507     0.349     0.133     0.020     0.003     0.001
1972    26     0.604     0.400     0.170     0.029     0.004     0.001
1972    27     0.703     0.448     0.208     0.039     0.006     0.001
1972    28     0.803     0.496     0.246     0.050     0.009     0.002
1972    29     0.899     0.538     0.286     0.062     0.011     0.003
1972    30     0.994     0.577     0.325     0.074     0.015     0.004
1972    31     1.089     0.614     0.362     0.089     0.018     0.005
1972    32     1.176     0.647     0.397     0.103     0.022     0.006
1972    33     1.256     0.675     0.429     0.118     0.027     0.008
1972    34     1.329     0.699     0.458     0.131     0.031     0.010
