Austria, Cohort fertility tables, birth orders 1 to 5+
Last modified: 05/08/2021
Cohort   x   b1x     l0x       m1x       q1x   Sb1x   b2x    l1x       m2x       q2x   Sb2x    b3x    l2x       m3x       q3x   Sb3x    b4x    l3x       m4x       q4x   Sb4x   b5px    l4x      m5px      q5px   Sb5px     chix
1969    12-    .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1969    13     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1969    14     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1969    15    16   10000   0.00157   0.00156      0     0      0         .         .      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1969    16    63    9984   0.00635   0.00633     16     1     16   0.02515   0.07500      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1969    17   159    9921   0.01612   0.01599     79     8     78   0.05016   0.09892      1      0      1   0.03387   0.14234      0      0      0         .         .      0      0      0         .         .       0        .
1969    18   282    9762   0.02931   0.02889    238    24    229   0.06635   0.10382      9      2      9   0.07596   0.17315      0      0      0         .         .      0      0      0         .         .       0        .
1969    19   422    9480   0.04547   0.04446    520    60    487   0.08912   0.12224     33      3     31   0.05924   0.11291      2      0      2   0.00000   0.00000      0      0      0   0.00000   0.00000       0     4.00
1969    20   510    9059   0.05792   0.05629    941   114    849   0.10860   0.13394     92     12     87   0.08430   0.13378      5      0      5   0.03077   0.06559      0      0      0   0.49519   0.98094       0     4.00
1969    21   559    8549   0.06763   0.06541   1451   190   1245   0.13321   0.15293    206     22    189   0.07942   0.11485     17      2     16   0.08007   0.12825      0      0      0   0.20885   0.65017       0     4.33
1969    22   577    7990   0.07489   0.07219   2010   265   1614   0.14989   0.16435    396     36    358   0.07692   0.10153     39      5     36   0.10399   0.14882      3      0      3   0.02990   0.06081       0     4.19
1969    23   585    7413   0.08216   0.07892   2587   332   1925   0.16155   0.17218    662     51    587   0.07008   0.08683     75      9     67   0.09787   0.12884      8      2      8   0.13831   0.21345       1     4.08
1969    24   549    6828   0.08381   0.08044   3172   388   2179   0.17169   0.17805    993     73    867   0.07166   0.08465    126     14    109   0.09742   0.12411     17      2     17   0.10447   0.14725       2     4.14
1969    25   547    6279   0.09100   0.08704   3721   396   2340   0.16396   0.16923   1381     87   1182   0.06539   0.07393    199     15    169   0.07163   0.08702     30      5     30   0.12551   0.15618       5     4.16
1969    26   515    5732   0.09406   0.08984   4268   424   2491   0.16735   0.17040   1777    102   1491   0.06198   0.06867    287     22    242   0.07954   0.09270     45      6     45   0.10540   0.13175       9     4.21
1969    27   492    5217   0.09901   0.09434   4783   429   2581   0.16425   0.16625   2201    117   1813   0.05945   0.06457    389     25    322   0.06785   0.07756     67      9     67   0.10814   0.12821      15     4.23
1969    28   411    4725   0.09090   0.08695   5275   414   2644   0.15684   0.15673   2631    123   2125   0.05408   0.05780    506     24    414   0.05118   0.05731     92      6     92   0.06098   0.06882      24     4.26
1969    29   377    4314   0.09144   0.08744   5686   372   2641   0.14090   0.14102   3045    125   2416   0.04937   0.05189    629     31    513   0.05551   0.06061    116      9    116   0.06544   0.07421      30     4.26
1969    30   322    3937   0.08518   0.08170   6063   362   2646   0.13808   0.13702   3417    121   2663   0.04331   0.04527    754     31    607   0.04744   0.05095    147      9    147   0.05269   0.05823      39     4.26
1969    31   285    3615   0.08214   0.07890   6385   326   2605   0.12627   0.12528   3780    128   2905   0.04266   0.04411    875     36    697   0.04780   0.05098    178     10    178   0.05286   0.05813      48     4.27
1969    32   242    3330   0.07551   0.07277   6670   287   2564   0.11278   0.11181   4106    122   3103   0.03841   0.03943   1003     34    789   0.04081   0.04309    213     14    213   0.05892   0.06362      58     4.27
1969    33   198    3088   0.06637   0.06424   6912   260   2519   0.10449   0.10321   4393    122   3268   0.03647   0.03724   1125     38    878   0.04120   0.04317    247     13    247   0.04964   0.05344      71     4.29
1969    34   183    2889   0.06557   0.06349   7111   229   2458   0.09399   0.09313   4653    115   3406   0.03333   0.03388   1247     32    962   0.03200   0.03339    285     13    285   0.04270   0.04511      85     4.30
1969    35   152    2706   0.05790   0.05627   7294   191   2412   0.07973   0.07910   4882    108   3519   0.03024   0.03060   1362     35   1045   0.03266   0.03379    317     16    317   0.04653   0.04912      98     4.31
1969    36   124    2554   0.04974   0.04853   7446   162   2374   0.06869   0.06814   5073     84   3603   0.02317   0.02342   1470     32   1117   0.02832   0.02898    353     16    353   0.04447   0.04651     113     4.32
1969    37   105    2430   0.04437   0.04340   7570   121   2336   0.05183   0.05166   5234     75   3680   0.02015   0.02027   1554     31   1169   0.02591   0.02640    385     15    385   0.03652   0.03798     130     4.34
1969    38    69    2324   0.03001   0.02957   7676    94   2321   0.04080   0.04057   5355     65   3726   0.01728   0.01734   1629     21   1213   0.01693   0.01724    416     13    416   0.03120   0.03198     144     4.35
1969    39    57    2256   0.02559   0.02527   7744    76   2295   0.03318   0.03304   5449     50   3756   0.01330   0.01335   1694     20   1257   0.01597   0.01616    437     15    437   0.03334   0.03411     157     4.36
1969    40    46    2199   0.02103   0.02081   7801    57   2276   0.02491   0.02485   5525     38   3781   0.00991   0.00994   1744     17   1287   0.01285   0.01295    457     10    457   0.02229   0.02270     172     4.38
1969    41    31    2153   0.01456   0.01445   7847    34   2266   0.01497   0.01496   5582     26   3800   0.00672   0.00673   1781     11   1307   0.00833   0.00838    474      8    474   0.01768   0.01788     183     4.39
1969    42    19    2122   0.00884   0.00880   7878    21   2263   0.00929   0.00929   5616     15   3809   0.00406   0.00406   1807      9   1322   0.00694   0.00695    485      7    485   0.01461   0.01475     191     4.39
1969    43    12    2103   0.00569   0.00568   7897    14   2260   0.00638   0.00638   5637      9   3814   0.00244   0.00244   1822      7   1328   0.00493   0.00493    494      4    494   0.00761   0.00766     198     4.40
1969    44     7    2091   0.00320   0.00319   7909     8   2258   0.00334   0.00334   5651      5   3819   0.00133   0.00133   1832      3   1331   0.00229   0.00229    501      2    501   0.00434   0.00435     202     4.40
1969    45     4    2084   0.00208   0.00208   7916     3   2257   0.00122   0.00122   5658      2   3822   0.00049   0.00049   1837      1   1333   0.00054   0.00054    504      1    504   0.00258   0.00258     204     4.41
1969    46     3    2080   0.00139   0.00138   7920     2   2259   0.00102   0.00102   5661      2   3823   0.00053   0.00053   1839      0   1334   0.00022   0.00022    504      0    504   0.00057   0.00057     206     4.41
1969    47     2    2077   0.00090   0.00090   7923     1   2259   0.00044   0.00044   5664      0   3823   0.00004   0.00004   1841      0   1336   0.00021   0.00021    505      0    505   0.00028   0.00028     206     4.41
1969    48     1    2075   0.00069   0.00069   7925     1   2260   0.00038   0.00038   5665      0   3824   0.00011   0.00011   1841      0   1336   0.00021   0.00021    505      0    505   0.00085   0.00085     206     4.41
1969    49     0    2074   0.00021   0.00021   7926     0   2261   0.00013   0.00013   5665      0   3824   0.00007   0.00007   1841      0   1336   0.00000   0.00000    505      0    505   0.00000   0.00000     206     4.41
1969    50     .    2073         .         .   7927     .   2261         .         .   5666      .   3824         .         .   1842      .   1336         .         .    505      .    505         .         .     206     4.41
1969    51     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1969    52     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1969    53     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1969    54     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1969    55+    .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1970    12-    .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1970    13     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1970    14     3   10000   0.00029   0.00029      0     0      0         .         .      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1970    15    14    9997   0.00138   0.00138      3     1      3   0.11750   0.37352      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1970    16    55    9983   0.00556   0.00554     17     2     16   0.04266   0.11574      1      0      1   0.00000   0.00000      0      0      0         .         .      0      0      0         .         .       0        .
1970    17   140    9928   0.01419   0.01409     72     8     69   0.05754   0.11248      3      1      3   0.08329   0.18729      0      0      0         .         .      0      0      0         .         .       0        .
