Austria, Cumulative period fertility rates (Lexis squares)
Last modified: 05/08/2021
Year    Age     CPFR
1951    12     0.000
1951    13     0.000
1951    14     0.000
1951    15     0.000
1951    16     0.002
1951    17     0.010
1951    18     0.036
1951    19     0.088
1951    20     0.166
1951    21     0.266
1951    22     0.376
1951    23     0.496
1951    24     0.616
1951    25     0.739
1951    26     0.860
1951    27     0.977
1951    28     1.092
1951    29     1.200
1951    30     1.306
1951    31     1.405
1951    32     1.494
1951    33     1.570
1951    34     1.639
1951    35     1.702
1951    36     1.760
1951    37     1.813
1951    38     1.860
1951    39     1.900
1951    40     1.934
1951    41     1.962
1951    42     1.983
1951    43     1.998
1951    44     2.008
1951    45     2.014
1951    46     2.018
1951    47     2.019
1951    48     2.020
1951    49     2.020
1951    50     2.021
1951    51     2.021
1951    52     2.021
1951    53     2.021
1951    54     2.021
1951    55     2.021
1952    12     0.000
1952    13     0.000
1952    14     0.000
1952    15     0.000
1952    16     0.002
1952    17     0.010
1952    18     0.035
1952    19     0.086
1952    20     0.168
1952    21     0.270
1952    22     0.384
1952    23     0.507
1952    24     0.631
1952    25     0.759
1952    26     0.883
1952    27     1.007
1952    28     1.125
1952    29     1.236
1952    30     1.340
1952    31     1.439
1952    32     1.528
1952    33     1.611
1952    34     1.684
1952    35     1.749
1952    36     1.805
1952    37     1.856
1952    38     1.904
1952    39     1.944
1952    40     1.977
1952    41     2.003
1952    42     2.024
1952    43     2.039
1952    44     2.049
1952    45     2.055
1952    46     2.058
1952    47     2.060
1952    48     2.060
1952    49     2.061
1952    50     2.061
1952    51     2.061
1952    52     2.061
1952    53     2.061
1952    54     2.061
1952    55     2.061
1953    12     0.000
1953    13     0.000
1953    14     0.000
1953    15     0.000
1953    16     0.002
1953    17     0.011
1953    18     0.036
1953    19     0.087
1953    20     0.167
1953    21     0.274
1953    22     0.394
1953    23     0.523
1953    24     0.651
1953    25     0.783
1953    26     0.913
1953    27     1.036
1953    28     1.155
1953    29     1.268
1953    30     1.378
1953    31     1.474
1953    32     1.568
1953    33     1.649
1953    34     1.722
1953    35     1.787
1953    36     1.847
1953    37     1.898
1953    38     1.941
1953    39     1.980
1953    40     2.012
1953    41     2.038
1953    42     2.058
1953    43     2.072
1953    44     2.082
1953    45     2.088
1953    46     2.091
1953    47     2.093
1953    48     2.094
1953    49     2.094
1953    50     2.094
1953    51     2.094
1953    52     2.094
1953    53     2.094
1953    54     2.094
1953    55     2.094
1954    12     0.000
1954    13     0.000
1954    14     0.000
1954    15     0.000
1954    16     0.002
1954    17     0.011
1954    18     0.039
1954    19     0.091
1954    20     0.171
1954    21     0.281
1954    22     0.403
1954    23     0.536
1954    24     0.670
1954    25     0.807
1954    26     0.942
1954    27     1.072
1954    28     1.196
1954    29     1.310
1954    30     1.420
1954    31     1.522
1954    32     1.613
1954    33     1.698
1954    34     1.774
1954    35     1.839
1954    36     1.898
1954    37     1.952
1954    38     1.999
1954    39     2.038
1954    40     2.071
1954    41     2.099
1954    42     2.120
1954    43     2.135
1954    44     2.144
1954    45     2.150
1954    46     2.153
1954    47     2.154
1954    48     2.155
1954    49     2.156
1954    50     2.156
1954    51     2.156
1954    52     2.156
1954    53     2.156
1954    54     2.156
1954    55     2.156
1955    12     0.000
1955    13     0.000
1955    14     0.000
1955    15     0.000
1955    16     0.002
1955    17     0.012
1955    18     0.039
