Austria, Cumulative period fertility rates by birth order (vertical parallelograms)
Last modified: 05/08/2021
Year  ARDY  Cohort     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
1984   12    1972     0.000     0.000     0.000     0.000     0.000     0.000
1984   13    1971     0.000     0.000     0.000     0.000     0.000     0.000
1984   14    1970     0.000     0.000     0.000     0.000     0.000     0.000
1984   15    1969     0.000     0.000     0.000     0.000     0.000     0.000
1984   16    1968     0.001     0.001     0.000     0.000     0.000     0.000
1984   17    1967     0.004     0.004     0.000     0.000     0.000     0.000
1984   18    1966     0.017     0.016     0.001     0.000     0.000     0.000
1984   19    1965     0.046     0.044     0.003     0.000     0.000     0.000
1984   20    1964     0.097     0.088     0.008     0.001     0.000     0.000
1984   21    1963     0.172     0.150     0.021     0.002     0.000     0.000
1984   22    1962     0.266     0.217     0.045     0.004     0.000     0.000
1984   23    1961     0.371     0.284     0.078     0.009     0.001     0.000
1984   24    1960     0.485     0.347     0.119     0.016     0.002     0.000
1984   25    1959     0.601     0.407     0.164     0.025     0.003     0.000
1984   26    1958     0.718     0.460     0.213     0.039     0.006     0.001
1984   27    1957     0.831     0.507     0.259     0.054     0.009     0.002
1984   28    1956     0.936     0.547     0.304     0.070     0.013     0.003
1984   29    1955     1.030     0.580     0.342     0.087     0.017     0.004
1984   30    1954     1.116     0.606     0.378     0.104     0.022     0.006
1984   31    1953     1.191     0.626     0.408     0.122     0.028     0.008
1984   32    1952     1.256     0.641     0.432     0.137     0.035     0.011
1984   33    1951     1.310     0.653     0.450     0.152     0.041     0.014
1984   34    1950     1.355     0.661     0.465     0.164     0.047     0.018
1984   35    1949     1.392     0.667     0.475     0.175     0.052     0.022
1984   36    1948     1.425     0.672     0.484     0.184     0.058     0.026
1984   37    1947     1.449     0.676     0.491     0.191     0.062     0.030
1984   38    1946     1.470     0.679     0.496     0.196     0.066     0.033
1984   39    1945     1.486     0.681     0.499     0.200     0.069     0.036
1984   40    1944     1.498     0.682     0.502     0.203     0.071     0.039
1984   41    1943     1.506     0.683     0.503     0.205     0.073     0.041
1984   42    1942     1.511     0.684     0.504     0.207     0.074     0.043
1984   43    1941     1.516     0.684     0.505     0.208     0.075     0.045
