Austria, Female exposure to risk by calendar year, age and parity
Last modified: 05/08/2021
Year   Age            E0x            E1x            E2x            E3x           E4px
1991    12       42052.93           0.00           0.00           0.00           0.00
1991    13       42010.81           2.73           0.00           0.00           0.00
1991    14       42401.05          26.01           0.25           0.00           0.00
1991    15       44099.53          95.24           1.95           0.24           0.00
1991    16       46698.02         349.65          21.87           0.26           0.00
1991    17       47052.25         973.56          83.10           0.99           0.00
1991    18       48188.80        2083.37         214.89           6.55           0.72
1991    19       49874.60        3805.65         468.24          39.88           1.50
1991    20       49817.73        6095.90         961.06          91.04           2.48
1991    21       49146.01        9007.11        1929.95         202.95           8.05
1991    22       48177.92       12048.32        3462.75         389.63          36.61
1991    23       44777.35       14555.74        5332.66         636.82          84.47
1991    24       40370.10       16876.52        7695.57        1073.75         142.90
1991    25       35587.66       18565.66       10376.70        1690.53         280.31
1991    26       31909.05       19968.55       13457.44        2450.47         461.11
1991    27       27879.69       20346.86       16162.73        3280.98         667.41
1991    28       24318.83       20375.91       18650.42        4282.38         969.00
1991    29       20868.30       19381.07       20207.10        5177.61        1285.23
1991    30       17928.79       18246.77       20989.76        6013.81        1625.60
1991    31       15454.40       17107.53       21337.32        6652.62        1975.23
1991    32       13702.21       16190.19       21477.01        7114.48        2261.64
1991    33       12269.45       15497.19       21404.86        7571.18        2539.68
1991    34       11315.33       14972.62       21610.77        8064.14        2915.66
1991    35       10220.34       14010.65       21074.95        8263.70        3242.46
1991    36        8943.15       13000.03       19841.63        8216.80        3412.03
1991    37        8092.85       12467.73       19159.36        8282.29        3688.52
1991    38        7549.78       12131.11       18916.17        8247.22        3978.92
1991    39        7029.28       11725.60       18524.73        8213.62        4147.91
1991    40        6708.74       11674.11       18382.20        8419.22        4574.31
1991    41        6510.41       11709.62       18480.48        8620.33        4926.30
1991    42        6764.40       12416.13       19371.96        9206.69        5388.05
1991    43        6841.90       12728.30       19365.64        9343.83        5686.19
1991    44        6556.85       12240.79       18896.74        9209.49        5973.72
1991    45        4908.18        9025.17       13632.58        6731.10        4641.43
1991    46        5920.67       10690.44       15664.27        7748.24        5487.24
1991    47        6555.17       11682.02       17288.80        8727.50        6284.85
1991    48        6196.40       10875.73       16392.38        8713.69        6549.21
1991    49        6770.39       11744.71       17727.69        9906.99        7792.64
1991    50        7308.01       12381.20       18622.56       10839.94        8967.52
1991    51        7674.26       12760.56       19513.40       11684.40       10335.54
1991    52        6055.95        9791.57       15306.45        9726.14        9338.33
1991    53        4628.08        7057.59       11315.28        7657.42        7948.82
1991    54        4519.24        6741.71       10613.88        7228.42        8033.91
1991    55        4551.39        6852.83       10475.32        7066.74        8197.65
1992    12       43554.23           0.00           0.00           0.00           0.00
1992    13       42725.23           1.27           0.00           0.00           0.00
1992    14       42581.64          13.80           0.50           0.00           0.00
1992    15       42945.05          78.69           1.25           0.00           0.00
1992    16       44620.41         273.46          13.71           1.22           0.00
1992    17       46913.08         878.63          62.49           2.29           0.00
1992    18       46851.05        2015.32         186.16           5.52           0.00
1992    19       47520.58        3729.67         456.80          23.03           1.71
1992    20       48574.01        6016.41         957.33          83.48           4.54
1992    21       47810.38        8528.22        1763.03         175.58           9.56
1992    22       46692.22       11354.43        3164.03         357.81          29.93
1992    23       45417.46       14191.22        5209.77         648.09          80.41
1992    24       41678.30       16431.17        7418.51        1033.87         154.91
1992    25       37065.10       18397.13       10044.37        1613.62         252.90
1992    26       32435.63       19570.33       12790.18        2369.82         435.88
1992    27       29034.74       20516.44       15819.57        3260.78         668.64
1992    28       25434.41       20537.79       18419.51        4143.09         925.69
1992    29       22298.27       20175.85       20597.15        5150.06        1266.82
1992    30       19221.17       19059.93       21715.17        6009.22        1594.03
1992    31       16687.68       17909.69       22167.54        6768.56        1976.90
1992    32       14609.13       16801.59       22196.82        7357.28        2358.92
1992    33       13036.19       15937.35       22108.30        7742.16        2631.97
1992    34       11764.07       15256.75       21894.74        8122.40        2864.02
1992    35       10944.70       14840.17       21940.92        8526.02        3197.42
1992    36        9937.92       13949.35       21329.72        8546.75        3503.87
1992    37        8772.46       12957.09       20095.28        8426.85        3629.65
1992    38        7990.07       12456.81       19332.09        8447.67        3872.16
1992    39        7498.30       12160.08       19037.92        8373.71        4139.70
1992    40        7026.43       11781.16       18665.77        8326.29        4269.03
1992    41        6700.09       11701.51       18462.04        8478.63        4657.07
1992    42        6523.97       11772.34       18594.39        8683.61        5004.05
1992    43        6785.08       12473.89       19467.09        9263.43        5441.48
1992    44        6844.60       12746.75       19399.39        9363.61        5711.09
1992    45        6562.93       12264.26       18933.88        9227.00        5994.56
1992    46        4917.77        9042.15       13660.96        6746.76        4653.57
1992    47        5934.12       10713.67       15698.20        7766.88        5501.33
1992    48        6558.37       11687.22       17296.23        8732.78        6288.43
1992    49        6194.06       10871.62       16385.69        8710.89        6546.74
1992    50        6765.13       11735.59       17713.92        9898.83        7787.05
1992    51        7297.17       12362.83       18594.94       10823.35        8954.73
1992    52        7674.90       12761.63       19515.04       11685.38       10336.41
1992    53        6061.26        9800.16       15319.88        9734.67        9346.52
1992    54        4626.48        7055.16       11311.39        7654.79        7946.09
1992    55        4490.22        6635.26       10759.88        7395.18        7875.72
1993    12       47015.97           0.00           0.00           0.00           0.00
1993    13       44058.61           1.54           0.00           0.00           0.00
1993    14       43209.81           9.85           0.00           0.00           0.00
1993    15       42998.26          56.90           1.50           0.00           0.00
1993    16       43332.79         246.02           9.69           0.49           0.00
1993    17       44699.05         740.97          53.20           4.18           0.00
1993    18       46559.22        1820.03         171.21          14.31           0.00
1993    19       46051.71        3548.60         446.80          31.71           0.99
1993    20       46120.38        5752.63         965.11          74.70           5.21
1993    21       46524.41        8199.49        1776.07         179.48          12.11
1993    22       45311.64       10642.67        2976.02         343.41          27.21
1993    23       43815.16       13298.83        4822.25         605.91          70.47
1993    24       42241.10       15843.12        7253.04        1013.93         145.52
1993    25       38377.24       17693.39        9726.60        1538.64         253.02
1993    26       33835.53       19169.52       12545.11        2247.44         392.19
1993    27       29510.14       19824.45       15207.04        3148.86         614.17
1993    28       26439.02       20531.54       18017.87        4161.14         896.17
1993    29       23191.78       20355.15       20254.57        5070.50        1199.89
1993    30       20461.75       19779.89       22096.15        6046.48        1586.47
1993    31       17801.41       18616.02       22852.44        6838.92        1912.57
1993    32       15641.90       17471.78       23018.05        7528.75        2288.33
1993    33       13881.97       16409.47       22841.11        7994.87        2684.28
1993    34       12510.58       15643.84       22590.70        8275.66        2928.45
1993    35       11357.34       15017.54       22272.82        8555.96        3119.21
1993    36       10609.24       14673.45       22177.95        8833.78        3434.56
1993    37        9724.27       13868.11       21464.53        8780.51        3724.79
1993    38        8654.67       12914.57       20189.02        8601.65        3809.37
1993    39        7933.81       12449.56       19431.06        8574.79        4013.27
1993    40        7482.18       12181.83       19150.75        8482.78        4257.31
1993    41        7005.07       11775.37       18718.52        8376.74        4345.26
1993    42        6691.91       11722.66       18507.86        8508.10        4713.13
1993    43        6531.44       11810.48       18655.47        8719.35        5046.67
1993    44        6793.96       12496.39       19506.14        9284.52        5468.35
