Austria, Female exposure to risk by calendar year, age and parity (based on parity distribution from population census)
Last modified: 05/08/2021
Year   Age            E0x            E1x            E2x            E3x           E4px
1991    12       42052.93           0.00           0.00           0.00           0.00
1991    13       42010.81           2.73           0.00           0.00           0.00
1991    14       42401.05          26.01           0.25           0.00           0.00
1991    15       44099.53          95.24           1.95           0.24           0.00
1991    16       46698.02         349.65          21.87           0.26           0.00
1991    17       47052.25         973.56          83.10           0.99           0.00
1991    18       48188.80        2083.37         214.89           6.55           0.72
1991    19       49874.60        3805.65         468.24          39.88           1.50
1991    20       49817.73        6095.90         961.06          91.04           2.48
1991    21       49146.01        9007.11        1929.95         202.95           8.05
1991    22       48177.92       12048.32        3462.75         389.63          36.61
1991    23       44777.35       14555.74        5332.66         636.82          84.47
1991    24       40370.10       16876.52        7695.57        1073.75         142.90
1991    25       35587.66       18565.66       10376.70        1690.53         280.31
1991    26       31909.05       19968.55       13457.44        2450.47         461.11
1991    27       27879.69       20346.86       16162.73        3280.98         667.41
1991    28       24318.83       20375.91       18650.42        4282.38         969.00
1991    29       20868.30       19381.07       20207.10        5177.61        1285.23
1991    30       17928.79       18246.77       20989.76        6013.81        1625.60
1991    31       15454.40       17107.53       21337.32        6652.62        1975.23
1991    32       13702.21       16190.19       21477.01        7114.48        2261.64
1991    33       12269.45       15497.19       21404.86        7571.18        2539.68
1991    34       11315.33       14972.62       21610.77        8064.14        2915.66
1991    35       10220.34       14010.65       21074.95        8263.70        3242.46
1991    36        8943.15       13000.03       19841.63        8216.80        3412.03
1991    37        8092.85       12467.73       19159.36        8282.29        3688.52
1991    38        7549.78       12131.11       18916.17        8247.22        3978.92
1991    39        7029.28       11725.60       18524.73        8213.62        4147.91
1991    40        6708.74       11674.11       18382.20        8419.22        4574.31
1991    41        6510.41       11709.62       18480.48        8620.33        4926.30
1991    42        6764.40       12416.13       19371.96        9206.69        5388.05
1991    43        6841.90       12728.30       19365.64        9343.83        5686.19
1991    44        6556.85       12240.79       18896.74        9209.49        5973.72
1991    45        4908.18        9025.17       13632.58        6731.10        4641.43
1991    46        5920.67       10690.44       15664.27        7748.24        5487.24
1991    47        6555.17       11682.02       17288.80        8727.50        6284.85
1991    48        6196.40       10875.73       16392.38        8713.69        6549.21
1991    49        6770.39       11744.71       17727.69        9906.99        7792.64
1991    50        7308.01       12381.20       18622.56       10839.94        8967.52
1991    51        7674.26       12760.56       19513.40       11684.40       10335.54
1991    52        6055.95        9791.57       15306.45        9726.14        9338.33
1991    53        4628.08        7057.59       11315.28        7657.42        7948.82
1991    54        4519.24        6741.71       10613.88        7228.42        8033.91
1991    55        4551.39        6852.83       10475.32        7066.74        8197.65
2001    12       46345.58           0.00           0.00           0.00           0.00
2001    13       45997.57           0.75           0.00           0.00           0.00
2001    14       45572.06          26.39           0.25           0.00           0.00
2001    15       45567.57          80.76           1.00           0.00           0.00
2001    16       46212.02         230.38           7.20           0.00           0.00
2001    17       46149.55         614.88          31.19           0.25           0.00
2001    18       46673.24        1328.02          92.84           2.70           0.49
2001    19       46718.06        2400.83         237.66          10.53           2.76
2001    20       44503.14        3715.19         516.63          33.77           7.09
2001    21       40237.51        4966.77        1009.49          91.35          11.45
2001    22       37668.30        6302.97        1745.68         187.36          20.62
2001    23       35369.48        7516.20        2667.17         327.05          49.58
2001    24       33560.83        8761.04        3782.97         564.08          88.36
2001    25       32165.67       10369.54        5320.63         895.36         152.75
2001    26       31042.38       12167.04        7416.61        1348.09         263.99
2001    27       28582.34       13205.11        9500.13        1903.48         382.75
2001    28       26691.59       14391.09       11800.31        2560.67         550.16
2001    29       24979.68       15715.00       14423.74        3265.66         745.42
2001    30       22790.43       16599.41       16892.18        4000.75         943.76
2001    31       21237.85       17570.39       19549.44        4859.44        1219.72
2001    32       19977.91       18243.86       22167.58        5866.60        1584.49
2001    33       18113.43       18017.24       23773.17        6716.52        1882.51
2001    34       16347.11       17454.48       25080.29        7738.64        2181.38
2001    35       14889.59       16950.49       25581.99        8749.44        2629.78
2001    36       14152.91       17188.55       26494.59        9387.60        3078.98
2001    37       13402.91       16946.86       26858.61        9665.62        3370.98
2001    38       12629.47       16743.82       26894.69       10039.94        3701.99
2001    39       11676.27       16053.21       26201.99       10046.82        3899.89
2001    40       11001.91       15323.31       25151.70       10053.75        4143.44
2001    41       10486.45       14826.62       24210.70        9966.43        4298.71
2001    42        9984.14       14390.38       23476.40        9787.58        4213.85
2001    43        9490.58       14034.00       22699.16        9565.60        4147.56
2001    44        9200.74       13961.85       22450.85        9465.82        4310.34
2001    45        8694.66       13344.57       21605.34        9271.27        4418.02
2001    46        7953.64       12505.90       20281.91        8934.11        4296.94
2001    47        7399.30       12066.49       19507.43        8771.95        4366.00
2001    48        7004.17       11863.19       19131.34        8624.82        4529.81
2001    49        6600.76       11504.03       18601.89        8492.97        4548.84
2001    50        6348.40       11392.77       18415.49        8528.76        4848.97
2001    51        6258.08       11472.51       18572.80        8716.09        5189.67
2001    52        6515.00       12120.61       19344.00        9276.43        5580.95
2001    53        6508.70       12338.68       19202.49        9314.31        5760.18
2001    54        6211.80       11872.19       18538.31        9172.70        6035.65
2001    55        4479.20        8601.43       13525.04        6783.64        4679.86
