Austria, Female population exposure by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 05/08/2021
Year    ARDY   Cohort       Exposure
1951     12     1939        32001.07
1951     13     1938        46794.82
1951     14     1937        41216.84
1951     15     1936        41157.98
1951     16     1935        41481.24
1951     17     1934        42392.16
1951     18     1933        43363.99
1951     19     1932        44983.40
1951     20     1931        45899.36
1951     21     1930        47735.50
1951     22     1929        47528.21
1951     23     1928        48426.26
1951     24     1927        49146.72
1951     25     1926        52336.12
1951     26     1925        56161.26
1951     27     1924        58288.51
1951     28     1923        60003.14
1951     29     1922        60596.37
1951     30     1921        60189.26
1951     31     1920        57420.20
1951     32     1919        46421.76
1951     33     1918        34110.54
1951     34     1917        31419.59
1951     35     1916        34154.67
1951     36     1915        42530.92
1951     37     1914        53963.80
1951     38     1913        56619.17
1951     39     1912        58431.63
1951     40     1911        57413.49
1951     41     1910        59475.86
1951     42     1909        59443.66
1951     43     1908        58528.46
1951     44     1907        58597.78
1951     45     1906        58879.12
1951     46     1905        57366.53
1951     47     1904        57791.88
1951     48     1903        57073.51
1951     49     1902        57342.13
1951     50     1901        56382.22
1951     51     1900        55137.69
1951     52     1899        54341.40
1951     53     1898        52769.22
1951     54     1897        51504.89
1951     55     1896        50741.26
1952     12     1940        35338.00
1952     13     1939        64233.25
1952     14     1938        44506.97
1952     15     1937        40268.07
1952     16     1936        40786.98
1952     17     1935        40900.34
1952     18     1934        41923.56
1952     19     1933        42778.01
1952     20     1932        44729.92
1952     21     1931        45285.21
1952     22     1930        47760.98
1952     23     1929        46926.55
1952     24     1928        48205.62
1952     25     1927        48396.26
1952     26     1926        51891.19
1952     27     1925        56070.88
1952     28     1924        57919.54
1952     29     1923        59843.70
1952     30     1922        60374.41
1952     31     1921        60021.58
1952     32     1920        58377.33
1952     33     1919        46482.41
1952     34     1918        32256.45
1952     35     1917        30785.55
1952     36     1916        33251.15
1952     37     1915        41746.17
1952     38     1914        55268.99
1952     39     1913        56152.74
1952     40     1912        58763.12
1952     41     1911        56425.65
1952     42     1910        59625.84
1952     43     1909        59255.73
1952     44     1908        58093.12
1952     45     1907        58227.95
1952     46     1906        58949.99
1952     47     1905        56611.11
1952     48     1904        57737.65
1952     49     1903        56436.25
1952     50     1902        57209.56
1952     51     1901        56021.99
1952     52     1900        54649.46
1952     53     1899        54090.35
1952     54     1898        52290.34
1952     55     1897        50957.63
1953     12     1941        31118.74
1953     13     1940        67054.22
1953     14     1939        63995.09
1953     15     1938        44257.97
1953     16     1937        39987.34
1953     17     1936        40460.77
1953     18     1935        40531.36
1953     19     1934        41532.07
1953     20     1933        42435.53
1953     21     1932        44403.83
1953     22     1931        45011.22
1953     23     1930        47462.25
1953     24     1929        46671.98
1953     25     1928        47937.91
1953     26     1927        48137.50
1953     27     1926        51614.47
1953     28     1925        55791.18
1953     29     1924        57643.73
1953     30     1923        59581.38
1953     31     1922        60105.98
1953     32     1921        59766.18
1953     33     1920        58139.42
1953     34     1919        46279.91
1953     35     1918        32113.21
1953     36     1917        30653.10
1953     37     1916        33130.81
1953     38     1915        41558.21
1953     39     1914        55045.05
1953     40     1913        55939.22
1953     41     1912        58491.12
1953     42     1911        56175.50
1953     43     1910        59345.44
1953     44     1909        58986.35
1953     45     1908        57850.99
1953     46     1907        57957.83
1953     47     1906        58640.64
1953     48     1905        56293.17
1953     49     1904        57373.60
1953     50     1903        56096.57
1953     51     1902        56837.38
1953     52     1901        55648.54
1953     53     1900        54281.54
1953     54     1899        53702.26
1953     55     1898        51857.03
1954     12     1942        27208.54
1954     13     1941        61896.24
1954     14     1940        66884.85
1954     15     1939        63797.52
1954     16     1938        44054.84
1954     17     1937        39758.71
1954     18     1936        40192.73
1954     19     1935        40231.57
1954     20     1934        41212.34
1954     21     1933        42153.22
1954     22     1932        44144.43
1954     23     1931        44784.14
1954     24     1930        47219.32
1954     25     1929        46452.95
1954     26     1928        47720.24
1954     27     1927        47925.45
1954     28     1926        51386.57
1954     29     1925        55566.98
1954     30     1924        57407.07
1954     31     1923        59349.03
1954     32     1922        59871.89
1954     33     1921        59545.06
1954     34     1920        57930.93
1954     35     1919        46102.36
1954     36     1918        31985.81
1954     37     1917        30534.32
1954     38     1916        33021.48
1954     39     1915        41379.34
1954     40     1914        54828.58
1954     41     1913        55726.62
1954     42     1912        58258.10
1954     43     1911        55937.78
1954     44     1910        59089.22
1954     45     1909        58726.20
1954     46     1908        57625.58
1954     47     1907        57694.99
1954     48     1906        58324.85
1954     49     1905        55960.19
1954     50     1904        57010.04
1954     51     1903        55760.60
1954     52     1902        56456.22
1954     53     1901        55255.16
1954     54     1900        53924.15
1954     55     1899        53294.50
1955     12     1943        26576.84
1955     13     1942        52903.07
1955     14     1941        61748.07
1955     15     1940        66673.17
1955     16     1939        63559.82
1955     17     1938        43798.72
1955     18     1937        39475.19
1955     19     1936        39856.32
1955     20     1935        39859.68
1955     21     1934        40812.67
1955     22     1933        41805.80
1955     23     1932        43820.50
1955     24     1931        44502.13
1955     25     1930        46924.14
1955     26     1929        46205.29
1955     27     1928        47458.46
1955     28     1927        47663.83
1955     29     1926        51122.51
1955     30     1925        55293.34
1955     31     1924        57122.01
1955     32     1923        59091.22
1955     33     1922        59597.91
1955     34     1921        59285.65
1955     35     1920        57684.68
1955     36     1919        45890.74
1955     37     1918        31841.44
1955     38     1917        30396.64
1955     39     1916        32898.95
1955     40     1915        41165.26
1955     41     1914        54595.33
1955     42     1913        55503.52
1955     43     1912        57992.17
1955     44     1911        55671.39
1955     45     1910        58814.66
