Austria, Period mean ages at birth by birth order and period mean ages at birth by birth order by age 40
Last modified: 05/08/2021
Year       MAB      MAB1      MAB2      MAB3      MAB4     MAB5p     MAB40   MAB40_1   MAB40_2   MAB40_3   MAB40_4  MAB40_5p
1984     26.56     24.10     26.90     29.83     32.15     35.02     26.35     24.05     26.80     29.55     31.65     33.72
1985     26.68     24.32     27.06     29.99     32.16     34.93     26.48     24.26     26.96     29.72     31.67     33.65
1986     26.77     24.42     27.22     30.10     32.37     35.04     26.56     24.36     27.12     29.86     31.78     33.65
1987     26.91     24.63     27.37     30.24     32.46     35.16     26.70     24.57     27.28     29.98     31.79     33.73
1988     26.95     24.72     27.46     30.35     32.54     35.01     26.75     24.67     27.36     30.06     32.01     33.71
1989     27.07     24.82     27.59     30.44     32.62     34.89     26.88     24.76     27.50     30.17     31.99     33.73
1990     27.21     24.97     27.76     30.64     32.63     35.05     27.01     24.91     27.65     30.35     32.00     33.60
1991     27.22     24.96     27.89     30.60     32.66     35.05     27.03     24.91     27.79     30.35     32.09     33.74
1992     27.26     25.04     27.91     30.64     32.79     34.95     27.07     24.98     27.79     30.37     32.20     33.73
1993     27.31     25.14     27.92     30.74     32.73     34.98     27.11     25.06     27.80     30.44     32.11     33.69
1994     27.50     25.41     28.08     30.76     32.73     34.89     27.29     25.33     27.96     30.43     32.14     33.53
1995     27.66     25.65     28.21     30.81     32.90     35.06     27.45     25.57     28.10     30.47     32.18     33.77
1996     27.81     25.91     28.34     30.91     32.93     34.82     27.60     25.82     28.20     30.59     32.22     33.65
1997     27.93     26.00     28.55     31.11     33.15     35.23     27.70     25.91     28.39     30.74     32.45     33.86
1998     28.02     26.15     28.64     31.03     32.93     35.22     27.79     26.06     28.47     30.68     32.22     33.90
1999     28.15     26.31     28.84     31.05     33.01     35.24     27.90     26.19     28.66     30.67     32.18     33.93
2000     28.22     26.39     28.92     31.19     32.96     35.09     27.98     26.29     28.75     30.82     32.18     33.74
2001     28.39     26.54     29.18     31.38     33.03     35.06     28.12     26.40     29.00     30.94     32.21     33.52
2002     28.57     26.75     29.32     31.41     33.02     34.84     28.30     26.62     29.12     30.97     32.24     33.51
2003     28.77     26.94     29.48     31.70     33.23     35.00     28.48     26.79     29.27     31.22     32.46     33.58
2004     28.84     27.04     29.58     31.61     33.20     35.09     28.56     26.90     29.36     31.19     32.45     33.80
2005     29.03     27.26     29.79     31.69     33.24     34.98     28.73     27.10     29.56     31.25     32.44     33.58
2006     29.21     27.48     29.94     31.82     33.30     35.27     28.88     27.30     29.68     31.35     32.50     33.79
2007     29.37     27.65     30.02     32.07     33.54     34.88     29.04     27.47     29.75     31.58     32.71     33.59
2008     29.49     27.77     30.21     32.19     33.54     35.21     29.14     27.57     29.92     31.65     32.77     33.87
2009     29.68     27.97     30.46     32.24     33.52     35.13     29.31     27.74     30.16     31.72     32.63     33.85
2010     29.83     28.23     30.54     32.37     33.66     35.00     29.46     27.99     30.24     31.82     32.84     33.72
2011     30.03     28.47     30.75     32.45     33.82     35.29     29.63     28.21     30.42     31.89     32.96     33.87
2012     30.19     28.67     30.90     32.62     34.04     35.35     29.78     28.40     30.56     32.01     33.06     33.90
2013     30.32     28.82     31.05     32.76     33.98     35.42     29.89     28.52     30.66     32.15     33.07     34.09
2014     30.42     28.95     31.15     32.74     33.81     35.33     30.00     28.66     30.78     32.12     32.93     33.96
2015     30.57     29.16     31.28     32.78     33.90     35.45     30.12     28.84     30.90     32.10     32.98     34.07
2016     30.63     29.24     31.30     32.64     33.82     35.15     30.17     28.90     30.89     32.05     32.86     33.86
2017     30.72     29.32     31.39     32.78     33.89     35.25     30.26     28.98     30.98     32.19     33.00     33.80
2018     30.86     29.50     31.45     32.89     33.95     35.67     30.36     29.16     31.01     32.16     32.93     34.06
2019     31.01     29.66     31.59     33.02     34.25     35.51     30.49     29.30     31.13     32.32     33.21     33.96
