Austria, Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 05/08/2021
Cohort    CMAB    CMAB40
1936     26.89     26.68
1937     26.69     26.49
1938     26.43     26.26
1939     26.16     25.99
1940     26.01     25.85
1941     25.85     25.68
1942     25.77     25.58
1943     25.52     25.37
1944     25.35     25.19
1945     25.25     25.07
1946     25.11     24.95
1947     25.11     24.95
1948     25.16     25.00
1949     25.26     25.09
1950     25.38     25.20
1951     25.43     25.25
1952     25.62     25.42
1953     25.67     25.48
1954     25.74     25.55
1955     25.88     25.68
1956     25.99     25.78
1957     26.18     25.97
1958     26.36     26.13
1959     26.47     26.23
1960     26.59     26.32
1961     26.74     26.47
1962     26.84     26.55
1963     27.02     26.73
1964     27.21     26.91
1965     27.46     27.13
1966     27.61     27.27
1967     27.85     27.48
1968     28.01     27.62
1969     28.12     27.73
1970         .     27.90
1971         .     28.04
1972         .     28.13
1973         .     28.25
1974         .     28.46
1975         .     28.61
1976         .     28.86
1977         .     28.97
1978         .     29.12
1979         .     29.23
