Austria, Cohort mean ages at birth by birth order and cohort mean ages at birth by birth order by age 40
Last modified: 05/08/2021
Cohort    CMAB     CMAB1     CMAB2     CMAB3     CMAB4    CMAB5p    CMAB40  CMAB40_1  CMAB40_2  CMAB40_3  CMAB40_4 CMAB40_5p
1969     28.12     26.22     29.01     31.49     33.09     34.95     27.73     25.96     28.68     30.90     32.16     33.53
1970         .         .         .         .         .         .     27.90     26.13     28.80     31.01     32.52     33.96
1971         .         .         .         .         .         .     28.04     26.30     28.92     31.06     32.49     33.76
1972         .         .         .         .         .         .     28.13     26.38     29.02     31.04     32.40     33.75
1973         .         .         .         .         .         .     28.25     26.51     29.14     31.18     32.50     33.78
1974         .         .         .         .         .         .     28.46     26.76     29.39     31.22     32.27     33.62
1975         .         .         .         .         .         .     28.61     26.93     29.56     31.29     32.47     33.92
1976         .         .         .         .         .         .     28.86     27.26     29.79     31.41     32.46     33.79
1977         .         .         .         .         .         .     28.97     27.36     29.89     31.53     32.57     33.86
1978         .         .         .         .         .         .     29.12     27.53     30.07     31.57     32.65     33.99
1979         .         .         .         .         .         .     29.23     27.70     30.12     31.66     32.77     34.07
