Austria, Conditional fertility rates by calendar year, age and birth order (based on parity distribution from population census)
Last modified: 05/08/2021
Year  Age       m1x       m2x       m3x       m4x      m5px
1991   12-  0.00000         .         .         .         .
1991   13   0.00005         .         .         .         .
1991   14   0.00047   0.03844         .         .         .
1991   15   0.00211   0.01050         .         .         .
1991   16   0.00647   0.04576   0.04572         .         .
1991   17   0.01745   0.06266   0.02407         .         .
1991   18   0.03046   0.06288   0.05119   0.45800         .
1991   19   0.04586   0.08829   0.08329   0.02507         .
1991   20   0.05962   0.11286   0.06139   0.03295         .
1991   21   0.06825   0.12213   0.06270   0.07391   0.24854
1991   22   0.07661   0.13628   0.07220   0.08726   0.02731
1991   23   0.08670   0.14791   0.06545   0.07066   0.07103
1991   24   0.10178   0.15975   0.06991   0.08289   0.07698
1991   25   0.10953   0.16310   0.06505   0.06921   0.06065
1991   26   0.11113   0.15965   0.06673   0.07672   0.08675
1991   27   0.11180   0.15403   0.06243   0.06096   0.09290
1991   28   0.10399   0.14414   0.06027   0.06211   0.08669
1991   29   0.09335   0.13023   0.05261   0.05813   0.07703
1991   30   0.08907   0.11509   0.04912   0.04989   0.06398
1991   31   0.07428   0.10142   0.04640   0.05171   0.06683
1991   32   0.06415   0.08085   0.04284   0.04793   0.05836
1991   33   0.05632   0.07137   0.03639   0.04438   0.04961
1991   34   0.04481   0.05644   0.03281   0.03311   0.04081
1991   35   0.03718   0.04268   0.02444   0.02747   0.04379
1991   36   0.03041   0.03677   0.01935   0.02422   0.03019
1991   37   0.02286   0.02631   0.01488   0.01859   0.03091
1991   38   0.01735   0.01706   0.01115   0.01758   0.02890
1991   39   0.01067   0.01066   0.00885   0.01327   0.02218
1991   40   0.00745   0.00651   0.00511   0.00843   0.01574
1991   41   0.00538   0.00478   0.00346   0.00650   0.01116
1991   42   0.00222   0.00137   0.00196   0.00348   0.00780
1991   43   0.00073   0.00126   0.00083   0.00107   0.00598
1991   44   0.00076   0.00049   0.00048   0.00174   0.00368
1991   45   0.00000   0.00055   0.00022   0.00074   0.00108
1991   46   0.00000   0.00028   0.00019   0.00026   0.00073
1991   47   0.00015   0.00009   0.00006   0.00000   0.00016
1991   48   0.00000   0.00000   0.00000   0.00000   0.00015
1991   49   0.00000   0.00000   0.00000   0.00000   0.00013
1991   50   0.00000   0.00000   0.00000   0.00000   0.00000
1991   51   0.00000   0.00000   0.00000   0.00000   0.00000
1991   52   0.00000   0.00000   0.00000   0.00000   0.00000
1991   53   0.00000   0.00000   0.00000   0.00000   0.00000
1991   54   0.00000   0.00000   0.00000   0.00000   0.00000
1991   55+  0.00000   0.00000   0.00000   0.00000   0.00000
2001   12-  0.00000         .         .         .         .
2001   13   0.00002         .         .         .         .
2001   14   0.00018   0.00000         .         .         .
2001   15   0.00178   0.01238         .         .         .
2001   16   0.00485   0.01302   0.00000         .         .
2001   17   0.01068   0.04554   0.00000         .         .
2001   18   0.01881   0.05497   0.03232         .         .
2001   19   0.02778   0.06165   0.05891   0.09499         .
2001   20   0.03768   0.09932   0.07549   0.17767   0.00000
2001   21   0.04367   0.11637   0.06439   0.08757   0.08734
2001   22   0.05015   0.12851   0.07562   0.08540   0.04850
2001   23   0.05632   0.13571   0.05774   0.05809   0.14119
2001   24   0.06359   0.13629   0.06688   0.09219   0.09054
2001   25   0.06989   0.14572   0.06823   0.06366   0.07856
2001   26   0.08231   0.14876   0.06108   0.07418   0.08334
2001   27   0.08481   0.15176   0.05779   0.06409   0.11757
2001   28   0.08624   0.14926   0.05788   0.05194   0.07452
2001   29   0.09023   0.14114   0.05040   0.05206   0.07781
2001   30   0.09302   0.13055   0.04552   0.05024   0.06887
2001   31   0.08654   0.12202   0.04097   0.04486   0.05083
2001   32   0.07688   0.10568   0.03713   0.03426   0.05364
2001   33   0.07000   0.09208   0.03306   0.03931   0.04940
2001   34   0.06301   0.07585   0.02687   0.03101   0.03805
2001   35   0.05111   0.06100   0.02553   0.02560   0.03841
2001   36   0.04395   0.04596   0.01853   0.02226   0.03410
2001   37   0.03290   0.03387   0.01575   0.01697   0.02848
2001   38   0.02502   0.02729   0.01234   0.01424   0.02512
2001   39   0.01918   0.01944   0.00874   0.00975   0.02051
2001   40   0.01391   0.01201   0.00700   0.00995   0.01641
2001   41   0.00963   0.00816   0.00425   0.00702   0.01000
2001   42   0.00561   0.00410   0.00243   0.00327   0.00831
2001   43   0.00274   0.00264   0.00167   0.00261   0.00579
2001   44   0.00163   0.00136   0.00089   0.00127   0.00394
2001   45   0.00069   0.00022   0.00056   0.00054   0.00294
2001   46   0.00013   0.00024   0.00030   0.00045   0.00116
2001   47   0.00027   0.00017   0.00010   0.00000   0.00046
2001   48   0.00000   0.00000   0.00000   0.00000   0.00000
2001   49   0.00000   0.00000   0.00000   0.00000   0.00022
2001   50   0.00016   0.00009   0.00000   0.00000   0.00000
2001   51   0.00000   0.00000   0.00000   0.00000   0.00039
2001   52   0.00000   0.00000   0.00000   0.00000   0.00000
2001   53   0.00000   0.00000   0.00000   0.00000   0.00000
2001   54   0.00000   0.00000   0.00000   0.00000   0.00000
2001   55+  0.00022   0.00000   0.00000   0.00000   0.00000
