Austria, Parity- and age-adjusted total fertility rate
Last modified: 05/08/2021
Year    PATFR   PATFR1   PATFR2   PATFR3   PATFR4  PATFR5p
1991    1.524    0.775    0.511    0.172    0.048    0.018
1992    1.519    0.771    0.508    0.174    0.048    0.018
1993    1.509    0.764    0.507    0.173    0.047    0.018
1994    1.473    0.754    0.496    0.163    0.043    0.016
1995    1.435    0.747    0.482    0.152    0.039    0.014
1996    1.457    0.754    0.493    0.156    0.040    0.014
1997    1.414    0.745    0.477    0.146    0.035    0.011
1998    1.388    0.736    0.468    0.139    0.034    0.012
1999    1.365    0.730    0.459    0.132    0.033    0.011
2000    1.384    0.732    0.468    0.137    0.034    0.012
2001    1.357    0.726    0.458    0.131    0.031    0.011
2002    1.415    0.738    0.477    0.146    0.039    0.015
2003    1.397    0.732    0.470    0.144    0.037    0.014
2004    1.438    0.741    0.486    0.151    0.042    0.018
2005    1.428    0.738    0.483    0.149    0.041    0.017
2006    1.429    0.740    0.484    0.148    0.041    0.017
2007    1.401    0.730    0.472    0.144    0.039    0.016
2008    1.434    0.739    0.487    0.151    0.040    0.017
2009    1.416    0.734    0.482    0.146    0.038    0.016
2010    1.459    0.749    0.500    0.154    0.040    0.017
2011    1.451    0.752    0.499    0.148    0.037    0.016
2012    1.459    0.755    0.506    0.148    0.036    0.013
2013    1.454    0.753    0.507    0.145    0.034    0.014
2014    1.476    0.757    0.516    0.151    0.037    0.015
2015    1.504    0.770    0.526    0.153    0.038    0.017
2016    1.537    0.772    0.533    0.163    0.045    0.025
2017    1.529    0.771    0.530    0.160    0.044    0.023
2018    1.486    0.761    0.511    0.153    0.040    0.021
2019    1.475    0.760    0.506    0.149    0.040    0.020
