Austria, Standard deviation in period mean ages at birth and standard deviation in period mean ages at birth by age 40
Last modified: 05/08/2021
Year      sdMAB    sdMAB40
1951       6.28       5.63
1952       6.22       5.60
1953       6.18       5.56
1954       6.17       5.56
1955       6.11       5.54
1956       6.11       5.54
1957       6.08       5.50
1958       6.03       5.48
1959       6.02       5.47
1960       6.00       5.47
1961       6.02       5.50
1962       6.03       5.50
1963       6.03       5.53
1964       6.09       5.56
1965       6.10       5.58
1966       6.11       5.59
1967       6.08       5.59
1968       6.09       5.60
1969       6.10       5.63
1970       6.13       5.64
1971       6.18       5.67
1972       6.18       5.66
1973       6.18       5.67
1974       6.10       5.57
1975       5.93       5.43
1976       5.77       5.31
1977       5.69       5.21
1978       5.54       5.11
1979       5.49       5.09
1980       5.42       5.06
1981       5.39       5.06
1982       5.34       5.02
1983       5.31       5.00
1984       5.27       4.98
1985       5.24       4.96
1986       5.23       4.95
1987       5.24       4.96
1988       5.19       4.93
1989       5.21       4.95
1990       5.24       4.97
1991       5.24       5.01
1992       5.27       5.03
1993       5.27       5.02
1994       5.24       4.98
1995       5.24       4.98
1996       5.21       4.95
1997       5.26       4.99
1998       5.25       4.98
1999       5.30       5.00
2000       5.28       5.00
2001       5.36       5.06
2002       5.38       5.08
2003       5.39       5.08
2004       5.42       5.12
2005       5.42       5.11
2006       5.44       5.11
2007       5.45       5.12
2008       5.50       5.15
2009       5.48       5.14
2010       5.48       5.13
2011       5.47       5.10
2012       5.43       5.05
2013       5.45       5.04
2014       5.38       4.99
2015       5.40       5.00
2016       5.41       4.99
2017       5.38       4.97
2018       5.36       4.91
2019       5.35       4.89
