Austria, Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 05/08/2021
Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
1984     1.522     0.685     0.506     0.209     0.076     0.047     1.502     0.683     0.503     0.204     0.072     0.040
1985     1.474     0.667     0.495     0.201     0.070     0.042     1.454     0.665     0.491     0.196     0.067     0.036
1986     1.449     0.664     0.485     0.194     0.069     0.038     1.430     0.662     0.482     0.190     0.065     0.032
1987     1.432     0.663     0.480     0.186     0.064     0.038     1.411     0.661     0.477     0.182     0.060     0.032
1988     1.447     0.679     0.483     0.189     0.062     0.034     1.429     0.677     0.480     0.184     0.059     0.029
1989     1.446     0.668     0.490     0.193     0.063     0.032     1.427     0.665     0.486     0.189     0.059     0.028
1990     1.457     0.672     0.500     0.195     0.061     0.030     1.437     0.670     0.496     0.190     0.057     0.025
1991     1.507     0.706     0.509     0.198     0.064     0.030     1.488     0.704     0.506     0.193     0.060     0.026
1992     1.505     0.705     0.512     0.199     0.061     0.028     1.485     0.702     0.507     0.194     0.058     0.024
1993     1.501     0.697     0.524     0.194     0.059     0.028     1.480     0.694     0.519     0.189     0.055     0.024
1994     1.465     0.674     0.520     0.189     0.057     0.026     1.445     0.671     0.515     0.184     0.053     0.022
1995     1.423     0.658     0.504     0.182     0.055     0.025     1.403     0.655     0.500     0.177     0.051     0.021
1996     1.446     0.670     0.515     0.183     0.054     0.023     1.424     0.666     0.510     0.177     0.050     0.020
1997     1.393     0.659     0.486     0.176     0.050     0.021     1.370     0.656     0.480     0.171     0.046     0.018
1998     1.370     0.646     0.485     0.169     0.049     0.021     1.348     0.642     0.479     0.164     0.045     0.018
1999     1.340     0.639     0.468     0.165     0.048     0.020     1.316     0.634     0.461     0.159     0.044     0.017
2000     1.364     0.652     0.481     0.164     0.048     0.019     1.341     0.647     0.475     0.159     0.044     0.016
2001     1.331     0.643     0.462     0.161     0.046     0.020     1.305     0.637     0.456     0.154     0.042     0.016
2002     1.394     0.665     0.484     0.174     0.051     0.021     1.366     0.659     0.477     0.166     0.047     0.017
2003     1.376     0.656     0.477     0.173     0.049     0.021     1.346     0.649     0.469     0.165     0.045     0.018
2004     1.419     0.678     0.492     0.175     0.053     0.022     1.389     0.671     0.483     0.168     0.048     0.019
2005     1.408     0.672     0.486     0.176     0.052     0.022     1.376     0.665     0.476     0.169     0.047     0.019
2006     1.409     0.674     0.486     0.174     0.053     0.022     1.374     0.666     0.476     0.166     0.048     0.018
2007     1.385     0.655     0.484     0.172     0.051     0.023     1.349     0.646     0.473     0.163     0.047     0.020
2008     1.417     0.676     0.493     0.174     0.050     0.024     1.378     0.667     0.481     0.165     0.046     0.020
2009     1.396     0.668     0.483     0.173     0.050     0.023     1.355     0.657     0.470     0.164     0.045     0.020
2010     1.443     0.691     0.506     0.174     0.049     0.023     1.401     0.679     0.493     0.164     0.045     0.020
2011     1.431     0.693     0.496     0.170     0.049     0.024     1.385     0.680     0.481     0.160     0.044     0.020
2012     1.440     0.698     0.504     0.169     0.047     0.021     1.392     0.684     0.489     0.159     0.042     0.018
2013     1.436     0.696     0.509     0.164     0.046     0.022     1.385     0.680     0.491     0.154     0.041     0.019
2014     1.464     0.707     0.517     0.171     0.047     0.022     1.412     0.691     0.500     0.159     0.043     0.019
2015     1.491     0.725     0.524     0.171     0.048     0.023     1.434     0.707     0.506     0.159     0.043     0.019
2016     1.530     0.728     0.541     0.182     0.051     0.027     1.469     0.709     0.521     0.171     0.046     0.023
2017     1.518     0.728     0.532     0.178     0.053     0.027     1.458     0.709     0.512     0.168     0.047     0.023
2018     1.475     0.702     0.516     0.178     0.051     0.027     1.411     0.683     0.495     0.165     0.045     0.022
2019     1.461     0.697     0.508     0.176     0.052     0.027     1.395     0.677     0.486     0.163     0.046     0.022
