Austria, Completed cohort fertility and completed cohort fertility by age 40
Last modified: 05/08/2021
Cohort     CCF     CCF40
1936     2.436     2.402
1937     2.410     2.379
1938     2.339     2.313
1939     2.202     2.179
1940     2.132     2.111
1941     2.065     2.043
1942     2.037     2.014
1943     1.983     1.964
1944     1.953     1.935
1945     1.938     1.917
1946     1.986     1.967
1947     1.931     1.913
1948     1.916     1.898
1949     1.908     1.888
1950     1.863     1.843
1951     1.835     1.816
1952     1.812     1.791
1953     1.817     1.796
1954     1.784     1.763
1955     1.768     1.746
1956     1.746     1.724
1957     1.730     1.707
1958     1.713     1.688
1959     1.714     1.687
1960     1.698     1.670
1961     1.676     1.646
1962     1.675     1.644
1963     1.667     1.636
1964     1.652     1.619
1965     1.657     1.620
1966     1.640     1.602
1967     1.626     1.585
1968     1.610     1.567
1969     1.615     1.570
1970         .     1.577
1971         .     1.583
1972         .     1.597
1973         .     1.605
1974         .     1.603
1975         .     1.590
1976         .     1.579
1977         .     1.574
1978         .     1.579
1979         .     1.567
