Austria, Total live births by birth order
Last modified: 05/08/2021
Year         Total            B1            B2            B3            B4           B5p
1984      89234.00      41944.00      29461.00      11439.00       3978.00       2412.00
1985      87440.00      41124.00      29276.00      11158.00       3733.00       2149.00
1986      86964.00      41217.00      29114.00      10949.00       3732.00       1952.00
1987      86503.00      41142.00      29134.00      10691.00       3541.00       1995.00
1988      88052.00      42093.00      29637.00      11031.00       3450.00       1841.00
1989      88759.00      41447.00      30449.00      11505.00       3604.00       1754.00
1990      90454.00      41789.00      31535.00      11894.00       3556.00       1680.00
1991      94629.00      44013.00      32647.00      12355.00       3876.00       1738.00
1992      95302.00      43923.00      33176.00      12714.00       3801.00       1688.00
1993      95227.00      43087.00      34104.00      12614.00       3718.00       1704.00
1994      92415.00      41135.00      33656.00      12340.00       3650.00       1634.00
1995      88669.00      39437.00      32243.00      11898.00       3540.00       1551.00
1996      88809.00      39462.00      32443.00      11878.00       3534.00       1492.00
1997      84045.00      37932.00      30093.00      11400.00       3255.00       1365.00
1998      81233.00      36408.00      29490.00      10805.00       3158.00       1372.00
1999      78138.00      35449.00      27909.00      10343.00       3114.00       1323.00
2000      78268.00      35575.00      28177.00      10202.00       3060.00       1254.00
2001      75458.00      34733.00      26733.00       9830.00       2894.00       1268.00
2002      78399.00      35793.00      27646.00      10469.00       3170.00       1321.00
2003      76944.00      35241.00      26986.00      10355.00       3017.00       1345.00
2004      78968.00      36411.00      27651.00      10285.00       3209.00       1412.00
2005      78190.00      36221.00      27205.00      10259.00       3111.00       1394.00
2006      77914.00      36288.00      27088.00      10032.00       3139.00       1367.00
2007      76250.00      35261.00      26768.00       9810.00       3021.00       1390.00
2008      77752.00      36392.00      27182.00       9843.00       2912.00       1423.00
2009      76344.00      35953.00      26520.00       9672.00       2842.00       1357.00
2010      78742.00      37267.00      27695.00       9662.00       2786.00       1332.00
2011      78109.00      37463.00      27144.00       9415.00       2736.00       1351.00
2012      78952.00      37979.00      27732.00       9363.00       2657.00       1221.00
2013      79330.00      38168.00      28217.00       9136.00       2562.00       1247.00
2014      81722.00      39224.00      28979.00       9588.00       2661.00       1270.00
2015      84381.00      40760.00      29808.00       9750.00       2740.00       1323.00
2016      87675.00      41442.00      31216.00      10496.00       2971.00       1550.00
2017      87633.00      41646.00      30932.00      10405.00       3063.00       1587.00
2018      85535.00      40314.00      30161.00      10469.00       2999.00       1592.00
2019      84952.00      40082.00      29803.00      10396.00       3082.00       1589.00
