Bulgaria, Tempo-adjusted total fertility rates, Bongaarts-Feeney method
Last modified: 01/12/2022
Year    adjTFR
1948     2.604
1949     2.763
1950     2.822
1951     2.173
1952     2.348
1953     2.435
1954     2.266
1955     2.246
1956     2.129
1957     2.098
1958     2.110
1959     2.044
1960     2.233
1961     2.283
1962     2.199
1963     2.137
1964     2.117
1965     2.009
1966     1.956
1967     1.988
1968     2.330
1969     2.304
1970     2.099
1971     2.047
1972     1.976
1973     2.104
1974     2.267
1975     2.103
1976     2.062
1977     2.059
1978     2.022
1979     2.028
1980     2.064
1981     1.967
1982     1.942
1983     2.043
1984     2.010
1985     2.039
1986     2.100
1987     1.959
1988     1.988
1989     1.948
1990     1.724
1991     1.616
1992     1.651
1993     1.634
1994     1.643
1995     1.521
1996     1.602
1997     1.417
1998     1.271
1999     1.626
2000     1.812
2001     1.449
2002     1.539
2003     1.583
2004     1.755
2005     1.836
2006     1.767
2007     1.817
2008     1.741
2009     2.097
2010     1.910
2011     1.546
2012     1.530
2013     1.648
2014     1.813
2015     1.734
2016     1.733
2017     1.678
2018     1.659
2019     1.699
2020     1.651
