Bulgaria, Tempo-adjusted total fertility rates by birth order, Bongaarts-Feeney method
Last modified: 01/12/2022
Year    adjTFR   adjTFR1   adjTFR2   adjTFR3   adjTFR4  adjTFR5p
1948     2.604     0.860     0.730     0.406     0.229     0.380
1949     2.763     0.880     0.816     0.427     0.250     0.390
1950     2.822     0.944     0.830     0.430     0.247     0.372
1951     2.173     0.812     0.606     0.324     0.175     0.256
1952     2.348     0.810     0.690     0.351     0.217     0.281
1953     2.435     0.848     0.761     0.354     0.203     0.269
1954     2.266     0.903     0.680     0.297     0.162     0.223
1955     2.246     0.972     0.651     0.261     0.139     0.223
1956     2.129     0.941     0.654     0.222     0.125     0.188
1957     2.098     0.943     0.678     0.199     0.105     0.172
1958     2.110     0.884     0.724     0.214     0.102     0.186
1959     2.044     0.916     0.696     0.191     0.098     0.143
1960     2.233     1.004     0.790     0.218     0.093     0.128
1961     2.283     0.996     0.834     0.228     0.084     0.141
1962     2.199     0.962     0.816     0.209     0.087     0.125
1963     2.137     0.956     0.786     0.197     0.084     0.115
1964     2.117     1.003     0.752     0.188     0.075     0.100
1965     2.009     0.935     0.735     0.173     0.076     0.089
1966     1.956     0.902     0.707     0.173     0.079     0.095
1967     1.988     0.915     0.691     0.198     0.080     0.104
1968     2.330     0.964     0.868     0.323     0.081     0.093
1969     2.304     0.982     0.893     0.289     0.064     0.076
1970     2.099     0.966     0.764     0.241     0.060     0.068
1971     2.047     0.983     0.738     0.193     0.074     0.060
1972     1.976     0.956     0.735     0.167     0.064     0.054
1973     2.104     0.961     0.825     0.202     0.059     0.056
1974     2.267     0.962     0.980     0.206     0.064     0.054
1975     2.103     0.954     0.850     0.180     0.064     0.056
1976     2.062     0.963     0.799     0.189     0.059     0.052
1977     2.059     0.995     0.783     0.184     0.055     0.042
1978     2.022     0.994     0.759     0.169     0.051     0.049
1979     2.028     0.975     0.757     0.194     0.051     0.051
1980     2.064     1.040     0.738     0.195     0.048     0.042
1981     1.967     0.960     0.729     0.182     0.053     0.045
1982     1.942     0.897     0.767     0.180     0.056     0.040
1983     2.043     0.941     0.829     0.184     0.051     0.037
1984     2.010     0.922     0.816     0.177     0.053     0.041
1985     2.039     0.948     0.801     0.181     0.061     0.047
1986     2.100     1.016     0.803     0.193     0.049     0.041
1987     1.959     0.950     0.769     0.162     0.040     0.037
1988     1.988     0.931     0.810     0.156     0.046     0.044
1989     1.948     0.936     0.752     0.171     0.050     0.039
1990     1.724     0.841     0.634     0.165     0.049     0.035
1991     1.616     0.836     0.547     0.148     0.043     0.043
1992     1.651     0.925     0.531     0.119     0.039     0.037
1993     1.634     0.912     0.557     0.093     0.039     0.033
1994     1.643     0.888     0.575     0.101     0.040     0.038
1995     1.521     0.822     0.522     0.109     0.035     0.034
1996     1.602     0.844     0.563     0.119     0.035     0.041
1997     1.417     0.796     0.480     0.081     0.031     0.030
1998     1.271     0.753     0.406     0.062     0.025     0.024
1999     1.626     1.013     0.447     0.096     0.037     0.034
2000     1.812     1.175     0.462     0.092     0.045     0.037
2001     1.449     0.886     0.418     0.077     0.031     0.036
2002     1.539     0.909     0.486     0.086     0.026     0.032
2003     1.583     0.951     0.472     0.097     0.028     0.034
2004     1.755     1.001     0.582     0.111     0.029     0.032
2005     1.836     1.103     0.584     0.093     0.029     0.028
2006     1.767     1.049     0.560     0.095     0.034     0.029
2007     1.817     0.911     0.717     0.113     0.040     0.035
2008     1.741     0.966     0.606     0.106     0.028     0.034
2009     2.097     1.302     0.604     0.116     0.034     0.040
2010     1.910     1.126     0.589     0.120     0.034     0.042
2011     1.546     0.806     0.565     0.102     0.034     0.040
2012     1.530     0.802     0.559     0.099     0.037     0.032
2013     1.648     0.861     0.593     0.129     0.034     0.032
2014     1.813     0.958     0.629     0.157     0.031     0.038
2015     1.734     0.884     0.633     0.148     0.036     0.034
2016     1.733     0.863     0.651     0.139     0.045     0.034
2017     1.678     0.902     0.571     0.129     0.041     0.036
2018     1.659     0.885     0.567     0.132     0.044     0.031
2019     1.699     0.944     0.556     0.129     0.038     0.033
2020     1.651     0.914     0.553     0.122     0.032     0.030
