Bulgaria, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 01/12/2022
Year    Age        ASFR
1947     12-    0.00000
1947     13     0.00009
1947     14     0.00148
1947     15     0.00579
1947     16     0.01747
1947     17     0.03915
1947     18     0.06974
1947     19     0.10710
1947     20     0.14818
1947     21     0.17945
1947     22     0.19836
1947     23     0.20687
1947     24     0.21029
1947     25     0.19504
1947     26     0.17450
1947     27     0.15670
1947     28     0.14374
1947     29     0.13567
1947     30     0.12946
1947     31     0.11090
1947     32     0.09723
1947     33     0.08711
1947     34     0.07915
1947     35     0.06818
1947     36     0.05814
1947     37     0.04814
1947     38     0.03884
1947     39     0.03064
1947     40     0.02276
1947     41     0.01720
1947     42     0.01374
1947     43     0.01129
1947     44     0.00922
1947     45     0.00703
1947     46     0.00515
1947     47     0.00277
1947     48     0.00123
1947     49     0.00048
1947     50     0.00018
1947     51     0.00007
1947     52     0.00003
1947     53     0.00001
1947     54     0.00000
1947     55+    0.00000
1948     12-    0.00000
1948     13     0.00010
1948     14     0.00155
1948     15     0.00625
1948     16     0.01852
1948     17     0.04084
1948     18     0.07210
1948     19     0.11121
1948     20     0.15428
1948     21     0.18830
1948     22     0.20854
1948     23     0.21582
1948     24     0.21511
1948     25     0.19864
1948     26     0.17555
1948     27     0.15594
1948     28     0.14183
1948     29     0.13315
1948     30     0.12593
1948     31     0.10711
1948     32     0.09421
1948     33     0.08550
1948     34     0.07922
1948     35     0.06963
1948     36     0.06025
1948     37     0.05022
1948     38     0.04055
1948     39     0.03187
1948     40     0.02360
1948     41     0.01784
1948     42     0.01415
1948     43     0.01149
1948     44     0.00925
1948     45     0.00708
1948     46     0.00513
1948     47     0.00276
1948     48     0.00122
1948     49     0.00048
1948     50     0.00018
1948     51     0.00007
1948     52     0.00003
1948     53     0.00001
1948     54     0.00000
1948     55+    0.00000
1949     12-    0.00000
1949     13     0.00010
1949     14     0.00169
1949     15     0.00698
1949     16     0.02049
1949     17     0.04462
1949     18     0.07757
1949     19     0.11740
1949     20     0.15853
1949     21     0.18940
1949     22     0.20653
1949     23     0.21244
1949     24     0.21285
1949     25     0.20038
1949     26     0.17774
1949     27     0.15803
1949     28     0.14324
1949     29     0.13337
1949     30     0.12160
1949     31     0.10305
1949     32     0.09024
1949     33     0.08150
1949     34     0.07515
1949     35     0.06747
1949     36     0.05818
1949     37     0.04844
1949     38     0.03912
1949     39     0.03079
1949     40     0.02280
1949     41     0.01725
1949     42     0.01377
1949     43     0.01130
1949     44     0.00920
1949     45     0.00720
1949     46     0.00528
1949     47     0.00284
1949     48     0.00126
1949     49     0.00050
1949     50     0.00019
