Bulgaria, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 01/12/2022
Year   Age   Cohort      ASFR
1947   12-       .    0.00000
1947   13     1934    0.00004
1947   13     1933    0.00014
1947   14     1933    0.00097
1947   14     1932    0.00195
1947   15     1932    0.00477
1947   15     1931    0.00692
1947   16     1931    0.01462
1947   16     1930    0.02009
1947   17     1930    0.03487
1947   17     1929    0.04387
1947   18     1929    0.06372
1947   18     1928    0.07522
1947   19     1928    0.10065
1947   19     1927    0.11398
1947   20     1927    0.14138
1947   20     1926    0.15410
1947   21     1926    0.17542
1947   21     1925    0.18400
1947   22     1925    0.19610
1947   22     1924    0.20061
1947   23     1924    0.20599
1947   23     1923    0.20784
1947   24     1923    0.21139
1947   24     1922    0.20925
1947   25     1922    0.19803
1947   25     1921    0.19184
1947   26     1921    0.17761
1947   26     1920    0.17118
1947   27     1920    0.15884
1947   27     1919    0.15378
1947   28     1919    0.14516
1947   28     1918    0.14174
1947   29     1918    0.13662
1947   29     1917    0.13430
1947   30     1917    0.13209
1947   30     1916    0.12766
1947   31     1916    0.11407
1947   31     1915    0.10878
1947   32     1915    0.09931
1947   32     1914    0.09543
1947   33     1914    0.08820
1947   33     1913    0.08528
1947   34     1913    0.08117
1947   34     1912    0.07791
1947   35     1912    0.06977
1947   35     1911    0.06629
1947   36     1911    0.05989
1947   36     1910    0.05652
1947   37     1910    0.04961
1947   37     1909    0.04639
1947   38     1909    0.04033
1947   38     1908    0.03741
1947   39     1908    0.03198
1947   39     1907    0.02923
1947   40     1907    0.02392
1947   40     1906    0.02174
1947   41     1906    0.01784
1947   41     1905    0.01643
1947   42     1905    0.01421
1947   42     1904    0.01327
1947   43     1904    0.01163
1947   43     1903    0.01090
1947   44     1903    0.00957
1947   44     1902    0.00886
1947   45     1902    0.00734
1947   45     1901    0.00670
1947   46     1901    0.00559
1947   46     1900    0.00477
1947   47     1900    0.00304
1947   47     1899    0.00238
1947   48     1899    0.00142
1947   48     1898    0.00106
1947   49     1898    0.00055
1947   49     1897    0.00040
1947   50     1897    0.00021
1947   50     1896    0.00015
1947   51     1896    0.00007
1947   51     1895    0.00005
1947   52     1895    0.00003
1947   52     1894    0.00002
1947   53     1894    0.00001
1947   53     1893    0.00001
1947   54     1893    0.00000
1947   54     1892    0.00000
1947   55+       .    0.00000
1948   12-       .    0.00000
1948   13     1935    0.00004
1948   13     1934    0.00014
1948   14     1934    0.00104
1948   14     1933    0.00209
1948   15     1933    0.00506
