Bulgaria, Period fertility rates by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 01/12/2022
Year   Age   Cohort      ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1947   12-       .    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1947   13     1934    0.00004     0.00004     0.00000     0.00000     0.00000     0.00000
1947   13     1933    0.00014     0.00014     0.00000     0.00000     0.00000     0.00000
1947   14     1933    0.00097     0.00096     0.00001     0.00000     0.00000     0.00000
1947   14     1932    0.00195     0.00192     0.00003     0.00000     0.00000     0.00000
1947   15     1932    0.00477     0.00467     0.00010     0.00000     0.00000     0.00000
1947   15     1931    0.00692     0.00675     0.00017     0.00000     0.00000     0.00000
1947   16     1931    0.01462     0.01411     0.00051     0.00000     0.00000     0.00000
1947   16     1930    0.02009     0.01925     0.00084     0.00000     0.00000     0.00000
1947   17     1930    0.03487     0.03267     0.00220     0.00000     0.00000     0.00000
1947   17     1929    0.04387     0.04053     0.00333     0.00001     0.00000     0.00000
1947   18     1929    0.06372     0.05668     0.00680     0.00021     0.00004     0.00000
1947   18     1928    0.07522     0.06531     0.00924     0.00057     0.00010     0.00000
1947   19     1928    0.10065     0.08246     0.01517     0.00261     0.00041     0.00000
1947   19     1927    0.11398     0.09055     0.01865     0.00412     0.00065     0.00000
1947   20     1927    0.14138     0.10832     0.02675     0.00540     0.00091     0.00000
1947   20     1926    0.15410     0.11498     0.03177     0.00626     0.00109     0.00000
1947   21     1926    0.17542     0.11990     0.04388     0.00985     0.00179     0.00000
1947   21     1925    0.18400     0.12000     0.05012     0.01170     0.00218     0.00000
1947   22     1925    0.19610     0.11551     0.06210     0.01543     0.00306     0.00001
1947   22     1924    0.20061     0.11157     0.06798     0.01746     0.00358     0.00002
1947   23     1924    0.20599     0.10106     0.07814     0.02159     0.00478     0.00041
1947   23     1923    0.20784     0.09507     0.08229     0.02383     0.00551     0.00114
1947   24     1923    0.21139     0.08301     0.08791     0.02859     0.00720     0.00468
1947   24     1922    0.20925     0.07506     0.08826     0.03090     0.00825     0.00679
1947   25     1922    0.19803     0.05870     0.08536     0.03608     0.01129     0.00660
