Bulgaria, Period fertility rates by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 01/12/2022
Year    ARDY   Cohort        ASFR
1947     12-    1935+     0.00000
1947     13     1934      0.00002
1947     14     1933      0.00056
1947     15     1932      0.00335
1947     16     1931      0.01076
1947     17     1930      0.02761
1947     18     1929      0.05377
1947     19     1928      0.08789
1947     20     1927      0.12764
1947     21     1926      0.16471
1947     22     1925      0.19035
1947     23     1924      0.20329
1947     24     1923      0.20961
1947     25     1922      0.20366
1947     26     1921      0.18475
1947     27     1920      0.16460
1947     28     1919      0.14948
1947     29     1918      0.13919
1947     30     1917      0.13320
1947     31     1916      0.12090
1947     32     1915      0.10406
1947     33     1914      0.09183
1947     34     1913      0.08322
1947     35     1912      0.07386
1947     36     1911      0.06310
1947     37     1910      0.05292
1947     38     1909      0.04337
1947     39     1908      0.03470
1947     40     1907      0.02658
1947     41     1906      0.01980
1947     42     1905      0.01529
1947     43     1904      0.01245
1947     44     1903      0.01024
1947     45     1902      0.00810
1947     46     1901      0.00615
1947     47     1900      0.00387
1947     48     1899      0.00190
1947     49     1898      0.00080
1947     50     1897      0.00031
1947     51     1896      0.00011
1947     52     1895      0.00004
1947     53     1894      0.00002
1947     54     1893      0.00001
1947     55+    1892-     0.00000
1948     12-    1936+     0.00000
1948     13     1935      0.00002
1948     14     1934      0.00059
1948     15     1933      0.00357
1948     16     1932      0.01157
1948     17     1931      0.02881
1948     18     1930      0.05601
1948     19     1929      0.09109
1948     20     1928      0.13272
1948     21     1927      0.17228
1948     22     1926      0.19949
1948     23     1925      0.21326
1948     24     1924      0.21644
1948     25     1923      0.20786
1948     26     1922      0.18719
1948     27     1921      0.16527
1948     28     1920      0.14791
1948     29     1919      0.13697
1948     30     1918      0.12974
1948     31     1917      0.11669
1948     32     1916      0.10068
1948     33     1915      0.08981
1948     34     1914      0.08232
1948     35     1913      0.07456
1948     36     1912      0.06510
1948     37     1911      0.05522
1948     38     1910      0.04515
1948     39     1909      0.03612
1948     40     1908      0.02758
1948     41     1907      0.02054
1948     42     1906      0.01588
1948     43     1905      0.01272
1948     44     1904      0.01035
1948     45     1903      0.00814
1948     46     1902      0.00614
1948     47     1901      0.00391
1948     48     1900      0.00188
1948     49     1899      0.00079
1948     50     1898      0.00031
1948     51     1897      0.00011
1948     52     1896      0.00004
1948     53     1895      0.00002
1948     54     1894      0.00001
1948     55+    1893-     0.00000
1949     12-    1937+     0.00000
1949     13     1936      0.00003
1949     14     1935      0.00066
1949     15     1934      0.00396
1949     16     1933      0.01281
1949     17     1932      0.03169
1949     18     1931      0.06048
1949     19     1930      0.09737
1949     20     1929      0.13828
1949     21     1928      0.17493
1949     22     1927      0.19906
1949     23     1926      0.21014
1949     24     1925      0.21345
1949     25     1924      0.20756
1949     26     1923      0.18932
1949     27     1922      0.16756
1949     28     1921      0.15016
1949     29     1920      0.13782
1949     30     1919      0.12754
1949     31     1918      0.11185
1949     32     1917      0.09619
1949     33     1916      0.08590
1949     34     1915      0.07847
1949     35     1914      0.07131
1949     36     1913      0.06292
1949     37     1912      0.05344
1949     38     1911      0.04369
1949     39     1910      0.03476
1949     40     1909      0.02661
1949     41     1908      0.01984
1949     42     1907      0.01540
1949     43     1906      0.01248
1949     44     1905      0.01020
1949     45     1904      0.00819
1949     46     1903      0.00628
1949     47     1902      0.00402
1949     48     1901      0.00198
1949     49     1900      0.00081
1949     50     1899      0.00031
1949     51     1898      0.00012
1949     52     1897      0.00004
1949     53     1896      0.00002
1949     54     1895      0.00001
1949     55+    1894-     0.00000
1950     12-    1938+     0.00000
1950     13     1937      0.00003
1950     14     1936      0.00075
1950     15     1935      0.00449
1950     16     1934      0.01359
1950     17     1933      0.03299
1950     18     1932      0.06221
1950     19     1931      0.09939
1950     20     1930      0.14224
1950     21     1929      0.18096
1950     22     1928      0.20680
1950     23     1927      0.21830
1950     24     1926      0.21925
1950     25     1925      0.20909
1950     26     1924      0.18773
1950     27     1923      0.16501
1950     28     1922      0.14882
1950     29     1921      0.13977
1950     30     1920      0.12919
1950     31     1919      0.11365
1950     32     1918      0.09900
1950     33     1917      0.08798
1950     34     1916      0.07911
1950     35     1915      0.07130
1950     36     1914      0.06208
1950     37     1913      0.05238
1950     38     1912      0.04383
1950     39     1911      0.03604
1950     40     1910      0.02862
1950     41     1909      0.02217
1950     42     1908      0.01754
1950     43     1907      0.01437
1950     44     1906      0.01180
1950     45     1905      0.00943
1950     46     1904      0.00728
1950     47     1903      0.00464
1950     48     1902      0.00226
1950     49     1901      0.00094
1950     50     1900      0.00035
1950     51     1899      0.00013
1950     52     1898      0.00005
1950     53     1897      0.00002
1950     54     1896      0.00001
1950     55+    1895-     0.00000
1951     12-    1939+     0.00000
1951     13     1938      0.00003
1951     14     1937      0.00071
1951     15     1936      0.00427
1951     16     1935      0.01359
1951     17     1934      0.03257
1951     18     1933      0.06098
1951     19     1932      0.09472
1951     20     1931      0.13107
1951     21     1930      0.16105
1951     22     1929      0.17605
1951     23     1928      0.18009
1951     24     1927      0.17903
1951     25     1926      0.17176
1951     26     1925      0.15402
1951     27     1924      0.13526
1951     28     1923      0.12154
1951     29     1922      0.11361
1951     30     1921      0.10311
1951     31     1920      0.08826
1951     32     1919      0.07679
1951     33     1918      0.06776
1951     34     1917      0.06058
1951     35     1916      0.05569
1951     36     1915      0.04945
1951     37     1914      0.04116
1951     38     1913      0.03412
1951     39     1912      0.02797
1951     40     1911      0.02191
1951     41     1910      0.01666
1951     42     1909      0.01306
1951     43     1908      0.01049
1951     44     1907      0.00842
1951     45     1906      0.00651
1951     46     1905      0.00484
1951     47     1904      0.00308
1951     48     1903      0.00151
1951     49     1902      0.00064
1951     50     1901      0.00025
1951     51     1900      0.00009
1951     52     1899      0.00004
1951     53     1898      0.00001
1951     54     1897      0.00000
1951     55+    1896-     0.00000
1952     12-    1940+     0.00000
1952     13     1939      0.00003
1952     14     1938      0.00073
1952     15     1937      0.00420
1952     16     1936      0.01298
1952     17     1935      0.03231
1952     18     1934      0.05972
1952     19     1933      0.09338
1952     20     1932      0.13195
1952     21     1931      0.16494
1952     22     1930      0.18073
1952     23     1929      0.18540
1952     24     1928      0.18456
1952     25     1927      0.17760
1952     26     1926      0.15989
1952     27     1925      0.13918
1952     28     1924      0.12412
1952     29     1923      0.11403
1952     30     1922      0.10171
1952     31     1921      0.08608
1952     32     1920      0.07335
1952     33     1919      0.06430
1952     34     1918      0.05706
1952     35     1917      0.05286
1952     36     1916      0.04745
1952     37     1915      0.03949
1952     38     1914      0.03248
1952     39     1913      0.02670
1952     40     1912      0.02084
1952     41     1911      0.01561
1952     42     1910      0.01214
1952     43     1909      0.00962
1952     44     1908      0.00756
1952     45     1907      0.00572
1952     46     1906      0.00418
1952     47     1905      0.00262
1952     48     1904      0.00131
1952     49     1903      0.00056
1952     50     1902      0.00022
1952     51     1901      0.00009
1952     52     1900      0.00003
1952     53     1899      0.00001
1952     54     1898      0.00000
1952     55+    1897-     0.00000
1953     12-    1941+     0.00000
1953     13     1940      0.00003
1953     14     1939      0.00078
1953     15     1938      0.00439
1953     16     1937      0.01344
1953     17     1936      0.03352
1953     18     1935      0.06380
1953     19     1934      0.09773
1953     20     1933      0.13641
1953     21     1932      0.16780
1953     22     1931      0.18059
1953     23     1930      0.18298
1953     24     1929      0.18168
1953     25     1928      0.17573
1953     26     1927      0.15921
1953     27     1926      0.13889
1953     28     1925      0.12237
1953     29     1924      0.11101
1953     30     1923      0.09834
1953     31     1922      0.08311
1953     32     1921      0.07054
1953     33     1920      0.06120
1953     34     1919      0.05440
1953     35     1918      0.05012
1953     36     1917      0.04474
1953     37     1916      0.03759
1953     38     1915      0.03157
1953     39     1914      0.02632
1953     40     1913      0.02102
1953     41     1912      0.01626
1953     42     1911      0.01275
1953     43     1910      0.00997
1953     44     1909      0.00771
1953     45     1908      0.00574
1953     46     1907      0.00416
1953     47     1906      0.00260
1953     48     1905      0.00127
1953     49     1904      0.00055
1953     50     1903      0.00022
1953     51     1902      0.00008
1953     52     1901      0.00003
1953     53     1900      0.00001
1953     54     1899      0.00000
1953     55+    1898-     0.00000
1954     12-    1942+     0.00000
1954     13     1941      0.00003
1954     14     1940      0.00081
1954     15     1939      0.00455
1954     16     1938      0.01410
1954     17     1937      0.03543
1954     18     1936      0.06725
1954     19     1935      0.10358
1954     20     1934      0.13884
1954     21     1933      0.16543
1954     22     1932      0.17385
1954     23     1931      0.17389
1954     24     1930      0.17280
1954     25     1929      0.16919
1954     26     1928      0.15467
1954     27     1927      0.13550
1954     28     1926      0.12003
1954     29     1925      0.10832
1954     30     1924      0.09635
1954     31     1923      0.08168
1954     32     1922      0.06934
1954     33     1921      0.06060
1954     34     1920      0.05402
1954     35     1919      0.04925
1954     36     1918      0.04316
1954     37     1917      0.03626
1954     38     1916      0.03045
1954     39     1915      0.02514
1954     40     1914      0.01992
1954     41     1913      0.01545
1954     42     1912      0.01199
1954     43     1911      0.00909
1954     44     1910      0.00672
1954     45     1909      0.00486
1954     46     1908      0.00344
1954     47     1907      0.00213
1954     48     1906      0.00106
1954     49     1905      0.00046
1954     50     1904      0.00019
1954     51     1903      0.00007
1954     52     1902      0.00003
1954     53     1901      0.00001
1954     54     1900      0.00000
1954     55+    1899-     0.00000
1955     12-    1943+     0.00000
1955     13     1942      0.00003
1955     14     1941      0.00076
1955     15     1940      0.00443
1955     16     1939      0.01400
