Bulgaria, Period fertility rates by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 01/12/2022
Year    ARDY   Cohort        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1947     12-    1935+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1947     13     1934      0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
1947     14     1933      0.00056     0.00055     0.00001     0.00000     0.00000     0.00000
1947     15     1932      0.00335     0.00329     0.00006     0.00000     0.00000     0.00000
1947     16     1931      0.01076     0.01042     0.00034     0.00000     0.00000     0.00000
1947     17     1930      0.02761     0.02608     0.00153     0.00000     0.00000     0.00000
1947     18     1929      0.05377     0.04858     0.00506     0.00011     0.00002     0.00000
1947     19     1928      0.08789     0.07385     0.01219     0.00159     0.00026     0.00000
1947     20     1927      0.12764     0.09941     0.02269     0.00476     0.00078     0.00000
1947     21     1926      0.16471     0.11743     0.03780     0.00805     0.00144     0.00000
1947     22     1925      0.19035     0.11764     0.05641     0.01365     0.00264     0.00000
1947     23     1924      0.20329     0.10633     0.07304     0.01952     0.00418     0.00021
1947     24     1923      0.20961     0.08906     0.08509     0.02621     0.00635     0.00290
1947     25     1922      0.20366     0.06691     0.08682     0.03348     0.00976     0.00670
1947     26     1921      0.18475     0.04720     0.07888     0.03787     0.01354     0.00726
1947     27     1920      0.16460     0.03393     0.06725     0.03827     0.01647     0.00868
1947     28     1919      0.14948     0.02537     0.05689     0.03790     0.01918     0.01014
1947     29     1918      0.13919     0.01929     0.04762     0.03706     0.02158     0.01365
1947     30     1917      0.13320     0.01593     0.04107     0.03539     0.02225     0.01856
1947     31     1916      0.12090     0.01286     0.03345     0.03096     0.02084     0.02279
1947     32     1915      0.10406     0.00937     0.02480     0.02510     0.01859     0.02618
1947     33     1914      0.09183     0.00715     0.01914     0.02078     0.01645     0.02830
1947     34     1913      0.08322     0.00579     0.01561     0.01791     0.01483     0.02907
1947     35     1912      0.07386     0.00466     0.01255     0.01513     0.01309     0.02843
1947     36     1911      0.06310     0.00366     0.00968     0.01219     0.01102     0.02655
1947     37     1910      0.05292     0.00290     0.00736     0.00959     0.00894     0.02413
1947     38     1909      0.04337     0.00222     0.00533     0.00721     0.00694     0.02167
1947     39     1908      0.03470     0.00164     0.00366     0.00515     0.00513     0.01912
1947     40     1907      0.02658     0.00116     0.00242     0.00351     0.00358     0.01591
1947     41     1906      0.01980     0.00083     0.00162     0.00239     0.00247     0.01249
1947     42     1905      0.01529     0.00063     0.00111     0.00165     0.00180     0.01011
1947     43     1904      0.01245     0.00049     0.00077     0.00113     0.00138     0.00869
1947     44     1903      0.01024     0.00038     0.00052     0.00076     0.00107     0.00751
1947     45     1902      0.00810     0.00028     0.00033     0.00048     0.00078     0.00622
1947     46     1901      0.00615     0.00021     0.00022     0.00031     0.00055     0.00486
1947     47     1900      0.00387     0.00016     0.00015     0.00019     0.00035     0.00302
1947     48     1899      0.00190     0.00011     0.00009     0.00011     0.00019     0.00141
1947     49     1898      0.00080     0.00006     0.00005     0.00006     0.00009     0.00054
1947     50     1897      0.00031     0.00004     0.00003     0.00003     0.00004     0.00018
1947     51     1896      0.00011     0.00002     0.00002     0.00001     0.00001     0.00005
1947     52     1895      0.00004     0.00001     0.00001     0.00001     0.00001     0.00002
1947     53     1894      0.00002     0.00000     0.00000     0.00000     0.00000     0.00000
1947     54     1893      0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
1947     55+    1892-     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1948     12-    1936+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1948     13     1935      0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
1948     14     1934      0.00059     0.00058     0.00001     0.00000     0.00000     0.00000
1948     15     1933      0.00357     0.00351     0.00006     0.00000     0.00000     0.00000
1948     16     1932      0.01157     0.01124     0.00033     0.00000     0.00000     0.00000
1948     17     1931      0.02881     0.02739     0.00141     0.00000     0.00000     0.00000
1948     18     1930      0.05601     0.05112     0.00478     0.00010     0.00002     0.00000
1948     19     1929      0.09109     0.07784     0.01169     0.00136     0.00018     0.00002
1948     20     1928      0.13272     0.10496     0.02275     0.00433     0.00061     0.00007
1948     21     1927      0.17228     0.12337     0.03953     0.00788     0.00130     0.00019
1948     22     1926      0.19949     0.12175     0.06056     0.01399     0.00268     0.00051
1948     23     1925      0.21326     0.10694     0.07960     0.02085     0.00469     0.00118
1948     24     1924      0.21644     0.08833     0.09062     0.02801     0.00726     0.00222
1948     25     1923      0.20786     0.06731     0.09067     0.03533     0.01070     0.00385
1948     26     1922      0.18719     0.04813     0.08018     0.03894     0.01400     0.00595
1948     27     1921      0.16527     0.03478     0.06703     0.03872     0.01642     0.00832
1948     28     1920      0.14791     0.02545     0.05492     0.03742     0.01864     0.01149
1948     29     1919      0.13697     0.01927     0.04545     0.03592     0.02064     0.01569
1948     30     1918      0.12974     0.01542     0.03862     0.03402     0.02176     0.01992
1948     31     1917      0.11669     0.01208     0.03112     0.02954     0.02076     0.02319
1948     32     1916      0.10068     0.00892     0.02332     0.02388     0.01850     0.02606
1948     33     1915      0.08981     0.00699     0.01828     0.01994     0.01648     0.02811
1948     34     1914      0.08232     0.00582     0.01500     0.01726     0.01488     0.02936
1948     35     1913      0.07456     0.00477     0.01219     0.01470     0.01314     0.02975
1948     36     1912      0.06510     0.00380     0.00962     0.01200     0.01106     0.02862
1948     37     1911      0.05522     0.00303     0.00740     0.00948     0.00906     0.02624
1948     38     1910      0.04515     0.00234     0.00534     0.00705     0.00714     0.02328
1948     39     1909      0.03612     0.00176     0.00369     0.00503     0.00546     0.02018
1948     40     1908      0.02758     0.00129     0.00245     0.00343     0.00398     0.01644
1948     41     1907      0.02054     0.00095     0.00165     0.00235     0.00285     0.01273
1948     42     1906      0.01588     0.00068     0.00118     0.00163     0.00209     0.01030
1948     43     1905      0.01272     0.00045     0.00084     0.00110     0.00152     0.00881
1948     44     1904      0.01035     0.00028     0.00061     0.00073     0.00109     0.00764
1948     45     1903      0.00814     0.00016     0.00041     0.00045     0.00073     0.00638
1948     46     1902      0.00614     0.00010     0.00028     0.00028     0.00048     0.00500
1948     47     1901      0.00391     0.00007     0.00019     0.00018     0.00030     0.00317
1948     48     1900      0.00188     0.00005     0.00012     0.00010     0.00016     0.00145
