Bulgaria, Live births by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 01/12/2022
Year    Age        Total
1947     12-        0.07
1947     13         6.46
1947     14       103.69
1947     15       397.17
1947     16      1180.54
1947     17      2715.85
1947     18      4799.06
1947     19      7430.88
1947     20     10643.45
1947     21     12863.54
1947     22     14751.50
1947     23     14707.94
1947     24     14720.21
1947     25     13523.40
1947     26     11240.37
1947     27      9693.64
1947     28      6398.33
1947     29      4230.30
1947     30      4081.02
1947     31      5138.83
1947     32      5794.70
1947     33      4400.30
1947     34      3918.83
1947     35      3812.51
1947     36      3082.73
1947     37      2658.50
1947     38      1991.74
1947     39      1545.97
1947     40      1186.34
1947     41       867.84
1947     42       664.15
1947     43       516.34
1947     44       395.72
1947     45       291.35
1947     46       222.88
1947     47       115.96
1947     48        43.62
1947     49        16.63
1947     50         6.26
1947     51         2.25
1947     52         0.77
1947     53         0.26
1947     54         0.07
1947     55+        0.00
1948     12-        0.06
1948     13         6.66
1948     14       108.10
1948     15       436.76
1948     16      1262.97
1948     17      2739.62
1948     18      4960.04
1948     19      7590.94
1948     20     10617.72
1948     21     13408.13
1948     22     14819.92
1948     23     15926.72
1948     24     15164.20
1948     25     13780.54
1948     26     12060.01
1948     27      9956.59
1948     28      8702.45
1948     29      5882.64
1948     30      3902.62
1948     31      3348.82
1948     32      4325.30
1948     33      5050.46
1948     34      3978.70
1948     35      3421.51
1948     36      3339.03
1948     37      2642.10
1948     38      2221.32
1948     39      1622.97
1948     40      1182.78
1948     41       922.21
1948     42       708.77
1948     43       551.70
1948     44       419.65
1948     45       301.82
1948     46       211.41
1948     47       118.29
1948     48        50.66
1948     49        17.02
1948     50         6.17
1948     51         2.33
1948     52         0.87
1948     53         0.30
1948     54         0.07
1948     55+        0.00
1949     12-        0.07
1949     13         6.35
1949     14       116.89
1949     15       484.52
1949     16      1422.96
1949     17      3023.48
1949     18      5167.50
1949     19      8010.85
1949     20     10734.21
1949     21     12937.15
1949     22     14586.12
1949     23     14967.52
1949     24     15598.23
1949     25     14015.90
1949     26     12227.66
1949     27     10763.37
1949     28      9070.89
1949     29      8123.06
1949     30      5335.29
1949     31      3176.77
1949     32      2799.75
1949     33      3708.68
1949     34      4402.52
1949     35      3367.41
1949     36      2840.10
1949     37      2661.96
1949     38      2042.32
1949     39      1674.51
1949     40      1153.45
1949     41       858.63
1949     42       706.74
1949     43       561.62
1949     44       439.03
1949     45       324.25
1949     46       223.48
1949     47       116.43
1949     48        53.71
1949     49        20.47
1949     50         6.50
1949     51         2.34
1949     52         0.91
1949     53         0.34
1949     54         0.08
1949     55+        0.00
1950     12-        0.07
1950     13         7.32
1950     14       119.49
1950     15       515.14
1950     16      1490.25
1950     17      3191.48
1950     18      5350.74
1950     19      7952.69
1950     20     11048.02
1950     21     13198.97
1950     22     14574.79
1950     23     15408.62
1950     24     15161.94
1950     25     14568.71
1950     26     12179.40
1950     27     10635.38
1950     28      9658.89
1950     29      8578.22
1950     30      7398.63
1950     31      4619.42
1950     32      2861.96
1950     33      2560.50
1950     34      3374.21
1950     35      3905.26
