Bulgaria, Live births by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 01/12/2022
Year    Age        Total          B1          B2          B3          B4         B5p
1947     12-        0.07        0.07        0.01        0.00        0.00        0.00
1947     13         6.46        6.32        0.15        0.00        0.00        0.00
1947     14       103.69      102.21        1.48        0.00        0.00        0.00
1947     15       397.17      388.11        9.06        0.00        0.00        0.00
1947     16      1180.54     1134.39       46.14        0.01        0.00        0.00
1947     17      2715.85     2525.52      189.61        0.58        0.14        0.00
1947     18      4799.06     4211.18      555.90       27.19        4.78        0.00
1947     19      7430.88     5992.78     1169.56      231.85       36.69        0.00
1947     20     10643.45     8036.09     2114.36      420.87       72.14        0.00
1947     21     12863.54     8598.65     3355.36      768.23      141.28        0.01
1947     22     14751.50     8443.24     4837.41     1223.11      246.73        1.00
1947     23     14707.94     6980.93     5696.91     1611.49      364.79       53.83
1947     24     14720.21     5523.21     6166.45     2085.10      541.68      403.77
1947     25     13523.40     3857.25     5826.48     2553.26      828.19      458.23
1947     26     11240.37     2574.45     4721.64     2461.68      960.91      521.70
1947     27      9693.64     1815.99     3845.85     2362.42     1099.80      569.58
1947     28      6398.33      987.90     2330.17     1672.59      907.85      499.82
1947     29      4230.30      531.67     1361.76     1135.17      697.60      504.12
1947     30      4081.02      466.48     1203.56     1067.37      685.55      658.07
1947     31      5138.83      496.88     1306.48     1276.30      911.00     1148.18
1947     32      5794.70      481.45     1282.96     1350.81     1039.96     1639.52
1947     33      4400.30      321.74      865.75      968.19      786.12     1458.49
1947     34      3918.83      259.86      701.08      824.84      697.11     1435.94
1947     35      3812.51      227.99      610.32      756.52      672.08     1545.61
1947     36      3082.73      174.13      452.42      578.96      531.38     1345.86
1947     37      2658.50      141.06      348.48      463.01      438.71     1267.24
1947     38      1991.74       98.16      227.08      313.77      307.06     1045.67
1947     39      1545.97       69.82      149.63      214.71      217.38      894.43
1947     40      1186.34       50.57      101.05      148.48      152.63      733.63
1947     41       867.84       36.16       67.54      100.11      105.09      558.95
1947     42       664.15       26.59       44.59       66.24       75.77      450.96
1947     43       516.34       19.64       28.68       42.38       55.32      370.32
1947     44       395.72       14.40       18.06       26.30       39.82      297.12
1947     45       291.35        9.88       10.71       15.32       26.81      228.63
1947     46       222.88        8.15        7.86       10.71       19.84      176.32
1947     47       115.96        5.48        4.91        6.16       10.91       88.49
1947     48        43.62        2.94        2.51        2.85        4.53       30.79
1947     49        16.63        1.65        1.37        1.38        1.90       10.32
1947     50         6.26        0.89        0.73        0.66        0.76        3.23
1947     51         2.25        0.42        0.35        0.29        0.28        0.92
1947     52         0.77        0.18        0.15        0.11        0.09        0.24
1947     53         0.26        0.07        0.06        0.04        0.03        0.07
1947     54         0.07        0.02        0.01        0.01        0.00        0.01
1947     55+        0.00        0.00        0.00        0.00        0.00        0.00
1948     12-        0.06        0.06        0.00        0.00        0.00        0.00
1948     13         6.66        6.52        0.14        0.00        0.00        0.00
1948     14       108.10      106.71        1.40        0.00        0.00        0.00
1948     15       436.76      427.78        8.97        0.00        0.00        0.00
1948     16      1262.97     1218.78       44.17        0.01        0.00        0.00
1948     17      2739.62     2567.94      171.07        0.48        0.10        0.03
1948     18      4960.04     4412.00      521.29       23.03        3.32        0.40
1948     19      7590.94     6236.83     1124.98      200.32       26.26        2.55
1948     20     10617.72     8102.95     2067.38      381.80       58.29        7.30
1948     21     13408.13     8919.11     3560.67      770.64      135.61       22.11
1948     22     14819.92     8246.82     5035.29     1229.79      253.26       54.77
1948     23     15926.72     7222.01     6371.82     1783.76      429.61      119.52
1948     24     15164.20     5537.48     6555.73     2245.08      621.54      204.36
1948     25     13780.54     3921.95     5995.28     2649.06      873.93      340.34
1948     26     12060.01     2792.28     5053.18     2683.76     1047.36      483.42
1948     27      9956.59     1895.64     3884.89     2438.47     1118.84      618.74
1948     28      8702.45     1362.91     3077.91     2252.22     1200.59      808.81
1948     29      5882.64      749.73     1836.50     1551.74      948.29      796.38
1948     30      3902.62      437.67     1113.66     1013.39      673.27      664.62
1948     31      3348.82      316.97      825.51      819.29      610.57      776.47
1948     32      4325.30      355.25      930.89      988.78      797.23     1253.14
1948     33      5050.46      371.57      966.88     1086.04      920.55     1705.44
1948     34      3978.70      270.07      690.67      813.35      712.55     1492.06
1948     35      3421.51      206.37      525.78      649.18      591.37     1448.81
1948     36      3339.03      188.75      471.66      595.72      556.94     1525.96
1948     37      2642.10      141.06      333.41      433.92      425.82     1307.91
1948     38      2221.32      111.79      244.50      328.45      344.09     1192.50
1948     39      1622.97       76.36      153.04      211.73      239.27      942.58
1948     40      1182.78       54.89       98.70      139.86      167.01      722.31
1948     41       922.21       41.92       71.57      100.99      125.61      582.12
1948     42       708.77       27.74       49.83       67.34       89.45      474.42
1948     43       551.70       16.97       34.31       43.08       61.95      395.40
1948     44       419.65        9.77       23.04       26.37       40.98      319.50
1948     45       301.82        5.23       13.98       14.69       24.67      243.25
1948     46       211.41        3.56        9.72        9.40       15.94      172.80
1948     47       118.29        2.54        6.58        5.87        9.34       93.99
1948     48        50.66        1.63        3.81        3.13        4.47       37.64
1948     49        17.02        0.88        1.80        1.37        1.71       11.28
1948     50         6.17        0.51        0.90        0.63        0.69        3.44
1948     51         2.33        0.28        0.44        0.29        0.27        1.04
1948     52         0.87        0.15        0.19        0.13        0.10        0.31
1948     53         0.30        0.07        0.07        0.05        0.03        0.08
1948     54         0.07        0.01        0.01        0.01        0.01        0.01
1948     55+        0.00        0.00        0.00        0.00        0.00        0.00
1949     12-        0.07        0.06        0.00        0.00        0.00        0.00
1949     13         6.35        6.22        0.13        0.00        0.00        0.00
1949     14       116.89      115.45        1.44        0.00        0.00        0.00
1949     15       484.52      475.08        9.45        0.00        0.00        0.00
1949     16      1422.96     1376.03       46.92        0.01        0.00        0.00
1949     17      3023.48     2845.09      177.84        0.41        0.11        0.02
1949     18      5167.50     4627.91      517.36       18.29        3.69        0.25
1949     19      8010.85     6646.62     1162.49      169.21       30.81        1.71
1949     20     10734.21     8221.24     2097.76      343.43       66.33        5.44
1949     21     12937.15     8537.33     3514.13      718.84      148.32       18.53
1949     22     14586.12     7904.49     5104.19     1242.52      280.72       54.18
1949     23     14967.52     6473.87     6153.47     1768.10      447.62      124.45
1949     24     15598.23     5347.65     6901.29     2414.71      698.03      236.55
1949     25     14015.90     3751.73     6236.57     2737.19      932.95      357.44
1949     26     12227.66     2659.65     5225.78     2740.87     1105.09      496.25
1949     27     10763.37     1933.32     4290.32     2627.89     1248.66      663.17
1949     28      9070.89     1351.16     3295.62     2317.71     1281.09      825.31
1949     29      8123.06      994.40     2623.39     2099.36     1326.80     1079.10
1949     30      5335.29      547.23     1528.52     1336.75      948.68      974.10
1949     31      3176.77      275.68      785.57      743.13      589.14      783.26
1949     32      2799.75      212.35      597.72      610.42      520.63      858.62
1949     33      3708.68      254.49      688.70      763.24      678.95     1323.29
1949     34      4402.52      281.39      718.87      868.21      789.89     1744.17
1949     35      3367.41      205.02      485.43      638.23      588.18     1450.54
1949     36      2840.10      164.62      368.01      511.90      481.22     1314.33
1949     37      2661.96      141.52      306.22      442.19      430.51     1341.54
1949     38      2042.32       96.48      205.47      303.39      309.09     1127.89
1949     39      1674.51       68.48      145.23      216.82      232.65     1011.34
1949     40      1153.45       42.22       88.74      132.43      147.12      742.94
1949     41       858.63       29.87       61.14       91.39      103.71      572.51
1949     42       706.74       22.92       44.89       68.54       81.73      488.67
1949     43       561.62       16.87       31.10       49.08       62.75      401.81
1949     44       439.03       12.43       21.31       34.76       47.87      322.65
1949     45       324.25        8.40       13.39       22.60       33.95      245.92
1949     46       223.48        6.23        9.24       15.24       23.46      169.31
1949     47       116.43        4.23        5.83        8.86       12.97       84.55
1949     48        53.71        2.82        3.61        4.88        6.49       35.91
1949     49        20.47        1.61        1.92        2.26        2.66       12.02
1949     50         6.50        0.75        0.84        0.85        0.88        3.19
1949     51         2.34        0.37        0.39        0.35        0.31        0.92
1949     52         0.91        0.18        0.19        0.15        0.11        0.28
1949     53         0.34        0.08        0.08        0.06        0.04        0.09
1949     54         0.08        0.03        0.02        0.01        0.01        0.01
1949     55+        0.00        0.00        0.00        0.00        0.00        0.00
1950     12-        0.07        0.07        0.01        0.00        0.00        0.00
1950     13         7.32        7.17        0.14        0.00        0.00        0.00
1950     14       119.49      118.12        1.37        0.00        0.00        0.00
1950     15       515.14      505.63        9.51        0.00        0.00        0.00
1950     16      1490.25     1443.68       46.56        0.00        0.00        0.00
1950     17      3191.48     3012.79      178.15        0.41        0.13        0.01
1950     18      5350.74     4820.13      509.00       17.17        4.31        0.12
1950     19      7952.69     6664.61     1099.64      153.45       34.14        0.85
1950     20     11048.02     8572.45     2067.80      332.40       71.89        3.48
1950     21     13198.97     8842.51     3471.69      716.28      153.07       15.40
1950     22     14574.79     7991.86     4997.20     1253.22      274.55       57.97
1950     23     15408.62     6680.68     6253.80     1864.92      442.17      167.04
1950     24     15161.94     5165.84     6654.60     2381.69      652.89      306.90
1950     25     14568.71     3890.76     6480.97     2816.56      941.67      438.74
1950     26     12179.40     2656.88     5257.26     2652.96     1074.70      537.58
1950     27     10635.38     1937.04     4331.91     2507.57     1207.97      650.89
1950     28      9658.89     1477.39     3625.12     2413.05     1333.21      810.10
1950     29      8578.22     1090.75     2884.04     2232.51     1360.36     1010.56
1950     30      7398.63      771.08     2128.49     1917.22     1301.32     1280.51
1950     31      4619.42      410.46     1152.48     1146.43      858.24     1051.80
1950     32      2861.96      221.82      621.36      665.10      539.52      814.15
1950     33      2560.50      176.89      486.97      549.52      476.71      870.41
1950     34      3374.21      211.75      566.03      663.53      610.47     1322.43
