Bulgaria, Live births by calendar year, age and birth cohort (Lexis triangles)
Last modified: 01/12/2022
Year   Age    Cohort           Total
1947    12-        .            0.07
1947    13      1934            1.60
1947    13      1933            4.86
1947    14      1933           33.07
1947    14      1932           70.62
1947    15      1932          171.94
1947    15      1931          225.23
1947    16      1931          473.88
1947    16      1930          706.66
1947    17      1930         1269.69
1947    17      1929         1446.16
1947    18      1929         2087.66
1947    18      1928         2711.40
1947    19      1928         3601.82
1947    19      1927         3829.06
1947    20      1927         4724.62
1947    20      1926         5918.83
1947    21      1926         6676.54
1947    21      1925         6187.00
1947    22      1925         7277.55
1947    22      1924         7473.95
1947    23      1924         7621.12
1947    23      1923         7086.82
1947    24      1923         7157.59
1947    24      1922         7562.62
1947    25      1922         7097.98
1947    25      1921         6425.42
1947    26      1921         5904.03
1947    26      1920         5336.34
1947    27      1920         5664.65
1947    27      1919         4028.99
1947    28      1919         3778.79
1947    28      1918         2619.54
1947    29      1918         2508.68
1947    29      1917         1721.62
1947    30      1917         1689.47
1947    30      1916         2391.55
1947    31      1916         2115.14
1947    31      1915         3023.69
1947    32      1915         2742.01
1947    32      1914         3052.69
1947    33      1914         2795.80
1947    33      1913         1604.50
1947    34      1913         1530.15
1947    34      1912         2388.68
1947    35      1912         2116.28
1947    35      1911         1696.23
1947    36      1911         1525.94
1947    36      1910         1556.79
1947    37      1910         1487.58
1947    37      1909         1170.92
1947    38      1909         1013.29
1947    38      1908          978.45
1947    39      1908          830.45
1947    39      1907          715.52
1947    40      1907          583.35
1947    40      1906          602.99
1947    41      1906          490.34
1947    41      1905          377.50
1947    42      1905          342.11
1947    42      1904          322.04
1947    43      1904          279.96
1947    43      1903          236.38
1947    44      1903          206.52
1947    44      1902          189.20
1947    45      1902          155.87
1947    45      1901          135.48
1947    46      1901          112.67
1947    46      1900          110.21
1947    47      1900           75.98
1947    47      1899           39.98
1947    48      1899           23.76
1947    48      1898           19.86
1947    49      1898           10.29
1947    49      1897            6.34
1947    50      1897            3.34
1947    50      1896            2.92
1947    51      1896            1.43
1947    51      1895            0.82
1947    52      1895            0.44
1947    52      1894            0.33
1947    53      1894            0.17
1947    53      1893            0.09
1947    54      1893            0.05
1947    54      1892            0.02
1947    55+        .            0.00
1948    12-        .            0.06
1948    13      1935            1.48
1948    13      1934            5.18
1948    14      1934           37.27
1948    14      1933           70.83
1948    15      1933          171.06
1948    15      1932          265.70
1948    16      1932          565.26
1948    16      1931          697.71
1948    17      1931         1164.09
1948    17      1930         1575.53
1948    18      1930         2397.13
1948    18      1929         2562.91
