Bulgaria, Live births by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 01/12/2022
Year   Age    Cohort           Total             B1             B2             B3             B4            B5p
1947    12-        .            0.07           0.07           0.01           0.00           0.00           0.00
1947    13      1934            1.60           1.56           0.05           0.00           0.00           0.00
1947    13      1933            4.86           4.76           0.10           0.00           0.00           0.00
1947    14      1933           33.07          32.59           0.48           0.00           0.00           0.00
1947    14      1932           70.62          69.62           1.00           0.00           0.00           0.00
1947    15      1932          171.94         168.43           3.51           0.00           0.00           0.00
1947    15      1931          225.23         219.68           5.55           0.00           0.00           0.00
1947    16      1931          473.88         457.37          16.51           0.00           0.00           0.00
1947    16      1930          706.66         677.02          29.63           0.01           0.00           0.00
1947    17      1930         1269.69        1189.53          79.99           0.14           0.04           0.00
1947    17      1929         1446.16        1335.99         109.62           0.44           0.10           0.00
1947    18      1929         2087.66        1856.90         222.78           6.74           1.24           0.00
1947    18      1928         2711.40        2354.28         333.12          20.45           3.54           0.00
1947    19      1928         3601.82        2950.67         542.88          93.44          14.84           0.00
1947    19      1927         3829.06        3042.11         626.68         138.41          21.85           0.00
1947    20      1927         4724.62        3619.89         893.98         180.37          30.39           0.00
1947    20      1926         5918.83        4416.20        1220.38         240.50          41.75           0.00
1947    21      1926         6676.54        4563.55        1670.01         374.96          68.01           0.00
1947    21      1925         6187.00        4035.10        1685.35         393.27          73.27           0.01
1947    22      1925         7277.55        4286.62        2304.79         572.54         113.38           0.21
1947    22      1924         7473.95        4156.62        2532.62         650.57         133.35           0.79
1947    23      1924         7621.12        3739.14        2891.17         798.81         177.01          14.99
1947    23      1923         7086.82        3241.79        2805.74         812.68         187.78          38.84
1947    24      1923         7157.59        2810.63        2976.75         968.22         243.66         158.32
1947    24      1922         7562.62        2712.58        3189.70        1116.88         298.02         245.45
1947    25      1922         7097.98        2103.95        3059.76        1293.06         404.68         236.54
1947    25      1921         6425.42        1753.30        2766.72        1260.20         423.51         221.69
1947    26      1921         5904.03        1396.81        2497.12        1267.32         480.13         262.65
1947    26      1920         5336.34        1177.64        2224.52        1194.36         480.78         259.05
1947    27      1920         5664.65        1089.77        2269.87        1363.76         619.98         321.28
1947    27      1919         4028.99         726.22        1575.98         998.66         479.82         248.30
1947    28      1919         3778.79         598.99        1395.45         981.05         522.20         281.10
1947    28      1918         2619.54         388.91         934.72         691.54         385.65         218.72
1947    29      1918         2508.68         321.74         819.63         673.86         409.34         284.12
1947    29      1917         1721.62         209.93         542.13         461.31         288.26         220.00
1947    30      1917         1689.47         198.10         509.71         444.87         281.52         255.28
1947    30      1916         2391.55         268.38         693.85         622.50         404.03         402.79
1947    31      1916         2115.14         210.94         553.03         531.55         372.82         446.80
1947    31      1915         3023.69         285.94         753.45         744.75         538.18         701.38
1947    32      1915         2742.01         233.44         620.86         646.25         492.08         749.38
1947    32      1914         3052.69         248.01         662.10         704.56         547.88         890.14
1947    33      1914         2795.80         207.22         557.17         619.05         499.89         912.46
1947    33      1913         1604.50         114.52         308.58         349.14         286.23         546.03
1947    34      1913         1530.15         103.55         279.53         325.44         272.51         549.12
1947    34      1912         2388.68         156.31         421.55         499.40         424.60         886.82
1947    35      1912         2116.28         128.03         343.68         423.48         374.00         847.09
1947    35      1911         1696.23          99.96         266.64         333.04         298.08         698.52
1947    36      1911         1525.94          87.05         227.71         289.70         264.48         657.01
1947    36      1910         1556.79          87.08         224.71         289.26         266.90         688.85
1947    37      1910         1487.58          79.72         198.61         262.42         247.50         699.33
1947    37      1909         1170.92          61.34         149.87         200.59         191.21         567.91
1947    38      1909         1013.29          50.60         118.41         162.60         158.28         523.40
1947    38      1908          978.45          47.56         108.67         151.17         148.78         522.27
1947    39      1908          830.45          37.93          82.18         117.39         118.44         474.51
1947    39      1907          715.52          31.89          67.45          97.32          98.94         419.92
1947    40      1907          583.35          25.03          50.58          74.13          75.99         357.62
1947    40      1906          602.99          25.54          50.47          74.35          76.64         376.01
1947    41      1906          490.34          20.52          38.82          57.50          59.88         313.62
1947    41      1905          377.50          15.64          28.72          42.61          45.21         245.33
1947    42      1905          342.11          13.80          23.60          35.07          39.41         230.23
1947    42      1904          322.04          12.79          20.99          31.17          36.36         220.73
1947    43      1904          279.96          10.73          16.02          23.70          30.28         199.23
1947    43      1903          236.38           8.91          12.66          18.68          25.04         171.09
1947    44      1903          206.52           7.59           9.75          14.23          21.05         153.88
