Bulgaria, Live births by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 01/12/2022
Year  ARDY   Cohort       Total
1947    12-   1935+        0.01
1947    13    1934         1.66
1947    14    1933        37.93
1947    15    1932       242.56
1947    16    1931       699.11
1947    17    1930      1976.35
1947    18    1929      3533.82
1947    19    1928      6313.22
1947    20    1927      8553.68
1947    21    1926     12595.37
1947    22    1925     13464.55
1947    23    1924     15095.07
1947    24    1923     14244.41
1947    25    1922     14660.60
1947    26    1921     12329.45
1947    27    1920     11000.99
1947    28    1919      7807.78
1947    29    1918      5128.22
1947    30    1917      3411.09
1947    31    1916      4506.69
1947    32    1915      5765.70
1947    33    1914      5848.49
1947    34    1913      3134.65
1947    35    1912      4504.96
1947    36    1911      3222.17
1947    37    1910      3044.37
1947    38    1909      2184.21
1947    39    1908      1808.90
1947    40    1907      1298.87
1947    41    1906      1093.33
1947    42    1905       719.61
1947    43    1904       602.00
1947    44    1903       442.90
1947    45    1902       345.07
1947    46    1901       248.15
1947    47    1900       186.19
1947    48    1899        63.74
1947    49    1898        30.15
1947    50    1897         9.68
1947    51    1896         4.35
1947    52    1895         1.26
1947    53    1894         0.50
1947    54    1893         0.14
1947    55+   1892-        0.02
1948    12-   1936+        0.01
1948    13    1935         1.53
1948    14    1934        42.45
1948    15    1933       241.89
1948    16    1932       830.96
1948    17    1931      1861.80
1948    18    1930      3972.66
1948    19    1929      5943.32
1948    20    1928      9448.10
1948    21    1927     11467.30
1948    22    1926     15095.82
1948    23    1925     14983.04
1948    24    1924     15934.46
1948    25    1923     14008.74
1948    26    1922     13346.13
1948    27    1921     10930.92
1948    28    1920      9800.99
1948    29    1919      7100.37
1948    30    1918      4742.90
1948    31    1917      2977.84
1948    32    1916      3709.75
1948    33    1915      4938.44
1948    34    1914      5191.26
1948    35    1913      2808.73
1948    36    1912      3922.86
1948    37    1911      2804.63
1948    38    1910      2571.31
1948    39    1909      1809.19
1948    40    1908      1425.84
1948    41    1907       998.48
1948    42    1906       867.66
1948    43    1905       596.42
1948    44    1904       495.18
1948    45    1903       349.85
1948    46    1902       259.68
1948    47    1901       157.12
1948    48    1900        89.58
1948    49    1899        26.38
1948    50    1898        11.44
1948    51    1897         3.59
1948    52    1896         1.64
1948    53    1895         0.50
1948    54    1894         0.18
1948    55+   1893-        0.01
1949    12-   1937+        0.01
1949    13    1936         1.64
1949    14    1935        41.61
1949    15    1934       282.81
1949    16    1933       864.28
1949    17    1932      2260.39
1949    18    1931      3888.35
1949    19    1930      6843.10
1949    20    1929      8959.31
1949    21    1928     12342.02
1949    22    1927     13172.74
1949    23    1926     15738.87
1949    24    1925     14902.54
1949    25    1924     15160.16
1949    26    1923     12661.11
1949    27    1922     11839.98
1949    28    1921      9849.36
1949    29    1920      9059.41
1949    30    1919      6567.66
1949    31    1918      4059.02
1949    32    1917      2448.62
1949    33    1916      3129.57
1949    34    1915      4284.21
1949    35    1914      4453.71
1949    36    1913      2372.26
1949    37    1912      3184.02
1949    38    1911      2207.27
1949    39    1910      1960.83
1949    40    1909      1325.76
1949    41    1908      1017.10
1949    42    1907       745.24
1949    43    1906       675.05
1949    44    1905       476.43
1949    45    1904       388.22
1949    46    1903       268.46
1949    47    1902       168.64
1949    48    1901        78.97
1949    49    1900        38.35
1949    50    1899        10.38
1949    51    1898         4.33
1949    52    1897         1.38
1949    53    1896         0.65
1949    54    1895         0.18
1949    55+   1894-        0.02
1950    12-   1938+        0.01
1950    13    1937         1.67
1950    14    1936        47.64
1950    15    1935       280.28
1950    16    1934       964.20
1950    17    1933      2218.09
1950    18    1932      4406.24
1950    19    1931      6359.96
1950    20    1930      9905.18
1950    21    1929     11647.33
1950    22    1928     14469.26
1950    23    1927     14365.91
1950    24    1926     16262.51
1950    25    1925     14514.19
1950    26    1924     13612.39
1950    27    1923     10961.74
1950    28    1922     10429.61
1950    29    1921      9100.71
1950    30    1920      8431.59
1950    31    1919      5813.76
1950    32    1918      3570.91
1950    33    1917      2234.84
1950    34    1916      2852.16
1950    35    1915      3865.93
1950    36    1914      3838.00
1950    37    1913      1978.20
1950    38    1912      2583.15
1950    39    1911      1811.95
1950    40    1910      1598.97
1950    41    1909      1098.33
1950    42    1908       891.81
1950    43    1907       692.05
1950    44    1906       631.28
1950    45    1905       438.43
1950    46    1904       341.65
1950    47    1903       196.97
1950    48    1902        94.07
1950    49    1901        37.15
1950    50    1900        16.16
1950    51    1899         4.20
1950    52    1898         1.73
1950    53    1897         0.57
1950    54    1896         0.23
1950    55+   1895-        0.02
1951    12-   1939+        0.01
1951    13    1938         1.54
1951    14    1937        41.35
1951    15    1936       269.67
1951    16    1935       847.04
1951    17    1934      2297.23
1951    18    1933      4082.48
1951    19    1932      6658.29
1951    20    1931      8345.65
1951    21    1930     11114.96
1951    22    1929     11260.29
1951    23    1928     12502.03
1951    24    1927     11720.65
1951    25    1926     12616.42
1951    26    1925     10631.78
1951    27    1924      9738.79
1951    28    1923      8020.88
1951    29    1922      7897.75
1951    30    1921      6666.69
1951    31    1920      5721.24
1951    32    1919      3902.70
1951    33    1918      2428.87
1951    34    1917      1535.98
1951    35    1916      1986.70
1951    36    1915      2661.94
1951    37    1914      2519.52
1951    38    1913      1290.69
1951    39    1912      1629.34
1951    40    1911      1096.66
1951    41    1910       921.72
1951    42    1909       643.73
1951    43    1908       528.97
1951    44    1907       403.48
1951    45    1906       344.87
1951    46    1905       223.91
1951    47    1904       143.06
1951    48    1903        63.74
1951    49    1902        26.47
1951    50    1901         9.83
1951    51    1900         4.25
1951    52    1899         1.16
1951    53    1898         0.50
1951    54    1897         0.15
1951    55+   1896-        0.02
1952    12-   1940+        0.01
1952    13    1939         1.53
1952    14    1938        41.77
1952    15    1937       244.63
1952    16    1936       816.76
1952    17    1935      2007.84
1952    18    1934      4184.26
1952    19    1933      6226.90
1952    20    1932      9204.66
1952    21    1931     10450.21
1952    22    1930     12362.64
1952    23    1929     11789.14
1952    24    1928     12716.58
1952    25    1927     11572.81
1952    26    1926     11635.85
1952    27    1925      9557.18
1952    28    1924      8873.41
1952    29    1923      7476.95
1952    30    1922      7014.32
1952    31    1921      5524.28
1952    32    1920      4721.72
1952    33    1919      3249.07
1952    34    1918      2032.00
1952    35    1917      1338.74
1952    36    1916      1675.33
1952    37    1915      2110.40
1952    38    1914      1968.70
1952    39    1913      1011.90
1952    40    1912      1200.02
1952    41    1911       777.55
1952    42    1910       665.20
1952    43    1909       472.08
1952    44    1908       378.27
1952    45    1907       273.04
1952    46    1906       219.25
1952    47    1905       120.82
1952    48    1904        60.13
1952    49    1903        23.46
1952    50    1902         9.10
1952    51    1901         3.35
1952    52    1900         1.49
1952    53    1899         0.44
1952    54    1898         0.16
1952    55+   1897-        0.02
1953    12-   1941+        0.01
1953    13    1940         1.77
1953    14    1939        42.75
1953    15    1938       251.32
1953    16    1937       779.64
1953    17    1936      2097.79
1953    18    1935      3954.78
1953    19    1934      6804.13
1953    20    1933      9063.31
1953    21    1932     11618.59
1953    22    1931     11392.86
1953    23    1930     12411.00
1953    24    1929     11489.28
1953    25    1928     12019.08
1953    26    1927     10329.55
1953    27    1926     10017.34
1953    28    1925      8364.28
1953    29    1924      7882.47
1953    30    1923      6409.63
1953    31    1922      5686.73
1953    32    1921      4494.56
1953    33    1920      3912.24
1953    34    1919      2733.29
1953    35    1918      1773.57
1953    36    1917      1131.49
1953    37    1916      1313.76
1953    38    1915      1675.91
1953    39    1914      1579.89
1953    40    1913       798.17
1953    41    1912       925.71
1953    42    1911       631.89
1953    43    1910       541.17
1953    44    1909       376.37
1953    45    1908       284.94
1953    46    1907       197.70
1953    47    1906       134.98
1953    48    1905        58.37
1953    49    1904        25.09
1953    50    1903         9.08
1953    51    1902         3.43
1953    52    1901         1.29
1953    53    1900         0.58
1953    54    1899         0.15
1953    55+   1898-        0.02
1954    12-   1942+        0.01
1954    13    1941         1.72
1954    14    1940        46.83
1954    15    1939       249.25
1954    16    1938       803.83
1954    17    1937      2045.27
1954    18    1936      4190.10
1954    19    1935      6405.48
1954    20    1934      9610.02
1954    21    1933     10956.72
1954    22    1932     11960.94
1954    23    1931     10929.40
1954    24    1930     11628.78
1954    25    1929     10646.11
1954    26    1928     10508.62
1954    27    1927      8758.49
1954    28    1926      8586.92
1954    29    1925      7373.39
1954    30    1924      6800.25
1954    31    1923      5294.23
1954    32    1922      4709.81
1954    33    1921      3835.97
1954    34    1920      3431.66
1954    35    1919      2461.57
1954    36    1918      1518.74
1954    37    1917       915.95
1954    38    1916      1053.71
1954    39    1915      1325.98
1954    40    1914      1185.05
1954    41    1913       587.65
1954    42    1912       675.02
1954    43    1911       448.39
1954    44    1910       361.36
1954    45    1909       236.21
1954    46    1908       169.33
1954    47    1907       100.57
1954    48    1906        54.30
1954    49    1905        20.86
1954    50    1904         8.46
1954    51    1903         3.08
1954    52    1902         1.20
1954    53    1901         0.48
1954    54    1900         0.20
1954    55+   1899-        0.02
1955    12-   1943+        0.01
1955    13    1942         1.61
1955    14    1941        43.01
1955    15    1940       256.18
1955    16    1939       764.57
1955    17    1938      1994.43
1955    18    1937      3869.97
1955    19    1936      6536.25
1955    20    1935      8939.23
1955    21    1934     11912.37
1955    22    1933     12203.97
1955    23    1932     12678.70
1955    24    1931     11428.82
1955    25    1930     11706.10
1955    26    1929      9899.15
1955    27    1928      9243.16
1955    28    1927      7693.85
1955    29    1926      7542.29
1955    30    1925      6270.20
1955    31    1924      5426.67
1955    32    1923      4189.15
1955    33    1922      3848.37
1955    34    1921      3265.15
1955    35    1920      2916.96
1955    36    1919      1974.91
1955    37    1918      1175.79
1955    38    1917       709.71
1955    39    1916       793.40
1955    40    1915       982.73
1955    41    1914       867.84
1955    42    1913       432.49
1955    43    1912       485.34
1955    44    1911       318.64
1955    45    1910       251.84
1955    46    1909       164.73
1955    47    1908       103.41
1955    48    1907        49.72
1955    49    1906        23.53
1955    50    1905         8.48
1955    51    1904         3.34
1955    52    1903         1.23
1955    53    1902         0.50
1955    54    1901         0.18
1955    55+   1900-        0.02
1956    12-   1944+        0.01
1956    13    1943         1.58
1956    14    1942        43.93
1956    15    1941       257.95
1956    16    1940       834.06
1956    17    1939      1978.42
1956    18    1938      3910.41
1956    19    1937      6201.36
1956    20    1936      9155.13
1956    21    1935     10980.16
1956    22    1934     12981.93
1956    23    1933     12442.36
1956    24    1932     12452.28
1956    25    1931     10801.92
1956    26    1930     10155.61
1956    27    1929      8170.78
1956    28    1928      7638.95
1956    29    1927      6500.55
1956    30    1926      6274.60
1956    31    1925      5028.40
1956    32    1924      4382.51
1956    33    1923      3511.35
1956    34    1922      3310.52
1956    35    1921      2672.75
1956    36    1920      2217.43
1956    37    1919      1475.74
1956    38    1918       863.57
1956    39    1917       514.45
1956    40    1916       584.51
1956    41    1915       733.19
1956    42    1914       626.59
1956    43    1913       312.47
1956    44    1912       337.19
1956    45    1911       215.88
1956    46    1910       165.12
1956    47    1909        94.08
1956    48    1908        47.68
1956    49    1907        20.35
1956    50    1906         9.00
1956    51    1905         3.22
1956    52    1904         1.28
1956    53    1903         0.50
1956    54    1902         0.18
1956    55+   1901-        0.02
1957    12-   1945+        0.01
1957    13    1944         1.60
1957    14    1943        42.44
1957    15    1942       263.89
1957    16    1941       850.99
1957    17    1940      2204.54
1957    18    1939      3989.10
1957    19    1938      6435.67
1957    20    1937      8738.88
1957    21    1936     11094.40
1957    22    1935     11610.94
1957    23    1934     12671.33
1957    24    1933     11717.00
1957    25    1932     11332.26
1957    26    1931      9133.71
1957    27    1930      8201.56
1957    28    1929      6629.48
1957    29    1928      6298.05
1957    30    1927      5256.35
1957    31    1926      4801.54
1957    32    1925      3814.04
1957    33    1924      3408.52
1957    34    1923      2774.70
1957    35    1922      2480.67
1957    36    1921      1901.35
1957    37    1920      1575.46
1957    38    1919      1012.07
1957    39    1918       567.03
1957    40    1917       345.40
1957    41    1916       383.47
1957    42    1915       447.77
1957    43    1914       380.27
1957    44    1913       188.99
1957    45    1912       200.04
1957    46    1911       125.48
1957    47    1910        85.14
1957    48    1909        40.06
1957    49    1908        18.25
1957    50    1907         7.41
1957    51    1906         3.25
1957    52    1905         1.20
1957    53    1904         0.50
1957    54    1903         0.17
1957    55+   1902-        0.02
1958    12-   1946+        0.02
1958    13    1945         1.72
1958    14    1944        43.97
1958    15    1943       257.52
1958    16    1942       857.11
1958    17    1941      2195.15
1958    18    1940      4332.14
1958    19    1939      6356.23
1958    20    1938      8721.35
1958    21    1937     10188.73
1958    22    1936     11460.45
1958    23    1935     11158.08
1958    24    1934     12016.07
1958    25    1933     10856.52
1958    26    1932      9858.03
1958    27    1931      7648.23
1958    28    1930      7009.88
1958    29    1929      5799.49
1958    30    1928      5529.17
1958    31    1927      4450.64
1958    32    1926      4052.43
1958    33    1925      3254.13
1958    34    1924      2891.65
1958    35    1923      2187.83
