Bulgaria, Live births by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 01/12/2022
Year  ARDY   Cohort       Total          B1          B2          B3          B4         B5p
1947    12-   1935+        0.01        0.01        0.00        0.00        0.00        0.00
1947    13    1934         1.66        1.62        0.06        0.00        0.00        0.00
1947    14    1933        37.93       37.35        0.58        0.00        0.00        0.00
1947    15    1932       242.56      238.05        4.51        0.00        0.00        0.00
1947    16    1931       699.11      677.05       22.06        0.00        0.00        0.00
1947    17    1930      1976.35     1866.55      109.62        0.15        0.04        0.00
1947    18    1929      3533.82     3192.89      332.40        7.18        1.34        0.00
1947    19    1928      6313.22     5304.95      876.00      113.89       18.38        0.00
1947    20    1927      8553.68     6662.00     1520.66      318.78       52.24        0.00
1947    21    1926     12595.37     8979.75     2890.39      615.46      109.76        0.00
1947    22    1925     13464.55     8321.72     3990.14      965.81      186.65        0.22
1947    23    1924     15095.07     7895.76     5423.79     1449.38      310.36       15.78
1947    24    1923     14244.41     6052.42     5782.49     1780.90      431.44      197.16
1947    25    1922     14660.60     4816.53     6249.46     2409.94      702.70      481.99
1947    26    1921     12329.45     3150.11     5263.84     2527.52      903.64      484.34
1947    27    1920     11000.99     2267.41     4494.39     2558.12     1100.76      580.33
1947    28    1919      7807.78     1325.21     2971.43     1979.71     1002.02      529.40
1947    29    1918      5128.22      710.65     1754.35     1365.40      794.99      502.84
1947    30    1917      3411.09      408.03     1051.84      906.18      569.78      475.28
1947    31    1916      4506.69      479.32     1246.88     1154.05      776.85      849.59
1947    32    1915      5765.70      519.38     1374.31     1391.00     1030.26     1450.76
1947    33    1914      5848.49      455.23     1219.27     1323.61     1047.77     1802.60
1947    34    1913      3134.65      218.07      588.11      674.58      558.74     1095.15
1947    35    1912      4504.96      284.34      765.23      922.88      798.60     1733.91
1947    36    1911      3222.17      187.01      494.35      622.74      562.56     1355.53
1947    37    1910      3044.37      166.80      423.32      551.68      514.40     1388.18
1947    38    1909      2184.21      111.94      268.28      363.19      349.49     1091.31
1947    39    1908      1808.90       85.49      190.85      268.56      267.22      996.78
1947    40    1907      1298.87       56.92      118.03      171.45      174.93      777.54
1947    41    1906      1093.33       46.06       89.29      131.85      136.52      689.63
1947    42    1905       719.61       29.44       52.32       77.68       84.62      475.56
1947    43    1904       602.00       23.52       37.01       54.87       66.64      419.96
1947    44    1903       442.90       16.50       22.41       32.91       46.09      324.97
1947    45    1902       345.07       12.10       14.16       20.47       33.26      265.08
1947    46    1901       248.15        8.59        8.78       12.32       22.32      196.14
1947    47    1900       186.19        7.61        7.06        9.27       16.92      145.33
1947    48    1899        63.74        3.53        3.09        3.70        6.26       47.16
1947    49    1898        30.15        2.40        2.02        2.18        3.26       20.27
1947    50    1897         9.68        1.13        0.93        0.89        1.14        5.59
1947    51    1896         4.35        0.70        0.58        0.50        0.54        2.05
1947    52    1895         1.26        0.26        0.21        0.17        0.15        0.46
1947    53    1894         0.50        0.13        0.11        0.08        0.06        0.15
1947    54    1893         0.14        0.03        0.03        0.02        0.01        0.03
1947    55+   1892-        0.02        0.01        0.00        0.00        0.00        0.00
1948    12-   1936+        0.01        0.01        0.00        0.00        0.00        0.00
1948    13    1935         1.53        1.49        0.04        0.00        0.00        0.00
1948    14    1934        42.45       41.86        0.59        0.00        0.00        0.00
1948    15    1933       241.89      237.87        4.03        0.00        0.00        0.00
1948    16    1932       830.96      807.30       23.64        0.00        0.00        0.00
1948    17    1931      1861.80     1770.27       91.39        0.11        0.02        0.01
1948    18    1930      3972.66     3625.76      338.71        6.96        1.08        0.15
1948    19    1929      5943.32     5078.70      762.84       88.82       11.77        1.19
1948    20    1928      9448.10     7472.16     1619.39      308.22       43.53        4.80
1948    21    1927     11467.30     8211.88     2631.29      524.69       86.79       12.65
1948    22    1926     15095.82     9212.63     4582.72     1058.71      202.92       38.85
1948    23    1925     14983.04     7513.57     5592.50     1465.06      329.29       82.62
1948    24    1924     15934.46     6503.30     6671.35     2062.03      534.39      163.39
1948    25    1923     14008.74     4536.62     6110.42     2380.92      721.25      259.54
1948    26    1922     13346.13     3431.23     5716.13     2776.26      998.01      424.50
1948    27    1921     10930.92     2300.15     4433.35     2560.98     1086.08      550.35
1948    28    1920      9800.99     1686.22     3639.35     2479.24     1235.02      761.16
1948    29    1919      7100.37      999.10     2356.08     1862.23     1069.72      813.23
1948    30    1918      4742.90      563.78     1412.01     1243.57      795.33      728.19
1948    31    1917      2977.84      308.21      794.26      753.79      529.71      591.87
1948    32    1916      3709.75      328.63      859.23      880.10      681.54      960.24
1948    33    1915      4938.44      384.57     1005.38     1096.49      906.41     1545.60
1948    34    1914      5191.26      366.77      946.15     1088.44      938.40     1851.51
1948    35    1913      2808.73      179.83      459.08      553.97      494.91     1120.94
1948    36    1912      3922.86      229.04      579.42      723.34      666.65     1724.41
1948    37    1911      2804.63      154.15      375.98      481.58      460.11     1332.81
1948    38    1910      2571.31      133.37      303.85      401.62      406.57     1325.93
1948    39    1909      1809.19       87.98      184.81      251.85      273.71     1010.84
1948    40    1908      1425.84       66.51      126.55      177.26      205.84      849.69
1948    41    1907       998.48       46.15       80.42      114.06      138.77      619.07
1948    42    1906       867.66       37.07       64.38       89.27      114.34      562.61
1948    43    1905       596.42       20.88       39.52       51.65       71.26      413.12
1948    44    1904       495.18       13.38       29.07       34.96       52.15      365.62
1948    45    1903       349.85        7.03       17.65       19.41       31.34      274.42
1948    46    1902       259.68        4.34       11.80       11.92       20.23      211.40
1948    47    1901       157.12        2.90        7.77        7.24       11.99      127.25
1948    48    1900        89.58        2.30        5.69        4.88        7.41       69.32
1948    49    1899        26.38        1.05        2.31        1.84        2.47       18.73
1948    50    1898        11.44        0.73        1.40        1.02        1.20        7.10
1948    51    1897         3.59        0.35        0.59        0.40        0.41        1.83
1948    52    1896         1.64        0.23        0.33        0.22        0.19        0.67
1948    53    1895         0.50        0.10        0.11        0.08        0.06        0.16
