Bulgaria, Crude birth rate
Last modified: 01/12/2022
Year      CBR
1947    24.12
1948    24.71
1949    24.77
1950    25.17
1951    20.87
1952    20.91
1953    20.64
1954    20.03
1955    20.02
1956    19.48
1957    18.42
1958    17.89
1959    17.55
1960    17.81
1961    17.36
1962    16.75
1963    16.36
1964    16.08
1965    15.33
1966    14.89
1967    14.99
1968    16.90
1969    16.95
1970    16.34
1971    15.85
1972    15.30
1973    16.20
1974    17.18
1975    16.58
1976    16.54
1977    16.09
1978    15.47
1979    15.33
1980    14.47
1981    13.99
1982    13.93
1983    13.77
1984    13.66
1985    13.28
1986    13.40
1987    13.00
1988    13.07
1989    12.57
1990    11.93
1991    11.03
1992    10.42
1993     9.97
1994     9.44
1995     8.61
1996     8.71
1997     7.80
1998     8.03
1999     8.96
2000     9.21
2001     8.60
2002     8.46
2003     8.63
2004     9.02
2005     9.24
2006     9.68
2007     9.93
2008    10.31
2009    10.81
2010    10.15
2011     9.60
2012     9.45
2013     9.17
2014     9.36
2015     9.19
2016     9.12
2017     9.04
2018     8.85
2019     8.82
2020     8.52
2021     8.53
