Bulgaria, Cohort fertility tables, birth orders 1 to 5+
Last modified: 01/12/2022
Cohort   x   b1x     l0x       m1x       q1x   Sb1x   b2x    l1x       m2x       q2x   Sb2x    b3x    l2x       m3x       q3x   Sb3x    b4x    l3x       m4x       q4x   Sb4x   b5px    l4x      m5px      q5px   Sb5px     chix
1963    12-    .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1963    13     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1963    14     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1963    15   127   10000   0.01276   0.01268      0     0      0         .         .      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1963    16   316    9873   0.03249   0.03198    127    21    127   0.07762   0.16777      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1963    17   530    9558   0.05703   0.05545    442    67    421   0.10193   0.15800     21      5     21   0.08740   0.21476      0      0      0         .         .      0      0      0         .         .       0        .
1963    18   902    9028   0.10519   0.09993    972   187    885   0.15054   0.21139     88     16     83   0.09312   0.18890      5      1      5   0.04535   0.12068      0      0      0         .         .       0        .
1963    19  1277    8125   0.17052   0.15712   1875   393   1600   0.19239   0.24554    275     81    255   0.19694   0.31764     20      6     20   0.11068   0.31961      1      0      1   0.13083   0.87968       0     4.00
1963    20  1344    6849   0.21756   0.19622   3151   578   2484   0.20166   0.23275    668     94    566   0.11623   0.16590    101     14     94   0.10071   0.14367      7      1      7   0.09647   0.19170       0     4.07
1963    21  1161    5505   0.23567   0.21083   4495   690   3249   0.19801   0.21235   1246    118   1051   0.08806   0.11205    195     23    175   0.10363   0.13171     20      3     20   0.10826   0.16929       2     4.09
1963    22   907    4344   0.23302   0.20870   5656   769   3720   0.20310   0.20684   1936    138   1623   0.07111   0.08495    313     30    269   0.09373   0.11245     43      8     43   0.14386   0.19405       5     4.12
1963    23   684    3438   0.22098   0.19899   6562   819   3857   0.21618   0.21239   2705    139   2254   0.05360   0.06169    451     36    377   0.08374   0.09520     74     13     74   0.13782   0.17137      14     4.19
1963    24   498    2754   0.19875   0.18079   7246   777   3722   0.21690   0.20877   3524    137   2935   0.04198   0.04656    590     38    480   0.07082   0.07813    110     18    110   0.13855   0.16227      26     4.24
1963    25   370    2256   0.17844   0.16383   7744   669   3443   0.20299   0.19417   4301    132   3575   0.03423   0.03680    726     38    579   0.06080   0.06571    147     22    147   0.13147   0.14848      44     4.30
1963    26   277    1886   0.15839   0.14677   8114   527   3144   0.17446   0.16753   4970    111   4112   0.02577   0.02707    858     39    673   0.05464   0.05758    185     24    185   0.11869   0.13111      66     4.36
1963    27   208    1609   0.13806   0.12914   8391   392   2894   0.13983   0.13539   5497     90   4527   0.01924   0.01988    969     32    745   0.04191   0.04353    224     27    224   0.11290   0.12108      90     4.40
1963    28   149    1402   0.11246   0.10647   8598   272   2710   0.10272   0.10039   5888     68   4829   0.01380   0.01409   1059     28    803   0.03425   0.03510    256     25    256   0.09218   0.09725     117     4.46
1963    29   115    1252   0.09658   0.09213   8748   209   2587   0.08215   0.08066   6160     48   5033   0.00947   0.00962   1127     21    843   0.02441   0.02481    285     27    285   0.09131   0.09466     142     4.50
1963    30    91    1137   0.08374   0.08038   8863   169   2494   0.06884   0.06777   6369     45   5193   0.00852   0.00862   1176     20    870   0.02235   0.02267    305     29    305   0.09281   0.09581     169     4.55
1963    31    73    1046   0.07267   0.07012   8954   128   2416   0.05351   0.05290   6538     34   5318   0.00638   0.00644   1221     15    895   0.01652   0.01670    325     24    325   0.07212   0.07378     198     4.61
1963    32    58     972   0.06166   0.05981   9028   103   2362   0.04420   0.04377   6666     30   5411   0.00560   0.00564   1255     13    915   0.01379   0.01392    340     20    340   0.05821   0.05930     222     4.65
1963    33    45     914   0.05046   0.04922   9086    75   2317   0.03273   0.03251   6769     24   5484   0.00436   0.00438   1285     10    932   0.01021   0.01029    353     19    353   0.05306   0.05378     243     4.69
1963    34    37     869   0.04379   0.04285   9131    63   2286   0.02765   0.02750   6845     20   5535   0.00352   0.00353   1309      9    947   0.00921   0.00926    362     13    362   0.03628   0.03672     262     4.72
1963    35    34     832   0.04188   0.04102   9168    46   2261   0.02062   0.02056   6908     19   5579   0.00332   0.00333   1329      7    958   0.00689   0.00693    371     15    371   0.03969   0.04004     275     4.74
1963    36    35     798   0.04516   0.04417   9202    40   2248   0.01798   0.01796   6954     18   5607   0.00315   0.00316   1347      8    969   0.00836   0.00840    378     13    378   0.03477   0.03515     290     4.77
1963    37    33     763   0.04373   0.04280   9237    31   2243   0.01398   0.01398   6994     17   5629   0.00296   0.00296   1365      8    979   0.00823   0.00826    386     14    386   0.03692   0.03730     303     4.79
1963    38    21     730   0.02891   0.02850   9270    20   2244   0.00902   0.00902   7026     12   5644   0.00205   0.00205   1382      7    988   0.00686   0.00687    394     11    394   0.02766   0.02789     317     4.81
1963    39    15     709   0.02190   0.02166   9291    16   2245   0.00699   0.00699   7046      9   5653   0.00162   0.00163   1393      4    992   0.00425   0.00426    401      9    401   0.02191   0.02203     328     4.82
1963    40    13     694   0.01819   0.01802   9306    11   2245   0.00471   0.00471   7062      7   5659   0.00127   0.00127   1402      4    997   0.00395   0.00396    405      8    405   0.01910   0.01919     337     4.83
1963    41     8     681   0.01224   0.01217   9319     8   2246   0.00360   0.00360   7072      5   5663   0.00088   0.00088   1410      2   1001   0.00235   0.00236    409      6    409   0.01470   0.01474     345     4.84
1963    42     6     673   0.00902   0.00898   9327     5   2247   0.00225   0.00225   7080      3   5666   0.00048   0.00048   1415      2   1003   0.00153   0.00153    411      4    411   0.00877   0.00879     351     4.85
1963    43     5     667   0.00694   0.00692   9333     2   2248   0.00085   0.00085   7085      2   5668   0.00036   0.00036   1417      1   1004   0.00053   0.00053    413      1    413   0.00216   0.00216     355     4.86
1963    44     3     662   0.00526   0.00525   9338     2   2250   0.00083   0.00083   7087      1   5668   0.00022   0.00022   1419      1   1006   0.00072   0.00072    414      1    414   0.00258   0.00258     356     4.86
1963    45     1     659   0.00203   0.00202   9341     2   2252   0.00073   0.00073   7089      1   5669   0.00012   0.00012   1421      0   1006   0.00039   0.00039    414      1    414   0.00190   0.00190     357     4.86
1963    46     2     657   0.00277   0.00276   9343     0   2252   0.00021   0.00021   7091      0   5670   0.00003   0.00003   1421      0   1007   0.00000   0.00000    415      0    415   0.00023   0.00023     357     4.86
1963    47     1     656   0.00108   0.00108   9344     0   2253   0.00000   0.00000   7091      0   5670   0.00002   0.00002   1421      0   1007   0.00009   0.00009    415      0    415   0.00024   0.00024     358     4.86
1963    48     1     655   0.00160   0.00160   9345     0   2254   0.00014   0.00014   7091      0   5670   0.00002   0.00002   1422      0   1007   0.00000   0.00000    415      0    415   0.00000   0.00000     358     4.86
1963    49     0     654   0.00073   0.00073   9346     0   2254   0.00010   0.00010   7092      0   5670   0.00004   0.00004   1422      0   1007   0.00000   0.00000    415      0    415   0.00000   0.00000     358     4.86
1963    50     0     653   0.00072   0.00072   9347     0   2255   0.00012   0.00012   7092      0   5670   0.00002   0.00002   1422      0   1007   0.00000   0.00000    415      0    415   0.00000   0.00000     358     4.86
1963    51     1     653   0.00096   0.00096   9347     0   2255   0.00011   0.00011   7092      0   5670   0.00002   0.00002   1422      0   1007   0.00000   0.00000    415      0    415   0.00000   0.00000     358     4.86
1963    52     1     652   0.00077   0.00077   9348     0   2255   0.00009   0.00009   7092      0   5670   0.00000   0.00000   1422      0   1007   0.00000   0.00000    415      0    415   0.00000   0.00000     358     4.86
1963    53     0     652   0.00018   0.00018   9348     0   2256   0.00000   0.00000   7093      0   5671   0.00000   0.00000   1422      0   1007   0.00000   0.00000    415      0    415   0.00000   0.00000     358     4.86
1963    54     0     652   0.00000   0.00000   9348     0   2256   0.00000   0.00000   7093      0   5671   0.00000   0.00000   1422      0   1007   0.00000   0.00000    415      0    415   0.00000   0.00000     358     4.86
1963    55+    0     652   0.00000   0.00000   9348     0   2256   0.00009   0.00009   7093      0   5671   0.00000   0.00000   1422      0   1007   0.00000   0.00000    415      0    415   0.00000   0.00000     358     4.86
1964    12-    .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1964    13     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1964    14    38   10000   0.00381   0.00381      0     0      0         .         .      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1964    15   133    9962   0.01345   0.01336     38     5     38   0.05088   0.13638      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1964    16   310    9829   0.03203   0.03153    171    23    166   0.07557   0.14080      5      2      5   0.09984   0.30915      0      0      0         .         .      0      0      0         .         .       0        .
1964    17   557    9519   0.06027   0.05851    481    63    452   0.09002   0.13916     29      4     27   0.06325   0.13292      2      0      2   0.00250   0.00529      0      0      0         .         .       0        .
1964    18   922    8962   0.10849   0.10291   1038   196    946   0.14929   0.20661     92      8     86   0.04680   0.09751      5      1      5   0.06971   0.12211      0      0      0         .         .       0     4.00
1964    19  1284    8040   0.17356   0.15970   1960   409   1673   0.19367   0.24432    287     63    273   0.14110   0.23032     14      7     13   0.18259   0.57371      1      0      1   0.09831   0.66881       0     4.01
1964    20  1343    6756   0.22079   0.19884   3244   579   2548   0.19766   0.22729    696     92    619   0.10631   0.14815     77     14     69   0.12715   0.19960      8      1      8   0.09958   0.18386       0     4.05
1964    21  1167    5412   0.24157   0.21554   4588   700   3312   0.19727   0.21118   1275    125   1107   0.08951   0.11275    168     22    147   0.11032   0.14905     22      3     22   0.10250   0.15397       2     4.09
1964    22   912    4246   0.24076   0.21489   5754   803   3780   0.20936   0.21239   1975    140   1681   0.06959   0.08330    293     30    250   0.09871   0.12047     44      8     44   0.13590   0.18275       5     4.12
1964    23   668    3333   0.22286   0.20052   6667   835   3889   0.21950   0.21479   2777    140   2344   0.05209   0.05981    433     38    360   0.09142   0.10447     74     11     74   0.12262   0.15388      13     4.18
1964    24   490    2665   0.20269   0.18404   7335   760   3722   0.21188   0.20421   3613    134   3039   0.03990   0.04402    573     40    462   0.07789   0.08582    111     19    111   0.14164   0.16689      25     4.22
1964    25   374    2175   0.18815   0.17197   7825   606   3453   0.18161   0.17551   4373    121   3666   0.03092   0.03296    707     36    556   0.05981   0.06438    151     22    151   0.12935   0.14471      43     4.29
1964    26   275    1801   0.16504   0.15246   8199   465   3221   0.14877   0.14437   4979     99   4151   0.02290   0.02391    828     33    641   0.04920   0.05174    187     24    187   0.11725   0.12767      65     4.35
1964    27   196    1526   0.13732   0.12850   8474   332   3030   0.11221   0.10969   5444     75   4516   0.01618   0.01664    927     30    707   0.04064   0.04195    220     24    220   0.10313   0.11009      89     4.40
1964    28   148    1330   0.11808   0.11150   8670   259   2894   0.09139   0.08964   5776     62   4774   0.01272   0.01298   1002     28    753   0.03643   0.03725    250     27    250   0.10281   0.10859     113     4.45
1964    29   119    1182   0.10593   0.10060   8818   208   2783   0.07594   0.07472   6035     47   4971   0.00932   0.00947   1064     24    787   0.02966   0.03010    278     31    278   0.10722   0.11180     140     4.50
1964    30    90    1063   0.08887   0.08509   8937   174   2694   0.06558   0.06457   6243     39   5132   0.00752   0.00762   1111     18    810   0.02143   0.02172    301     30    301   0.09825   0.10112     171     4.57
