Bulgaria, Cumulative period fertility rates (Lexis squares)
Last modified: 01/12/2022
Year    Age     CPFR
1947    12     0.000
1947    13     0.000
1947    14     0.000
1947    15     0.002
1947    16     0.007
1947    17     0.025
1947    18     0.064
1947    19     0.134
1947    20     0.241
1947    21     0.389
1947    22     0.568
1947    23     0.767
1947    24     0.974
1947    25     1.184
1947    26     1.379
1947    27     1.554
1947    28     1.710
1947    29     1.854
1947    30     1.990
1947    31     2.119
1947    32     2.230
1947    33     2.327
1947    34     2.414
1947    35     2.493
1947    36     2.562
1947    37     2.620
1947    38     2.668
1947    39     2.707
1947    40     2.737
1947    41     2.760
1947    42     2.777
1947    43     2.791
1947    44     2.802
1947    45     2.812
1947    46     2.819
1947    47     2.824
1947    48     2.827
1947    49     2.828
1947    50     2.828
1947    51     2.828
1947    52     2.828
1947    53     2.829
1947    54     2.829
1947    55     2.829
1948    12     0.000
1948    13     0.000
1948    14     0.000
1948    15     0.002
1948    16     0.008
1948    17     0.026
1948    18     0.067
1948    19     0.139
1948    20     0.251
1948    21     0.405
1948    22     0.593
1948    23     0.802
1948    24     1.018
1948    25     1.233
1948    26     1.431
1948    27     1.607
1948    28     1.763
1948    29     1.905
1948    30     2.038
1948    31     2.164
1948    32     2.271
1948    33     2.365
1948    34     2.450
1948    35     2.530
1948    36     2.599
1948    37     2.660
1948    38     2.710
1948    39     2.750
1948    40     2.782
1948    41     2.806
1948    42     2.824
1948    43     2.838
1948    44     2.849
1948    45     2.859
1948    46     2.866
1948    47     2.871
1948    48     2.874
1948    49     2.875
1948    50     2.875
1948    51     2.875
1948    52     2.875
1948    53     2.875
1948    54     2.875
1948    55     2.875
1949    12     0.000
1949    13     0.000
1949    14     0.000
1949    15     0.002
1949    16     0.009
1949    17     0.029
1949    18     0.074
1949    19     0.151
1949    20     0.269
1949    21     0.427
1949    22     0.617
1949    23     0.823
1949    24     1.036
1949    25     1.249
1949    26     1.449
1949    27     1.627
1949    28     1.785
1949    29     1.928
1949    30     2.061
1949    31     2.183
1949    32     2.286
1949    33     2.376
1949    34     2.458
1949    35     2.533
1949    36     2.600
1949    37     2.659
1949    38     2.707
1949    39     2.746
1949    40     2.777
1949    41     2.800
1949    42     2.817
1949    43     2.831
1949    44     2.842
1949    45     2.851
1949    46     2.858
1949    47     2.864
1949    48     2.867
1949    49     2.868
1949    50     2.868
1949    51     2.869
1949    52     2.869
1949    53     2.869
1949    54     2.869
1949    55     2.869
1950    12     0.000
1950    13     0.000
1950    14     0.000
1950    15     0.002
1950    16     0.010
1950    17     0.031
1950    18     0.077
1950    19     0.157
1950    20     0.277
1950    21     0.440
1950    22     0.637
1950    23     0.851
1950    24     1.071
1950    25     1.288
1950    26     1.488
1950    27     1.664
1950    28     1.819
1950    29     1.962
1950    30     2.099
1950    31     2.221
1950    32     2.327
1950    33     2.420
1950    34     2.503
1950    35     2.578
1950    36     2.645
1950    37     2.703
1950    38     2.750
1950    39     2.790
1950    40     2.823
1950    41     2.848
1950    42     2.867
1950    43     2.883
1950    44     2.896
1950    45     2.907
1950    46     2.915
1950    47     2.921
1950    48     2.924
1950    49     2.926
1950    50     2.926
1950    51     2.927
1950    52     2.927
1950    53     2.927
1950    54     2.927
1950    55     2.927
1951    12     0.000
1951    13     0.000
1951    14     0.000
1951    15     0.002
1951    16     0.009
1951    17     0.031
1951    18     0.076
1951    19     0.153
1951    20     0.266
1951    21     0.415
1951    22     0.585
1951    23     0.765
1951    24     0.944
1951    25     1.122
1951    26     1.286
1951    27     1.430
1951    28     1.558
1951    29     1.674
1951    30     1.785
1951    31     1.880
1951    32     1.963
1951    33     2.035
1951    34     2.099
1951    35     2.156
1951    36     2.210
1951    37     2.255
1951    38     2.292
1951    39     2.323
1951    40     2.348
1951    41     2.367
1951    42     2.382
1951    43     2.393
1951    44     2.403
1951    45     2.410
1951    46     2.416
1951    47     2.420
1951    48     2.422
1951    49     2.423
1951    50     2.423
1951    51     2.424
1951    52     2.424
1951    53     2.424
1951    54     2.424
1951    55     2.424
1952    12     0.000
1952    13     0.000
1952    14     0.000
1952    15     0.002
1952    16     0.009
1952    17     0.030
1952    18     0.074
1952    19     0.150
1952    20     0.262
1952    21     0.414
1952    22     0.589
1952    23     0.773
1952    24     0.958
1952    25     1.141
1952    26     1.312
1952    27     1.461
1952    28     1.592
1952    29     1.710
1952    30     1.819
1952    31     1.913
1952    32     1.992
1952    33     2.061
1952    34     2.121
1952    35     2.176
1952    36     2.227
1952    37     2.270
1952    38     2.306
1952    39     2.335
1952    40     2.359
1952    41     2.377
1952    42     2.390
1952    43     2.401
1952    44     2.410
1952    45     2.416
1952    46     2.421
1952    47     2.425
1952    48     2.427
1952    49     2.427
1952    50     2.428
1952    51     2.428
1952    52     2.428
1952    53     2.428
1952    54     2.428
1952    55     2.428
1953    12     0.000
1953    13     0.000
1953    14     0.000
1953    15     0.002
1953    16     0.010
1953    17     0.031
1953    18     0.078
1953    19     0.158
1953    20     0.274
1953    21     0.430
1953    22     0.607
1953    23     0.790
1953    24     0.972
1953    25     1.152
1953    26     1.322
1953    27     1.470
1953    28     1.600
1953    29     1.716
1953    30     1.822
1953    31     1.912
1953    32     1.989
1953    33     2.054
1953    34     2.112
1953    35     2.164
1953    36     2.212
1953    37     2.253
1953    38     2.287
1953    39     2.316
1953    40     2.340
1953    41     2.358
1953    42     2.372
1953    43     2.384
1953    44     2.393
1953    45     2.399
1953    46     2.404
1953    47     2.408
1953    48     2.409
1953    49     2.410
1953    50     2.411
1953    51     2.411
1953    52     2.411
1953    53     2.411
1953    54     2.411
1953    55     2.411
1954    12     0.000
1954    13     0.000
1954    14     0.000
1954    15     0.002
1954    16     0.010
1954    17     0.033
1954    18     0.083
1954    19     0.168
1954    20     0.288
1954    21     0.444
1954    22     0.616
1954    23     0.791
1954    24     0.963
1954    25     1.136
1954    26     1.300
1954    27     1.444
1954    28     1.572
1954    29     1.685
1954    30     1.788
1954    31     1.877
1954    32     1.952
1954    33     2.017
1954    34     2.074
1954    35     2.125
1954    36     2.172
1954    37     2.212
