Bulgaria, Cumulative period fertility rates by birth order (Lexis squares)
Last modified: 01/12/2022
Year    Age     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
1947    12     0.000     0.000     0.000     0.000     0.000     0.000
1947    13     0.000     0.000     0.000     0.000     0.000     0.000
1947    14     0.000     0.000     0.000     0.000     0.000     0.000
1947    15     0.002     0.002     0.000     0.000     0.000     0.000
1947    16     0.007     0.007     0.000     0.000     0.000     0.000
1947    17     0.025     0.024     0.001     0.000     0.000     0.000
1947    18     0.064     0.060     0.004     0.000     0.000     0.000
1947    19     0.134     0.122     0.012     0.000     0.000     0.000
1947    20     0.241     0.208     0.029     0.004     0.001     0.000
1947    21     0.389     0.320     0.058     0.010     0.002     0.000
1947    22     0.568     0.440     0.105     0.020     0.004     0.000
1947    23     0.767     0.553     0.170     0.037     0.007     0.000
1947    24     0.974     0.652     0.250     0.059     0.012     0.001
1947    25     1.184     0.730     0.338     0.089     0.020     0.007
1947    26     1.379     0.786     0.422     0.126     0.032     0.013
1947    27     1.554     0.826     0.495     0.164     0.047     0.021
1947    28     1.710     0.855     0.558     0.202     0.064     0.030
1947    29     1.854     0.878     0.610     0.240     0.085     0.042
1947    30     1.990     0.895     0.654     0.276     0.107     0.058
1947    31     2.119     0.909     0.692     0.310     0.129     0.079
1947    32     2.230     0.920     0.720     0.338     0.149     0.104
1947    33     2.327     0.928     0.741     0.360     0.166     0.131
1947    34     2.414     0.935     0.759     0.380     0.182     0.160
1947    35     2.493     0.940     0.773     0.396     0.196     0.189
1947    36     2.562     0.944     0.784     0.410     0.208     0.217
1947    37     2.620     0.947     0.792     0.421     0.218     0.242
1947    38     2.668     0.950     0.798     0.429     0.226     0.265
1947    39     2.707     0.952     0.803     0.435     0.232     0.285
1947    40     2.737     0.953     0.806     0.440     0.236     0.303
1947    41     2.760     0.954     0.808     0.442     0.239     0.317
1947    42     2.777     0.955     0.809     0.444     0.241     0.328
1947    43     2.791     0.955     0.810     0.446     0.243     0.337
1947    44     2.802     0.956     0.811     0.447     0.244     0.346
1947    45     2.812     0.956     0.811     0.447     0.245     0.352
1947    46     2.819     0.956     0.811     0.448     0.245     0.358
1947    47     2.824     0.956     0.812     0.448     0.246     0.362
1947    48     2.827     0.957     0.812     0.448     0.246     0.364
1947    49     2.828     0.957     0.812     0.448     0.246     0.365
1947    50     2.828     0.957     0.812     0.448     0.246     0.365
1947    51     2.828     0.957     0.812     0.448     0.246     0.365
1947    52     2.828     0.957     0.812     0.448     0.246     0.365
1947    53     2.829     0.957     0.812     0.448     0.246     0.365
