Bulgaria, Cumulative period fertility rates (vertical parallelograms)
Last modified: 01/12/2022
Year  ARDY  Cohort     CPFR
1947   12    1935     0.000
1947   13    1934     0.000
1947   14    1933     0.000
1947   15    1932     0.001
1947   16    1931     0.004
1947   17    1930     0.015
1947   18    1929     0.042
1947   19    1928     0.096
1947   20    1927     0.184
1947   21    1926     0.312
1947   22    1925     0.476
1947   23    1924     0.667
1947   24    1923     0.870
1947   25    1922     1.080
1947   26    1921     1.283
1947   27    1920     1.468
1947   28    1919     1.633
1947   29    1918     1.782
1947   30    1917     1.921
1947   31    1916     2.054
1947   32    1915     2.175
1947   33    1914     2.279
1947   34    1913     2.371
1947   35    1912     2.454
1947   36    1911     2.528
1947   37    1910     2.591
1947   38    1909     2.644
1947   39    1908     2.688
1947   40    1907     2.722
1947   41    1906     2.749
1947   42    1905     2.769
1947   43    1904     2.784
1947   44    1903     2.797
1947   45    1902     2.807
1947   46    1901     2.815
1947   47    1900     2.821
1947   48    1899     2.825
1947   49    1898     2.827
1947   50    1897     2.828
1947   51    1896     2.828
1947   52    1895     2.828
1947   53    1894     2.828
1947   54    1893     2.828
1947   55    1892     2.828
1948   12    1936     0.000
1948   13    1935     0.000
1948   14    1934     0.000
1948   15    1933     0.001
1948   16    1932     0.004
1948   17    1931     0.016
1948   18    1930     0.045
1948   19    1929     0.101
1948   20    1928     0.192
1948   21    1927     0.324
1948   22    1926     0.497
1948   23    1925     0.696
1948   24    1924     0.909
1948   25    1923     1.126
1948   26    1922     1.334
1948   27    1921     1.521
1948   28    1920     1.686
1948   29    1919     1.834
1948   30    1918     1.971
1948   31    1917     2.101
1948   32    1916     2.217
1948   33    1915     2.318
1948   34    1914     2.408
1948   35    1913     2.490
1948   36    1912     2.565
1948   37    1911     2.630
1948   38    1910     2.685
1948   39    1909     2.730
1948   40    1908     2.766
1948   41    1907     2.794
1948   42    1906     2.815
1948   43    1905     2.830
1948   44    1904     2.843
1948   45    1903     2.853
1948   46    1902     2.862
1948   47    1901     2.868
1948   48    1900     2.872
1948   49    1899     2.874
1948   50    1898     2.874
1948   51    1897     2.875
1948   52    1896     2.875
1948   53    1895     2.875
1948   54    1894     2.875
1948   55    1893     2.875
1949   12    1937     0.000
1949   13    1936     0.000
1949   14    1935     0.000
1949   15    1934     0.001
1949   16    1933     0.005
1949   17    1932     0.017
1949   18    1931     0.049
1949   19    1930     0.110
1949   20    1929     0.207
1949   21    1928     0.345
1949   22    1927     0.520
1949   23    1926     0.719
1949   24    1925     0.929
1949   25    1924     1.143
1949   26    1923     1.350
1949   27    1922     1.540
1949   28    1921     1.707
1949   29    1920     1.857
1949   30    1919     1.995
1949   31    1918     2.123
1949   32    1917     2.235
1949   33    1916     2.331
1949   34    1915     2.417
1949   35    1914     2.495
1949   36    1913     2.567
1949   37    1912     2.629
1949   38    1911     2.683
1949   39    1910     2.727
1949   40    1909     2.761
1949   41    1908     2.788
1949   42    1907     2.808
1949   43    1906     2.823
1949   44    1905     2.836
1949   45    1904     2.846
1949   46    1903     2.854
1949   47    1902     2.860
1949   48    1901     2.864
1949   49    1900     2.866
1949   50    1899     2.867
1949   51    1898     2.868
1949   52    1897     2.868
1949   53    1896     2.868
1949   54    1895     2.868
1949   55    1894     2.868
1950   12    1938     0.000
1950   13    1937     0.000
1950   14    1936     0.000
1950   15    1935     0.001
1950   16    1934     0.005
1950   17    1933     0.019
1950   18    1932     0.052
1950   19    1931     0.114
1950   20    1930     0.213
1950   21    1929     0.356
1950   22    1928     0.537
1950   23    1927     0.743
1950   24    1926     0.962
1950   25    1925     1.181
1950   26    1924     1.390
1950   27    1923     1.578
1950   28    1922     1.743
1950   29    1921     1.892
1950   30    1920     2.031
1950   31    1919     2.161
1950   32    1918     2.274
1950   33    1917     2.373
1950   34    1916     2.461
1950   35    1915     2.540
1950   36    1914     2.612
1950   37    1913     2.674
1950   38    1912     2.726
1950   39    1911     2.770
1950   40    1910     2.806
1950   41    1909     2.835
1950   42    1908     2.857
1950   43    1907     2.874
1950   44    1906     2.889
1950   45    1905     2.900
1950   46    1904     2.910
1950   47    1903     2.917
1950   48    1902     2.922
1950   49    1901     2.924
1950   50    1900     2.925
1950   51    1899     2.925
1950   52    1898     2.925
1950   53    1897     2.926
1950   54    1896     2.926
1950   55    1895     2.926
1951   12    1939     0.000
1951   13    1938     0.000
1951   14    1937     0.000
1951   15    1936     0.001
1951   16    1935     0.005
1951   17    1934     0.019
1951   18    1933     0.051
1951   19    1932     0.112
1951   20    1931     0.207
1951   21    1930     0.338
1951   22    1929     0.499
1951   23    1928     0.675
1951   24    1927     0.855
1951   25    1926     1.034
1951   26    1925     1.206
1951   27    1924     1.360
1951   28    1923     1.495
1951   29    1922     1.617
1951   30    1921     1.730
1951   31    1920     1.833
1951   32    1919     1.922
1951   33    1918     1.999
1951   34    1917     2.066
1951   35    1916     2.127
1951   36    1915     2.183
1951   37    1914     2.232
1951   38    1913     2.273
1951   39    1912     2.307
1951   40    1911     2.335
1951   41    1910     2.357
1951   42    1909     2.374
1951   43    1908     2.387
1951   44    1907     2.397
1951   45    1906     2.406
1951   46    1905     2.412
1951   47    1904     2.417
1951   48    1903     2.420
1951   49    1902     2.422
1951   50    1901     2.422
1951   51    1900     2.423
1951   52    1899     2.423
1951   53    1898     2.423
1951   54    1897     2.423
1951   55    1896     2.423
1952   12    1940     0.000
1952   13    1939     0.000
1952   14    1938     0.000
1952   15    1937     0.001
