Bulgaria, Cumulative period fertility rates by birth order (vertical parallelograms)
Last modified: 01/12/2022
Year  ARDY  Cohort     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
1947   12    1935     0.000     0.000     0.000     0.000     0.000     0.000
1947   13    1934     0.000     0.000     0.000     0.000     0.000     0.000
1947   14    1933     0.000     0.000     0.000     0.000     0.000     0.000
1947   15    1932     0.001     0.001     0.000     0.000     0.000     0.000
1947   16    1931     0.004     0.004     0.000     0.000     0.000     0.000
1947   17    1930     0.015     0.014     0.000     0.000     0.000     0.000
1947   18    1929     0.042     0.040     0.002     0.000     0.000     0.000
1947   19    1928     0.096     0.089     0.007     0.000     0.000     0.000
1947   20    1927     0.184     0.163     0.019     0.002     0.000     0.000
1947   21    1926     0.312     0.262     0.042     0.006     0.001     0.000
1947   22    1925     0.476     0.380     0.080     0.015     0.002     0.000
1947   23    1924     0.667     0.497     0.136     0.028     0.005     0.000
1947   24    1923     0.870     0.604     0.209     0.048     0.009     0.000
1947   25    1922     1.080     0.693     0.294     0.074     0.016     0.003
1947   26    1921     1.283     0.760     0.381     0.107     0.025     0.010
1947   27    1920     1.468     0.807     0.460     0.145     0.039     0.017
1947   28    1919     1.633     0.841     0.527     0.184     0.055     0.026
1947   29    1918     1.782     0.866     0.584     0.221     0.075     0.036
1947   30    1917     1.921     0.885     0.632     0.258     0.096     0.050
1947   31    1916     2.054     0.901     0.673     0.294     0.118     0.068
1947   32    1915     2.175     0.914     0.706     0.325     0.139     0.091
1947   33    1914     2.279     0.924     0.731     0.350     0.158     0.117
1947   34    1913     2.371     0.931     0.750     0.371     0.174     0.145
1947   35    1912     2.454     0.936     0.766     0.389     0.189     0.174
1947   36    1911     2.528     0.941     0.778     0.404     0.202     0.203
1947   37    1910     2.591     0.945     0.788     0.416     0.213     0.229
1947   38    1909     2.644     0.948     0.795     0.426     0.222     0.254
1947   39    1908     2.688     0.950     0.801     0.433     0.229     0.275
1947   40    1907     2.722     0.952     0.804     0.438     0.234     0.294
1947   41    1906     2.749     0.953     0.807     0.441     0.238     0.310
1947   42    1905     2.769     0.954     0.808     0.444     0.240     0.323
1947   43    1904     2.784     0.954     0.809     0.445     0.242     0.333
1947   44    1903     2.797     0.955     0.810     0.447     0.244     0.342
1947   45    1902     2.807     0.955     0.811     0.447     0.245     0.349
1947   46    1901     2.815     0.955     0.811     0.448     0.245     0.355
1947   47    1900     2.821     0.956     0.811     0.448     0.246     0.360
1947   48    1899     2.825     0.956     0.811     0.448     0.246     0.363
1947   49    1898     2.827     0.956     0.812     0.448     0.246     0.365
1947   50    1897     2.828     0.956     0.812     0.448     0.247     0.365
1947   51    1896     2.828     0.956     0.812     0.449     0.247     0.365
1947   52    1895     2.828     0.956     0.812     0.449     0.247     0.365
1947   53    1894     2.828     0.956     0.812     0.449     0.247     0.365
1947   54    1893     2.828     0.956     0.812     0.449     0.247     0.365
1947   55    1892     2.828     0.956     0.812     0.449     0.247     0.365
1948   12    1936     0.000     0.000     0.000     0.000     0.000     0.000
1948   13    1935     0.000     0.000     0.000     0.000     0.000     0.000
1948   14    1934     0.000     0.000     0.000     0.000     0.000     0.000
1948   15    1933     0.001     0.001     0.000     0.000     0.000     0.000
1948   16    1932     0.004     0.004     0.000     0.000     0.000     0.000
1948   17    1931     0.016     0.015     0.000     0.000     0.000     0.000
1948   18    1930     0.045     0.043     0.002     0.000     0.000     0.000
1948   19    1929     0.101     0.094     0.007     0.000     0.000     0.000
1948   20    1928     0.192     0.172     0.018     0.001     0.000     0.000
1948   21    1927     0.324     0.277     0.041     0.006     0.001     0.000
1948   22    1926     0.497     0.400     0.081     0.014     0.002     0.000
1948   23    1925     0.696     0.522     0.141     0.028     0.005     0.001
1948   24    1924     0.909     0.629     0.221     0.049     0.009     0.002
1948   25    1923     1.126     0.717     0.311     0.077     0.017     0.004
1948   26    1922     1.334     0.784     0.402     0.112     0.027     0.008
1948   27    1921     1.521     0.833     0.482     0.151     0.041     0.014
1948   28    1920     1.686     0.867     0.549     0.190     0.058     0.022
1948   29    1919     1.834     0.893     0.604     0.227     0.076     0.034
1948   30    1918     1.971     0.912     0.650     0.263     0.097     0.049
1948   31    1917     2.101     0.927     0.688     0.297     0.119     0.069
1948   32    1916     2.217     0.939     0.719     0.326     0.140     0.093
1948   33    1915     2.318     0.948     0.743     0.350     0.158     0.119
1948   34    1914     2.408     0.955     0.761     0.370     0.175     0.147
1948   35    1913     2.490     0.961     0.776     0.387     0.190     0.176
1948   36    1912     2.565     0.966     0.788     0.402     0.203     0.206
1948   37    1911     2.630     0.970     0.798     0.414     0.214     0.234
1948   38    1910     2.685     0.973     0.805     0.424     0.223     0.261
