Bulgaria, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 01/12/2022
Year    Age        Exposure
1947     12        69585.26
1947     13        70094.42
1947     14        70250.47
1947     15        68601.68
1947     16        67585.79
1947     17        69377.39
1947     18        68810.27
1947     19        69380.40
1947     20        71828.10
1947     21        71684.77
1947     22        74368.04
1947     23        71095.79
1947     24        70000.63
1947     25        69336.73
1947     26        64413.98
1947     27        61862.43
1947     28        44513.63
1947     29        31181.79
1947     30        31523.50
1947     31        46338.80
1947     32        59600.35
1947     33        50514.10
1947     34        49511.98
1947     35        55919.30
1947     36        53023.58
1947     37        55226.87
1947     38        51282.76
1947     39        50449.01
1947     40        52120.43
1947     41        50463.82
1947     42        48352.06
1947     43        45752.00
1947     44        42941.24
1947     45        41451.03
1947     46        43261.82
1947     47        41808.43
1947     48        35573.04
1947     49        34538.14
1947     50        35009.39
1947     51        34056.32
1947     52        30620.00
1947     53        27039.61
1947     54        25168.62
1947     55        28270.24
1948     12        61499.54
1948     13        69278.75
1948     14        69741.75
1948     15        69855.54
1948     16        68182.23
1948     17        67089.57
1948     18        68797.36
1948     19        68258.38
1948     20        68821.58
1948     21        71206.83
1948     22        71063.68
1948     23        73797.53
1948     24        70495.41
1948     25        69375.01
1948     26        68697.09
1948     27        63848.08
1948     28        61357.01
1948     29        44179.69
1948     30        30991.04
1948     31        31266.59
1948     32        45913.59
1948     33        59070.73
1948     34        50221.18
1948     35        49138.78
1948     36        55424.11
1948     37        52606.05
1948     38        54780.05
1948     39        50932.04
1948     40        50108.22
1948     41        51706.98
1948     42        50084.96
1948     43        48016.67
1948     44        45382.23
1948     45        42633.05
1948     46        41181.33
1948     47        42923.60
1948     48        41511.16
1948     49        35360.87
1948     50        34292.36
1948     51        34783.66
1948     52        33888.76
1948     53        30502.03
1948     54        26943.24
1948     55        24991.76
1949     12        61478.36
1949     13        61270.22
1949     14        68972.57
1949     15        69392.89
1949     16        69462.08
1949     17        67760.41
1949     18        66613.05
1949     19        68233.96
1949     20        67711.46
1949     21        68307.06
1949     22        70623.02
1949     23        70455.17
1949     24        73284.05
1949     25        69945.34
1949     26        68795.20
1949     27        68107.76
1949     28        63325.08
1949     29        60906.98
1949     30        43875.73
1949     31        30827.62
1949     32        31025.18
1949     33        45505.70
1949     34        58584.59
1949     35        49910.74
1949     36        48815.07
1949     37        54958.23
1949     38        52208.82
1949     39        54377.32
1949     40        50579.12
1949     41        49772.23
1949     42        51311.86
1949     43        49710.83
1949     44        47698.04
1949     45        45011.27
1949     46        42348.51
1949     47        40925.45
1949     48        42588.15
1949     49        41202.96
1949     50        35109.00
1949     51        34052.22
1949     52        34567.57
1949     53        33727.51
1949     54        30394.53
1949     55        26824.83
1950     12        58453.94
1950     13        61186.24
1950     14        61047.62
1950     15        68683.05
1950     16        69054.14
1950     17        69084.78
1950     18        67359.35
1950     19        66145.18
1950     20        67694.53
1950     21        67198.45
1950     22        67836.07
1950     23        70081.12
1950     24        69909.04
1950     25        72799.98
1950     26        69453.00
1950     27        68289.30
1950     28        67572.61
1950     29        62857.71
1950     30        60508.92
1950     31        43583.53
1950     32        30698.43
1950     33        30803.49
1950     34        45137.62
1950     35        58076.74
1950     36        49634.04
1950     37        48522.96
1950     38        54502.60
1950     39        51839.59
1950     40        53950.90
1950     41        50225.19
1950     42        49459.31
1950     43        50920.48
1950     44        49355.85
1950     45        47348.29
1950     46        44646.02
1950     47        42065.44
1950     48        40675.14
1950     49        42243.52
1950     50        40879.88
1950     51        34910.26
1950     52        33843.07
1950     53        34370.36
1950     54        33565.92
1950     55        30283.40
1951     12        57097.42
1951     13        58177.53
1951     14        60899.57
1951     15        60828.71
1951     16        68395.79
1951     17        68692.91
1951     18        68682.67
1951     19        66930.87
1951     20        65675.35
1951     21        67171.39
1951     22        66722.16
1951     23        67396.42
1951     24        69550.88
1951     25        69364.43
1951     26        72344.44
1951     27        68982.77
1951     28        67783.62
1951     29        67063.38
1951     30        62428.41
1951     31        60098.40
1951     32        43321.25
1951     33        30552.21
1951     34        30595.70
1951     35        44751.18
1951     36        57570.90
1951     37        49366.97
1951     38        48222.96
1951     39        54051.07
1951     40        51465.14
1951     41        53543.16
1951     42        49901.61
1951     43        49140.20
1951     44        50533.48
1951     45        48965.30
1951     46        47019.34
1951     47        44275.49
1951     48        41781.24
1951     49        40391.53
1951     50        41888.14
1951     51        40574.37
1951     52        34690.13
1951     53        33614.73
1951     54        34156.51
1951     55        33371.10
1952     12        57398.57
1952     13        56894.03
1952     14        57913.41
1952     15        60604.25
1952     16        60588.82
1952     17        68068.34
1952     18        68324.91
1952     19        68287.57
1952     20        66498.75
1952     21        65219.48
1952     22        66672.70
1952     23        66281.61
1952     24        66977.28
1952     25        69059.28
1952     26        68846.28
1952     27        71911.69
1952     28        68512.57
1952     29        67302.02
1952     30        66554.25
1952     31        61979.35
1952     32        59701.82
1952     33        43056.32
1952     34        30422.31
1952     35        30397.13
1952     36        44374.64
1952     37        57088.29
1952     38        49094.22
1952     39        47925.93
1952     40        53593.04
1952     41        51079.95
1952     42        53148.31
1952     43        49583.55
1952     44        48831.09
1952     45        50138.87
1952     46        48587.24
1952     47        46691.50
1952     48        43911.22
1952     49        41469.71
1952     50        40077.67
1952     51        41510.31
1952     52        40216.98
1952     53        34440.29
1952     54        33359.29
1952     55        33888.61
1953     12        58240.53
1953     13        57196.60
1953     14        56706.05
1953     15        57642.92
1953     16        60299.88
1953     17        60354.25
1953     18        67764.40
1953     19        67984.69
1953     20        67899.59
1953     21        66110.90
1953     22        64798.28
1953     23        66213.25
1953     24        65851.51
1953     25        66583.42
1953     26        68588.12
1953     27        68372.51
1953     28        71506.31
1953     29        68078.14
1953     30        66833.02
1953     31        66053.73
1953     32        61542.67
1953     33        59331.85
1953     34        42802.50
1953     35        30296.03
1953     36        30198.71
1953     37        44014.73
1953     38        56603.45
1953     39        48849.59
1953     40        47612.67
1953     41        53132.79
1953     42        50709.22
1953     43        52753.05
1953     44        49267.60
1953     45        48518.40
1953     46        49732.19
1953     47        48224.38
1953     48        46352.75
1953     49        43533.38
1953     50        41129.60
1953     51        39774.39
1953     52        41108.58
1953     53        39878.03
1953     54        34181.52
1953     55        33076.89
1954     12        56824.95
1954     13        57956.61
1954     14        57010.06
1954     15        56510.26
1954     16        57379.57
1954     17        60018.32
