Bulgaria, Female exposure to risk by calendar year, age and parity
Last modified: 01/12/2022
Year   Age            E0x            E1x            E2x            E3x           E4px
1977    12       59203.84           0.00           0.00           0.00           0.00
1977    13       59769.93           7.12           0.06           0.00           0.00
1977    14       61513.07         131.93           2.51           0.00           0.00
1977    15       62138.02         593.37          16.64           0.00           0.00
1977    16       60432.43        1792.13          87.27           0.05           0.00
1977    17       56630.48        4033.36         342.96           1.24           0.04
1977    18       53079.13        7626.65        1111.49          28.92           1.93
1977    19       46523.14       12314.80        2595.26         288.27          22.55
1977    20       39145.26       17727.84        4961.88         814.47          76.48
1977    21       32120.68       22950.77        8446.80        1436.53         176.42
1977    22       24471.78       25761.82       12534.79        2015.67         339.44
1977    23       18225.77       26234.27       16685.37        2673.19         568.46
1977    24       14479.42       25762.02       21304.27        3590.34         882.23
1977    25       11196.26       22595.28       24189.04        4345.64        1166.67
1977    26        9390.48       22173.66       29660.08        5582.62        1601.88
1977    27        7165.04       21416.58       34096.33        6472.87        2006.28
1977    28        5675.30       18775.52       34992.91        6754.33        2228.51
1977    29        5333.31       16059.68       35158.79        7056.30        2438.76
1977    30        4971.91       14390.54       35718.43        7542.05        2703.26
1977    31        4092.73       14125.98       37168.76        8285.07        3048.04
1977    32        3068.84       12135.96       33658.42        7821.41        2987.70
1977    33        2981.57       10678.21       31806.32        7658.11        3075.75
1977    34        2832.82       10494.46       31826.19        7916.20        3344.58
1977    35        2463.89       10232.73       30617.05        7771.71        3479.52
1977    36        2730.76       10292.07       31138.97        7934.64        3797.80
1977    37        3394.92        9778.15       30272.97        7622.89        3903.90
1977    38        4054.41        9329.95       29649.23        7300.04        3986.69
1977    39        4454.14        9394.29       30468.44        7349.92        4247.38
1977    40        4785.22        9862.77       31736.52        7572.72        4602.94
1977    41        4859.31       10209.32       31391.64        7487.97        4731.51
1977    42        5426.00       11648.97       34589.30        8324.59        5403.62
1977    43        5468.22       11497.71       33958.19        8322.07        5522.15
1977    44        5799.68       11356.85       33215.21        8403.40        5652.19
1977    45              .              .              .              .              .
1977    46              .              .              .              .              .
1977    47              .              .              .              .              .
1977    48              .              .              .              .              .
1977    49              .              .              .              .              .
1977    50              .              .              .              .              .
1977    51              .              .              .              .              .
1977    52              .              .              .              .              .
1977    53              .              .              .              .              .
1977    54              .              .              .              .              .
1977    55              .              .              .              .              .
1978    12       57201.16           0.00           0.00           0.00           0.00
1978    13       58841.50          12.90           0.06           0.00           0.00
1978    14       59312.44         114.99           1.75           0.00           0.00
1978    15       60631.95         592.66          15.49           0.00           0.00
1978    16       60596.62        1811.67          81.80           0.00           0.00
1978    17       57559.53        4065.86         336.33           0.33           0.03
1978    18       52031.56        7496.61        1089.15          24.59           1.24
1978    19       46018.38       12439.16        2643.24         278.15          22.80
1978    20       37646.95       17707.59        5048.62         793.77          80.78
1978    21       30062.52       22203.17        8340.90        1445.32         186.12
1978    22       24062.02       25459.27       12560.72        2167.43         357.99
1978    23       18184.40       26135.79       16968.66        2759.96         586.90
1978    24       13704.63       24925.27       21023.76        3430.04         859.96
1978    25       11232.33       23427.65       25354.30        4399.88        1204.75
1978    26        8947.29       20076.77       27503.95        5097.28        1478.43
1978    27        7609.17       19583.73       32613.61        6309.92        1925.37
1978    28        5786.65       18987.34       36566.54        7124.39        2322.11
1978    29        4684.88       16766.07       36851.49        7269.91        2511.89
