Bulgaria, Female exposure to risk by calendar year, age and parity (based on parity distribution from population census)
Last modified: 01/12/2022
Year   Age            E0x            E1x            E2x            E3x           E4px
2001    12       50188.45           0.00           0.00           0.00           0.00
2001    13       50549.63          55.16           1.88           0.00           0.00
2001    14       50865.61         236.04           9.63           0.00           0.00
2001    15       51631.36         710.30          44.70           0.66           0.00
2001    16       49378.15        1450.19         141.62           8.01           0.19
2001    17       49534.67        2615.31         374.57          25.34           1.89
2001    18       47325.30        4098.71         759.95          67.02           5.13
2001    19       45596.59        5994.56        1329.55         155.52          14.50
2001    20       43295.92        8335.35        2070.21         277.92          38.93
2001    21       40746.73       11100.18        2978.07         471.71          78.06
2001    22       37478.94       13519.74        3972.93         688.98         145.79
2001    23       34483.69       15980.25        5309.27         903.69         234.34
2001    24       30976.44       18514.29        6902.32        1132.64         339.83
2001    25       26991.05       20856.61        8596.78        1331.76         446.21
2001    26       23028.76       22693.35       10669.85        1495.12         555.93
2001    27       19535.76       23928.15       13206.37        1730.74         705.52
2001    28       14750.89       21915.50       14352.52        1851.62         766.68
2001    29       12086.50       21293.89       16379.12        2034.00         837.95
2001    30       10545.83       21515.90       19337.43        2343.75         943.36
2001    31        9178.47       20830.04       22013.47        2718.18        1078.18
2001    32        8279.77       20273.99       25244.97        3171.23        1265.24
2001    33        6468.52       16778.43       24242.67        3092.31        1239.94
2001    34        5463.53       14742.45       24229.68        3197.77        1273.49
2001    35        4924.55       13700.62       25590.61        3476.31        1360.74
2001    36        4589.25       13297.38       27675.76        3851.43        1486.16
2001    37        4341.99       12983.16       29083.19        4145.10        1541.03
2001    38        4126.95       12666.28       30250.63        4378.05        1610.52
2001    39        3944.86       12438.41       31634.27        4618.23        1711.47
2001    40        3770.20       12009.93       32446.08        4791.34        1763.95
2001    41        3471.26       11448.52       32303.22        4885.06        1791.55
2001    42        3339.51       11501.87       33165.67        5174.65        1896.74
2001    43        3213.24       11426.77       33314.86        5319.17        1985.59
2001    44        3155.08       11517.35       34102.18        5431.09        1984.68
2001    45        3149.91       11646.67       35472.90        5595.46        2037.69
2001    46        3056.19       11484.99       35429.37        5593.00        2078.28
2001    47        2936.34       11328.65       35019.48        5517.69        2005.96
2001    48        2928.37       11535.37       35822.56        5728.94        2069.27
2001    49        2783.52       11053.69       34642.06        5569.28        2021.10
2001    50        2925.23       11851.36       37579.07        5923.25        2164.04
2001    51        2912.31       12306.40       39685.02        6264.84        2274.59
2001    52        2757.86       11981.85       38377.62        6066.98        2155.52
2001    53        2690.64       11750.47       36858.32        5634.68        1994.76
2001    54        2683.11       11905.89       36588.97        5503.48        1962.37
2001    55        2676.27       12042.59       36416.27        5543.98        1983.18
2011    12       31257.22           0.00           0.00           0.00           0.00
2011    13       27601.17         103.17           3.43           0.26           0.00
2011    14       29814.05         325.45          51.85           3.85           0.04
2011    15       30378.80        1167.69         128.57           9.54           0.58
2011    16       30681.45        2245.48         247.37          15.55           1.74
2011    17       32495.85        3028.32         478.85          42.26           5.75
2011    18       33541.31        3756.79         805.26          89.29          12.72
2011    19       34267.95        4525.63        1203.40         169.37          27.20
2011    20       36218.28        5793.71        1734.71         308.20          61.37
2011    21       36714.36        7277.43        2284.80         449.99         113.22
2011    22       35847.10        8850.86        2832.62         614.14         170.41
2011    23       33512.11       10339.36        3350.63         744.17         239.04
2011    24       30885.12       11787.01        4090.34         846.38         333.00
2011    25       28369.38       13486.80        5206.38        1020.31         445.82
2011    26       24475.19       14625.03        6084.11        1106.76         487.40
2011    27       22128.94       16506.98        7466.00        1257.23         587.28
2011    28       19074.57       17238.00        8769.46        1413.31         699.47
2011    29       16942.27       18001.20       10392.94        1549.26         755.64
2011    30       15150.84       18798.83       12189.89        1673.54         827.92
2011    31       13828.79       19617.09       14089.47        1837.46         935.40
2011    32       12584.60       19857.59       15748.58        1937.25         987.69
2011    33       11792.10       20166.89       17553.43        2100.93        1041.17
2011    34       11153.45       20492.40       19071.33        2297.16        1101.79
2011    35       10363.74       20739.22       20255.21        2397.92        1094.00
2011    36        9545.29       20767.85       21308.02        2458.09        1105.98
2011    37        8971.66       20850.27       22438.36        2601.42        1205.92
2011    38        7622.50       18610.40       20965.43        2509.71        1165.58
2011    39        6979.74       18023.59       21036.34        2586.95        1126.47
2011    40        6778.84       18434.52       22471.69        2774.58        1152.75
2011    41        6529.28       18331.48       23573.62        2924.48        1228.07
2011    42        6460.79       18367.85       25381.69        3193.37        1317.27
2011    43        5433.76       15515.17       23488.85        3007.14        1212.88
2011    44        4951.17       13842.03       22945.37        2961.98        1182.16
2011    45        4847.29       13020.61       23773.91        3095.64        1209.95
2011    46        4791.55       12794.37       25417.76        3403.07        1309.22
2011    47        4687.21       12543.89       26497.49        3575.22        1343.49
2011    48        4631.11       12270.10       27527.99        3737.27        1378.29
2011    49        4620.70       12063.93       28869.37        3960.49        1454.53
2011    50        4505.07       11680.51       29651.57        4112.12        1497.49
2011    51        4249.67       11163.05       29473.69        4254.25        1539.51
2011    52        4175.85       11194.75       30350.75        4526.56        1656.51
2011    53        4006.46       11023.33       30702.18        4681.27        1714.12
2011    54        3969.54       11046.55       31622.88        4841.46        1718.12
2011    55        4069.33       11278.75       32897.57        4981.35        1745.43
