Bulgaria, Female population exposure by calendar year, age and birth cohort (Lexis triangles)
Last modified: 01/12/2022
Year   Age   Cohort      Exposure
1947    12    1935       33358.74
1947    12    1934       36226.52
1947    13    1934       36031.75
1947    13    1933       34062.67
1947    14    1933       33958.28
1947    14    1932       36292.19
1947    15    1932       36061.99
1947    15    1931       32539.70
1947    16    1931       32416.28
1947    16    1930       35169.51
1947    17    1930       36413.66
1947    17    1929       32963.73
1947    18    1929       32761.76
1947    18    1928       36048.51
1947    19    1928       35785.10
1947    19    1927       33595.29
1947    20    1927       33419.06
1947    20    1926       38409.04
1947    21    1926       38060.01
1947    21    1925       33624.76
1947    22    1925       37111.76
1947    22    1924       37256.28
1947    23    1924       36998.29
1947    23    1923       34097.50
1947    24    1923       33859.79
1947    24    1922       36140.85
1947    25    1922       35843.28
1947    25    1921       33493.45
1947    26    1921       33240.72
1947    26    1920       31173.26
1947    27    1920       35662.46
1947    27    1919       26199.97
1947    28    1919       26032.67
1947    28    1918       18480.96
1947    29    1918       18362.99
1947    29    1917       12818.80
1947    30    1917       12789.85
1947    30    1916       18733.65
1947    31    1916       18542.85
1947    31    1915       27795.94
1947    32    1915       27611.87
1947    32    1914       31988.48
1947    33    1914       31698.61
1947    33    1913       18815.49
1947    34    1913       18851.44
1947    34    1912       30660.53
1947    35    1912       30332.22
1947    35    1911       25587.08
1947    36    1911       25478.21
1947    36    1910       27545.37
1947    37    1910       29984.15
1947    37    1909       25242.72
1947    38    1909       25125.29
1947    38    1908       26157.47
1947    39    1908       25969.35
1947    39    1907       24479.65
1947    40    1907       24383.16
1947    40    1906       27737.27
1947    41    1906       27482.17
1947    41    1905       22981.65
1947    42    1905       24077.59
1947    42    1904       24274.47
1947    43    1904       24070.42
1947    43    1903       21681.58
1947    44    1903       21578.69
1947    44    1902       21362.55
1947    45    1902       21228.25
1947    45    1901       20222.78
1947    46    1901       20143.39
1947    46    1900       23118.43
1947    47    1900       25021.95
1947    47    1899       16786.48
1947    48    1899       16769.39
1947    48    1898       18803.65
1947    49    1898       18675.41
1947    49    1897       15862.73
1947    50    1897       15826.36
1947    50    1896       19183.02
1947    51    1896       19073.50
1947    51    1895       14982.82
1947    52    1895       15006.30
1947    52    1894       15613.71
1947    53    1894       15551.93
1947    53    1893       11487.68
1947    54    1893       11527.25
1947    54    1892       13641.36
1947    55    1892       13528.78
1947    55    1891       14741.47
1948    12    1936       31999.22
1948    12    1935       29500.32
1948    13    1935       33272.51
1948    13    1934       36006.25
1948    14    1934       35809.14
1948    14    1933       33932.61
1948    15    1933       33826.22
1948    15    1932       36029.32
1948    16    1932       35802.45
1948    16    1931       32379.78
1948    17    1931       32242.70
1948    17    1930       34846.87
1948    18    1930       36081.11
1948    18    1929       32716.26
1948    19    1929       32530.28
1948    19    1928       35728.10
1948    20    1928       35461.36
1948    20    1927       33360.22
1948    21    1927       33203.65
1948    21    1926       38003.18
1948    22    1926       37668.14
1948    22    1925       33395.54
1948    23    1925       36861.24
1948    23    1924       36936.29
1948    24    1924       36685.96
1948    24    1923       33809.45
1948    25    1923       33585.40
1948    25    1922       35789.61
1948    26    1922       35506.04
1948    26    1921       33191.05
1948    27    1921       32949.65
1948    27    1920       30898.43
1948    28    1920       35364.01
1948    28    1919       25993.00
1948    29    1919       25844.37
1948    29    1918       18335.33
1948    30    1918       18221.69
1948    30    1917       12769.35
1948    31    1917       12749.41
1948    31    1916       18517.19
1948    32    1916       18331.40
1948    32    1915       27582.20
1948    33    1915       27405.79
1948    33    1914       31664.94
1948    34    1914       31399.40
1948    34    1913       18821.78
1948    35    1913       18850.73
1948    35    1912       30288.05
1948    36    1912       29973.06
1948    36    1911       25451.04
1948    37    1911       25342.17
1948    37    1910       27263.88
1948    38    1910       29689.76
1948    38    1909       25090.29
1948    39    1909       24997.52
1948    39    1908       25934.51
1948    40    1908       25757.73
1948    40    1907       24350.49
1948    41    1907       24262.99
1948    41    1906       27444.00
1948    42    1906       27199.23
1948    42    1905       22885.73
1948    43    1905       23986.42
1948    43    1904       24030.25
1948    44    1904       23834.20
1948    44    1903       21548.03
1948    45    1903       21440.14
1948    45    1902       21192.91
1948    46    1902       21068.94
1948    46    1901       20112.39
1948    47    1901       20034.67
1948    47    1900       22888.93
1948    48    1900       24772.10
1948    48    1899       16739.05
1948    49    1899       16721.63
1948    49    1898       18639.24
1948    50    1898       18506.33
1948    50    1897       15786.03
1948    51    1897       15756.67
1948    51    1896       19027.00
1948    52    1896       18921.80
1948    52    1895       14966.96
1948    53    1895       15001.77
1948    53    1894       15500.26
1948    54    1894       15453.49
1948    54    1893       11489.75
1948    55    1893       11513.32
1948    55    1892       13478.44
1949    12    1937       29497.81
1949    12    1936       31980.55
1949    13    1936       31846.15
1949    13    1935       29424.06
1949    14    1935       33186.26
1949    14    1934       35786.30
1949    15    1934       35594.52
1949    15    1933       33798.38
1949    16    1933       33690.98
1949    16    1932       35771.11
1949    17    1932       35551.56
1949    17    1931       32208.86
1949    18    1931       32084.42
1949    18    1930       34528.62
1949    19    1930       35748.52
1949    19    1929       32485.44
1949    20    1929       32305.45
1949    20    1928       35406.01
1949    21    1928       35146.25
1949    21    1927       33160.81
1949    22    1927       33012.56
1949    22    1926       37610.46
1949    23    1926       37285.07
1949    23    1925       33170.11
1949    24    1925       36648.59
1949    24    1924       36635.45
1949    25    1924       36405.44
1949    25    1923       33539.89
1949    26    1923       33335.50
1949    26    1922       35459.70
1949    27    1922       35199.45
1949    27    1921       32908.31
1949    28    1921       32685.22
1949    28    1920       30639.85
1949    29    1920       35091.79
1949    29    1919       25815.19
1949    30    1919       25679.54
1949    30    1918       18196.19
1949    31    1918       18093.21
1949    31    1917       12734.40
1949    32    1917       12721.12
1949    32    1916       18304.06
1949    33    1916       18127.59
1949    33    1915       27378.12
1949    34    1915       27217.03
1949    34    1914       31367.56
1949    35    1914       31084.01
1949    35    1913       18826.73
1949    36    1913       18874.67
1949    36    1912       29940.39
1949    37    1912       29644.39
1949    37    1911       25313.83
1949    38    1911       25212.62
1949    38    1910       26996.20
1949    39    1910       29412.64
1949    39    1909       24964.68
1949    40    1909       24859.23
1949    40    1908       25719.89
1949    41    1908       25536.75
1949    41    1907       24235.48
1949    42    1907       24152.97
1949    42    1906       27158.89
1949    43    1906       26911.76
1949    43    1905       22799.07
1949    44    1905       23899.84
1949    44    1904       23798.19
1949    45    1904       23604.79
1949    45    1903       21406.47
1949    46    1903       21310.91
1949    46    1902       21037.60
1949    47    1902       20922.28
1949    47    1901       20003.16
1949    48    1901       19927.77
1949    48    1900       22660.39
1949    49    1900       24517.01
1949    49    1899       16685.95
1949    50    1899       16651.18
1949    50    1898       18457.82
1949    51    1898       18330.23
1949    51    1897       15721.99
1949    52    1897       15696.61
1949    52    1896       18870.96
1949    53    1896       18762.41
1949    53    1895       14965.10
1949    54    1895       14985.56
1949    54    1894       15408.98
1949    55    1894       15354.18
1949    55    1893       11470.65
1950    12    1938       28971.67
1950    12    1937       29482.26
1950    13    1937       29354.14
1950    13    1936       31832.10
1950    14    1936       31699.82
1950    14    1935       29347.80
1950    15    1935       33112.44
1950    15    1934       35570.61
1950    16    1934       35387.57
1950    16    1933       33666.57
1950    17    1933       33559.47
1950    17    1932       35525.31
1950    18    1932       35303.35
1950    18    1931       32056.01
1950    19    1931       31934.83
1950    19    1930       34210.35
1950    20    1930       35426.38
1950    20    1929       32268.16
1950    21    1929       32094.65
1950    21    1928       35103.79
1950    22    1928       34865.14
1950    22    1927       32970.93
1950    23    1927       32836.51
1950    23    1926       37244.61
1950    24    1926       36930.28
1950    24    1925       32978.76
1950    25    1925       36436.67
1950    25    1924       36363.31
1950    26    1924       36145.75
1950    26    1923       33307.25
1950    27    1923       33122.13
1950    27    1922       35167.18
1950    28    1922       34916.13
1950    28    1921       32656.47
1950    29    1921       32453.72
1950    29    1920       30403.99
1950    30    1920       34858.67
1950    30    1919       25650.25
1950    31    1919       25505.19
1950    31    1918       18078.34
1950    32    1918       17990.51
1950    32    1917       12707.92
1950    33    1917       12694.78
1950    33    1916       18108.71
1950    34    1916       17942.34
1950    34    1915       27195.28
1950    35    1915       27024.83
1950    35    1914       31051.91
1950    36    1914       30776.24
1950    36    1913       18857.79
1950    37    1913       18908.49
1950    37    1912       29614.47
1950    38    1912       29315.72
1950    38    1911       25186.88
1950    39    1911       25095.38
1950    39    1910       26744.21
1950    40    1910       29127.97
1950    40    1909       24822.93
1950    41    1909       24719.70
1950    41    1908       25505.49
1950    42    1908       25331.92
1950    42    1907       24127.38
1950    43    1907       24041.16
1950    43    1906       26879.32
1950    44    1906       26639.07
1950    44    1905       22716.78
1950    45    1905       23780.62
1950    45    1904       23567.67
1950    46    1904       23367.07
1950    46    1903       21278.95
1950    47    1903       21168.91
1950    47    1902       20896.53
1950    48    1902       20775.80
1950    48    1901       19899.34
1950    49    1901       19816.48
1950    49    1900       22427.04
1950    50    1900       24260.46
1950    50    1899       16619.42
1950    51    1899       16610.29
1950    51    1898       18299.97
1950    52    1898       18177.54
1950    52    1897       15665.52
1950    53    1897       15647.73
1950    53    1896       18722.63
1950    54    1896       18620.15
1950    54    1895       14945.76
1950    55    1895       14969.68
1950    55    1894       15313.73
1951    12    1939       28137.29
1951    12    1938       28960.13
1951    13    1938       28836.94
1951    13    1937       29340.59
1951    14    1937       29217.99
1951    14    1936       31681.59
1951    15    1936       31546.20
1951    15    1935       29282.51
1951    16    1935       33030.46
1951    16    1934       35365.33
1951    17    1934       35165.23
1951    17    1933       33527.68
1951    18    1933       33418.96
1951    18    1932       35263.71
1951    19    1932       35030.50
1951    19    1931       31900.37
1951    20    1931       31773.29
1951    20    1930       33902.06
1951    21    1930       35111.72
1951    21    1929       32059.67
1951    22    1929       31900.70
1951    22    1928       34821.46
1951    23    1928       34599.39
1951    23    1927       32797.03
1951    24    1927       32671.47
1951    24    1926       36879.42
1951    25    1926       36576.38
1951    25    1925       32788.05
1951    26    1925       36239.85
1951    26    1924       36104.59
1951    27    1924       35893.61
1951    27    1923       33089.17
1951    28    1923       32902.13
1951    28    1922       34881.50
1951    29    1922       34635.27
1951    29    1921       32428.12
1951    30    1921       32226.39
1951    30    1920       30202.02
1951    31    1920       34621.31
1951    31    1919       25477.09
1951    32    1919       25348.79
1951    32    1918       17972.46
1951    33    1918       17871.16
1951    33    1917       12681.05
1951    34    1917       12674.45
1951    34    1916       17921.26
1951    35    1916       17754.13
1951    35    1915       26997.04
1951    36    1915       26829.30
1951    36    1914       30741.60
1951    37    1914       30477.73
1951    37    1913       18889.24
1951    38    1913       18942.53
1951    38    1912       29280.42
1951    39    1912       28977.44
1951    39    1911       25073.63
1951    40    1911       24979.76
1951    40    1910       26485.38
1951    41    1910       28851.40
1951    41    1909       24691.76
1951    42    1909       24603.99
1951    42    1908       25297.61
1951    43    1908       25128.50
1951    43    1907       24011.71
1951    44    1907       23928.88
1951    44    1906       26604.60
1951    45    1906       26361.83
1951    45    1905       22603.47
1951    46    1905       23687.92
1951    46    1904       23331.42
1951    47    1904       23139.71
1951    47    1903       21135.78
1951    48    1903       21041.24
1951    48    1902       20740.00
1951    49    1902       20610.70
1951    49    1901       19780.83
1951    50    1901       19695.78
1951    50    1900       22192.35
1951    51    1900       23996.52
1951    51    1899       16577.85
1951    52    1899       16556.09
1951    52    1898       18134.04
1951    53    1898       18000.47
1951    53    1897       15614.26
1951    54    1897       15590.24
1951    54    1896       18566.27
1951    55    1896       18446.42
1951    55    1895       14924.68
1952    12    1940       30498.60
1952    12    1939       26899.97
1952    13    1939       28068.75
1952    13    1938       28825.28
1952    14    1938       28705.76
1952    14    1937       29207.65
1952    15    1937       29079.05
1952    15    1936       31525.20
1952    16    1936       31378.80
1952    16    1935       29210.01
1952    17    1935       32933.61
1952    17    1934       35134.73
1952    18    1934       34932.62
1952    18    1933       33392.29
1952    19    1933       33290.57
1952    19    1932       34997.00
1952    20    1932       34759.46
1952    20    1931       31739.29
1952    21    1931       31618.54
1952    21    1930       33600.94
1952    22    1930       34802.67
1952    22    1929       31870.03
1952    23    1929       31716.72
1952    23    1928       34564.89
1952    24    1928       34335.82
1952    24    1927       32641.46
1952    25    1927       32519.23
1952    25    1926       36540.05
1952    26    1926       36235.34
1952    26    1925       32610.94
1952    27    1925       36057.76
1952    27    1924       35853.94
1952    28    1924       35638.61
1952    28    1923       32873.96
1952    29    1923       32696.25
1952    29    1922       34605.77
1952    30    1922       34359.86
1952    30    1921       32194.39
1952    31    1921       31982.99
1952    31    1920       29996.37
1952    32    1920       34372.69
1952    32    1919       25329.12
1952    33    1919       25203.15
1952    33    1918       17853.16
1952    34    1918       17757.53
1952    34    1917       12664.78
1952    35    1917       12659.50
1952    35    1916       17737.63
1952    36    1916       17571.51
1952    36    1915       26803.13
1952    37    1915       26640.72
1952    37    1914       30447.56
1952    38    1914       30170.02
1952    38    1913       18924.20
1952    39    1913       18980.49
1952    39    1912       28945.44
1952    40    1912       28641.46
1952    40    1911       24951.59
1952    41    1911       24846.05
1952    41    1910       26233.90
1952    42    1910       28571.15
1952    42    1909       24577.16
1952    43    1909       24486.39
1952    43    1908       25097.16
1952    44    1908       24928.38
1952    44    1907       23902.71
1952    45    1907       23816.54
1952    45    1906       26322.33
1952    46    1906       26071.89
1952    46    1905       22515.35
1952    47    1905       23591.62
1952    47    1904       23099.88
1952    48    1904       22898.82
1952    48    1903       21012.40
1952    49    1903       20899.52
1952    49    1902       20570.19
1952    50    1902       20421.22
1952    50    1901       19656.45
1952    51    1901       19559.39
1952    51    1900       21950.92
1952    52    1900       23697.06
1952    52    1899       16519.92
1952    53    1899       16486.16
1952    53    1898       17954.13
1952    54    1898       17811.22
1952    54    1897       15548.07
1952    55    1897       15503.36
1952    55    1896       18385.25
1953    12    1941       30325.28
1953    12    1940       27915.25
1953    13    1940       30362.14
1953    13    1939       26834.46
1953    14    1939       28011.46
1953    14    1938       28694.58
1953    15    1938       28578.04
1953    15    1937       29064.88
1953    16    1937       28939.25
1953    16    1936       31360.63
1953    17    1936       31229.88
1953    17    1935       29124.37
1953    18    1935       32857.96
1953    18    1934       34906.44
1953    19    1934       34717.30
1953    19    1933       33267.39
1953    20    1933       33173.64
1953    20    1932       34725.95
1953    21    1932       34516.37
1953    21    1931       31594.53
1953    22    1931       31493.08
1953    22    1930       33305.19
1953    23    1930       34523.71
1953    23    1929       31689.54
1953    24    1929       31549.54
1953    24    1928       34301.97
1953    25    1928       34092.53
1953    25    1927       32490.89
1953    26    1927       32388.62
1953    26    1926       36199.50
1953    27    1926       35925.43
1953    27    1925       32447.08
1953    28    1925       35904.04
1953    28    1924       35602.27
1953    29    1924       35405.57
1953    29    1923       32672.57
1953    30    1923       32505.16
1953    30    1922       34327.85
1953    31    1922       34095.92
1953    31    1921       31957.81
1953    32    1921       31761.71
1953    32    1920       29780.96
1953    33    1920       34149.20
1953    33    1919       25182.65
1953    34    1919       25064.99
1953    34    1918       17737.52
1953    35    1918       17647.20
1953    35    1917       12648.83
1953    36    1917       12643.54
1953    36    1916       17555.17
1953    37    1916       17394.35
1953    37    1915       26620.38
1953    38    1915       26463.94
1953    38    1914       30139.51
1953    39    1914       29886.94
1953    39    1913       18962.64
1953    40    1913       19008.24
1953    40    1912       28604.44
1953    41    1912       28310.08
1953    41    1911       24822.71
1953    42    1911       24730.14
1953    42    1910       25979.08
1953    43    1910       28294.50
1953    43    1909       24458.54
1953    44    1909       24369.07
