Bulgaria, Female population exposure by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 01/12/2022
Year    ARDY   Cohort       Exposure
1947     12     1935        33358.74
1947     13     1934        72258.27
1947     14     1933        68020.94
1947     15     1932        72354.18
1947     16     1931        64955.98
1947     17     1930        71583.18
1947     18     1929        65725.49
1947     19     1928        71833.61
1947     20     1927        67014.35
1947     21     1926        76469.06
1947     22     1925        70736.52
1947     23     1924        74254.57
1947     24     1923        67957.29
1947     25     1922        71984.12
1947     26     1921        66734.17
1947     27     1920        66835.71
1947     28     1919        52232.64
1947     29     1918        36843.95
1947     30     1917        25608.65
1947     31     1916        37276.51
1947     32     1915        55407.81
1947     33     1914        63687.09
1947     34     1913        37666.93
1947     35     1912        60992.75
1947     36     1911        51065.30
1947     37     1910        57529.52
1947     38     1909        50368.01
1947     39     1908        52126.82
1947     40     1907        48862.81
1947     41     1906        55219.44
1947     42     1905        47059.24
1947     43     1904        48344.89
1947     44     1903        43260.27
1947     45     1902        42590.79
1947     46     1901        40366.17
1947     47     1900        48140.38
1947     48     1899        33555.87
1947     49     1898        37479.07
1947     50     1897        31689.09
1947     51     1896        38256.52
1947     52     1895        29989.11
1947     53     1894        31165.64
1947     54     1893        23014.93
1947     55     1892        27170.14
1948     12     1936        31999.22
1948     13     1935        62772.83
1948     14     1934        71815.39
1948     15     1933        67758.83
1948     16     1932        71831.76
1948     17     1931        64622.47
1948     18     1930        70927.98
1948     19     1929        65246.54
1948     20     1928        71189.46
1948     21     1927        66563.87
1948     22     1926        75671.31
1948     23     1925        70256.78
1948     24     1924        73622.25
1948     25     1923        67394.85
1948     26     1922        71295.65
1948     27     1921        66140.70
1948     28     1920        66262.44
1948     29     1919        51837.37
1948     30     1918        36557.02
1948     31     1917        25518.75
1948     32     1916        36848.58
1948     33     1915        54987.98
1948     34     1914        63064.34
1948     35     1913        37672.51
1948     36     1912        60261.11
1948     37     1911        50793.22
1948     38     1910        56953.64
1948     39     1909        50087.81
1948     40     1908        51692.24
1948     41     1907        48613.47
1948     42     1906        54643.23
1948     43     1905        46872.15
1948     44     1904        47864.45
1948     45     1903        42988.17
1948     46     1902        42261.85
1948     47     1901        40147.06
1948     48     1900        47661.04
1948     49     1899        33460.68
1948     50     1898        37145.57
1948     51     1897        31542.69
1948     52     1896        37948.80
1948     53     1895        29968.73
1948     54     1894        30953.75
1948     55     1893        23003.07
1949     12     1937        29497.81
1949     13     1936        63826.70
1949     14     1935        62610.33
1949     15     1934        71380.82
1949     16     1933        67489.35
1949     17     1932        71322.66
1949     18     1931        64293.28
1949     19     1930        70277.14
1949     20     1929        64790.88
1949     21     1928        70552.27
1949     22     1927        66173.37
1949     23     1926        74895.52
1949     24     1925        69818.70
1949     25     1924        73040.90
1949     26     1923        66875.39
1949     27     1922        70659.15
1949     28     1921        65593.54
1949     29     1920        65731.64
1949     30     1919        51494.74
1949     31     1918        36289.40
1949     32     1917        25455.53
1949     33     1916        36431.64
1949     34     1915        54595.14
1949     35     1914        62451.57
1949     36     1913        37701.40
1949     37     1912        59584.79
1949     38     1911        50526.46
1949     39     1910        56408.83
1949     40     1909        49823.91
1949     41     1908        51256.64
1949     42     1907        48388.45
1949     43     1906        54070.65
1949     44     1905        46698.91
1949     45     1904        47402.99
1949     46     1903        42717.38
1949     47     1902        41959.88
1949     48     1901        39930.93
1949     49     1900        47177.40
1949     50     1899        33337.13
1949     51     1898        36788.05
1949     52     1897        31418.61
1949     53     1896        37633.37
1949     54     1895        29950.65
1949     55     1894        30763.16
1950     12     1938        28971.67
1950     13     1937        58836.40
1950     14     1936        63531.93
1950     15     1935        62460.24
1950     16     1934        70958.18
1950     17     1933        67226.04
1950     18     1932        70828.65
1950     19     1931        63990.84
1950     20     1930        69636.72
1950     21     1929        64362.81
1950     22     1928        69968.93
1950     23     1927        65807.44
1950     24     1926        74174.89
1950     25     1925        69415.42
1950     26     1924        72509.06
1950     27     1923        66429.38
1950     28     1922        70083.31
1950     29     1921        65110.19
1950     30     1920        65262.66
1950     31     1919        51155.44
1950     32     1918        36068.85
1950     33     1917        25402.70
1950     34     1916        36051.05
1950     35     1915        54220.11
1950     36     1914        61828.15
1950     37     1913        37766.29
1950     38     1912        58930.19
1950     39     1911        50282.25
1950     40     1910        55872.19
1950     41     1909        49542.63
1950     42     1908        50837.42
1950     43     1907        48168.54
1950     44     1906        53518.38
1950     45     1905        46497.40
1950     46     1904        46934.74
1950     47     1903        42447.86
1950     48     1902        41672.33
1950     49     1901        39715.81
1950     50     1900        46687.49
1950     51     1899        33229.72
1950     52     1898        36477.51
1950     53     1897        31313.25
1950     54     1896        37342.79
1950     55     1895        29915.44
1951     12     1939        28137.29
1951     13     1938        57797.08
1951     14     1937        58558.57
1951     15     1936        63227.79
1951     16     1935        62312.97
1951     17     1934        70530.56
1951     18     1933        66946.64
1951     19     1932        70294.21
1951     20     1931        63673.66
1951     21     1930        69013.78
1951     22     1929        63960.37
1951     23     1928        69420.85
1951     24     1927        65468.49
1951     25     1926        73455.80
1951     26     1925        69027.90
1951     27     1924        71998.19
1951     28     1923        65991.29
1951     29     1922        69516.76
1951     30     1921        64654.50
1951     31     1920        64823.33
1951     32     1919        50825.88
1951     33     1918        35843.62
1951     34     1917        25355.50
1951     35     1916        35675.39
1951     36     1915        53826.35
1951     37     1914        61219.33
1951     38     1913        37831.77
1951     39     1912        58257.87
1951     40     1911        50053.39
1951     41     1910        55336.78
1951     42     1909        49295.75
1951     43     1908        50426.11
1951     44     1907        47940.59
1951     45     1906        52966.43
1951     46     1905        46291.39
1951     47     1904        46471.13
1951     48     1903        42177.02
1951     49     1902        41350.69
1951     50     1901        39476.62
1951     51     1900        46188.88
1951     52     1899        33133.94
1951     53     1898        36134.51
1951     54     1897        31204.50
1951     55     1896        37012.69
1952     12     1940        30498.60
1952     13     1939        54968.73
1952     14     1938        57531.03
1952     15     1937        58286.70
1952     16     1936        62904.00
1952     17     1935        62143.62
1952     18     1934        70067.34
1952     19     1933        66682.86
1952     20     1932        69756.46
1952     21     1931        63357.83
1952     22     1930        68403.61
1952     23     1929        63586.75
1952     24     1928        68900.71
1952     25     1927        65160.69
1952     26     1926        72775.39
1952     27     1925        68668.70
1952     28     1924        71492.55
1952     29     1923        65570.21
1952     30     1922        68965.63
1952     31     1921        64177.37
1952     32     1920        64369.06
1952     33     1919        50532.28
1952     34     1918        35610.69
1952     35     1917        25324.28
1952     36     1916        35309.14
1952     37     1915        53443.85
1952     38     1914        60617.59
1952     39     1913        37904.69
1952     40     1912        57586.90
