Bulgaria, Period mean ages at birth by birth order and period mean ages at birth by birth order by age 40
Last modified: 01/12/2022
Year       MAB      MAB1      MAB2      MAB3      MAB4     MAB5p     MAB40   MAB40_1   MAB40_2   MAB40_3   MAB40_4  MAB40_5p
1947     27.24     23.02     26.51     29.05     31.17     35.07     26.72     22.94     26.39     28.79     30.67     33.42
1948     27.16     22.93     26.38     28.94     31.19     35.14     26.64     22.87     26.25     28.68     30.66     33.53
1949     27.03     22.74     26.25     28.85     31.00     35.08     26.51     22.67     26.14     28.57     30.47     33.48
1950     27.04     22.72     26.35     28.89     31.19     35.21     26.46     22.64     26.21     28.56     30.52     33.46
1951     26.68     22.60     26.22     28.78     30.96     35.05     26.16     22.53     26.09     28.49     30.44     33.34
1952     26.54     22.50     26.09     28.70     30.97     34.95     26.06     22.44     25.99     28.42     30.34     33.34
1953     26.43     22.43     26.10     28.73     31.15     35.16     25.94     22.37     26.00     28.38     30.53     33.48
1954     26.33     22.36     26.18     28.79     31.16     35.06     25.88     22.30     26.09     28.50     30.56     33.40
1955     26.13     22.40     26.05     28.53     30.95     35.02     25.68     22.36     25.96     28.24     30.38     33.32
1956     25.92     22.39     25.98     28.45     30.78     34.95     25.49     22.34     25.89     28.18     30.19     33.22
1957     25.56     22.32     25.86     28.03     30.57     34.66     25.19     22.28     25.78     27.82     30.03     32.97
1958     25.48     22.29     25.91     27.99     30.36     34.71     25.12     22.25     25.84     27.77     29.80     32.92
1959     25.17     22.11     25.84     27.87     30.26     34.75     24.85     22.07     25.79     27.66     29.76     32.98
1960     25.07     22.06     25.80     27.71     30.20     34.52     24.77     22.02     25.74     27.53     29.62     32.82
1961     25.06     22.03     25.85     27.77     30.01     34.42     24.80     21.99     25.80     27.56     29.49     32.80
1962     25.10     22.05     25.82     27.75     29.82     34.57     24.82     22.00     25.77     27.56     29.40     32.82
1963     25.01     22.04     25.82     27.65     29.75     34.26     24.76     21.99     25.76     27.46     29.29     32.78
1964     24.87     22.04     25.73     27.58     29.61     34.39     24.63     21.99     25.68     27.37     29.23     32.78
1965     24.85     22.08     25.73     27.44     29.36     33.89     24.63     22.03     25.66     27.26     29.02     32.50
1966     24.75     22.02     25.70     27.35     29.35     33.73     24.54     21.97     25.64     27.20     29.02     32.41
1967     24.67     22.03     25.67     27.31     29.31     33.62     24.47     21.97     25.61     27.16     28.98     32.30
1968     24.71     21.97     25.62     27.51     29.41     33.78     24.53     21.92     25.56     27.37     29.12     32.38
1969     24.78     21.98     25.73     27.65     29.44     33.64     24.61     21.94     25.67     27.51     29.14     32.29
1970     24.67     21.99     25.71     27.56     29.08     33.55     24.52     21.93     25.66     27.40     28.80     32.39
1971     24.55     22.00     25.60     27.52     29.04     33.45     24.40     21.95     25.54     27.34     28.81     32.23
1972     24.47     22.03     25.61     27.20     29.12     33.20     24.32     21.98     25.55     27.02     28.76     32.06
1973     24.42     22.03     25.54     27.12     28.98     33.10     24.28     21.98     25.48     26.93     28.66     31.96
1974     24.50     21.99     25.60     27.20     28.80     32.94     24.38     21.94     25.55     27.00     28.52     31.90
1975     24.45     22.01     25.55     27.10     28.85     32.80     24.33     21.96     25.49     26.94     28.57     31.66
1976     24.32     21.96     25.43     26.87     28.71     32.79     24.20     21.92     25.37     26.73     28.44     31.74
1977     24.19     21.93     25.30     26.81     28.64     32.40     24.08     21.88     25.24     26.63     28.36     31.50
1978     24.07     21.95     25.19     26.63     28.41     32.06     23.98     21.91     25.14     26.47     28.05     31.25
1979     23.98     21.91     25.09     26.50     28.28     32.17     23.88     21.87     25.04     26.35     28.03     31.21
1980     23.88     21.85     25.01     26.59     28.12     31.97     23.78     21.81     24.96     26.44     27.80     31.01
1981     23.92     22.01     25.00     26.59     28.02     31.80     23.82     21.96     24.96     26.42     27.73     30.99
1982     23.82     21.81     24.97     26.65     28.10     31.83     23.72     21.76     24.93     26.48     27.82     30.93
1983     23.90     21.82     25.02     26.68     28.11     31.49     23.80     21.78     24.98     26.50     27.80     30.73
1984     23.91     21.80     25.06     26.74     28.04     31.33     23.83     21.77     25.02     26.56     27.78     30.67
1985     23.92     21.79     25.08     26.66     28.13     31.28     23.83     21.75     25.03     26.51     27.83     30.60
1986     23.95     21.86     25.14     26.74     28.27     31.34     23.86     21.81     25.09     26.56     27.93     30.63
1987     23.96     21.92     25.08     26.83     28.11     31.13     23.86     21.88     25.03     26.61     27.77     30.47
1988     23.95     21.93     25.08     26.64     27.94     31.13     23.86     21.88     25.03     26.43     27.68     30.52
1989     23.95     21.96     25.10     26.65     28.04     31.27     23.85     21.92     25.06     26.44     27.75     30.62
1990     23.92     22.01     25.11     26.73     28.07     31.09     23.82     21.96     25.06     26.53     27.72     30.43
1991     23.67     21.86     24.99     26.83     28.22     31.06     23.57     21.82     24.93     26.56     27.83     30.50
1992     23.68     21.90     25.06     27.00     28.18     31.45     23.57     21.85     24.99     26.71     27.92     30.64
1993     23.80     22.02     25.09     26.94     28.22     31.17     23.68     21.96     25.02     26.60     27.79     30.59
1994     23.97     22.16     25.30     26.74     28.12     31.22     23.86     22.11     25.23     26.46     27.76     30.61
1995     24.12     22.37     25.45     26.98     28.35     31.21     24.00     22.31     25.37     26.66     27.98     30.68
1996     24.29     22.53     25.66     27.12     28.39     31.37     24.17     22.47     25.60     26.76     27.94     30.69
1997     24.42     22.77     25.92     27.50     28.58     31.67     24.28     22.70     25.84     27.17     28.18     30.87
1998     24.52     22.90     26.22     27.30     28.63     31.48     24.40     22.84     26.13     27.02     28.17     30.86
1999     24.66     22.99     26.14     27.26     28.63     31.54     24.55     22.92     26.07     26.95     28.32     31.03
2000     24.96     23.48     26.39     27.43     28.80     31.47     24.83     23.39     26.30     27.11     28.42     30.97
2001     25.09     23.68     26.40     27.42     29.11     31.70     24.96     23.62     26.32     27.07     28.60     31.20
2002     25.28     23.85     26.64     27.29     28.73     31.69     25.16     23.79     26.56     26.97     28.30     31.14
2003     25.51     24.15     26.86     27.44     28.69     31.77     25.39     24.08     26.77     27.19     28.28     31.19
2004     25.66     24.34     27.03     27.57     28.43     31.80     25.52     24.26     26.95     27.21     28.03     31.10
2005     25.96     24.63     27.51     27.81     28.38     31.73     25.83     24.56     27.40     27.52     27.95     31.04
2006     26.13     24.91     27.64     27.77     28.17     31.41     26.00     24.82     27.53     27.42     27.84     30.91
2007     26.37     25.03     27.98     27.98     28.53     31.37     26.21     24.91     27.86     27.56     28.16     30.82
2008     26.50     25.04     28.35     28.19     28.57     31.38     26.33     24.93     28.19     27.79     28.18     30.73
2009     26.66     25.18     28.35     28.23     28.37     31.39     26.47     25.05     28.18     27.84     27.93     30.80
2010     27.02     25.64     28.53     28.37     28.49     31.45     26.81     25.49     28.35     27.89     28.07     30.87
2011     27.07     25.68     28.54     28.46     28.31     31.60     26.84     25.51     28.33     28.02     27.96     30.90
2012     27.11     25.64     28.69     28.35     28.44     31.59     26.87     25.47     28.47     27.86     27.97     30.96
2013     27.12     25.69     28.70     28.29     28.34     31.24     26.86     25.49     28.45     27.81     27.93     30.60
2014     27.31     25.82     28.98     28.60     28.32     31.26     27.02     25.60     28.70     28.10     27.88     30.57
2015     27.44     25.98     29.00     28.83     28.05     31.35     27.13     25.72     28.72     28.32     27.64     30.64
2016     27.56     26.00     29.25     29.07     28.43     31.17     27.20     25.72     28.92     28.44     27.95     30.49
2017     27.64     26.11     29.32     29.13     28.55     31.35     27.26     25.82     28.93     28.50     28.00     30.67
2018     27.70     26.18     29.32     29.19     28.80     31.33     27.31     25.86     28.94     28.54     28.09     30.69
2019     27.75     26.27     29.36     29.28     28.97     31.31     27.34     25.94     28.95     28.56     28.31     30.69
2020     27.81     26.41     29.33     29.25     28.87     31.41     27.37     26.05     28.90     28.51     28.20     30.63
