Bulgaria, Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 01/12/2022
Cohort    CMAB    CMAB40
1932     25.14     25.01
1933     25.06     24.93
1934     24.97     24.85
1935     24.89     24.77
1936     24.84     24.73
1937     24.77     24.67
1938     24.69     24.60
1939     24.62     24.53
1940     24.54     24.45
1941     24.44     24.35
1942     24.36     24.28
1943     24.35     24.27
1944     24.28     24.20
1945     24.25     24.16
1946     24.31     24.23
1947     24.31     24.22
1948     24.24     24.16
1949     24.17     24.09
1950     24.13     24.05
1951     24.12     24.03
1952     24.06     23.99
1953     24.00     23.93
1954     23.98     23.90
1955     23.94     23.86
1956     23.86     23.79
1957     23.79     23.72
1958     23.75     23.66
1959     23.72     23.63
1960     23.68     23.59
1961     23.66     23.56
1962     23.65     23.54
1963     23.60     23.48
1964     23.57     23.43
1965     23.62     23.46
1966     23.71     23.53
1967     23.86     23.64
1968     24.00     23.76
1969     24.27     24.00
1970     24.61     24.32
1971     24.96     24.65
1972         .     24.97
1973         .     25.29
1974         .     25.66
1975         .     25.94
1976         .     26.18
1977         .     26.38
1978         .     26.54
1979         .     26.64
1980         .     26.73
1981         .     26.86
