Bulgaria, Conditional fertility rates by calendar year, age and birth order
Last modified: 01/12/2022
Year  Age       m1x       m2x       m3x       m4x      m5px
1977   12-  0.00000         .         .         .         .
1977   13   0.00024   0.06741         .         .         .
1977   14   0.00387   0.04169         .         .         .
1977   15   0.01131   0.04562   0.00000         .         .
1977   16   0.03050   0.07126   0.00000         .         .
1977   17   0.05744   0.10344   0.00181         .         .
1977   18   0.10217   0.15483   0.04456   0.12623         .
1977   19   0.17306   0.19600   0.18987   0.12933   0.31757
1977   20   0.24049   0.21143   0.13340   0.09482   0.20345
1977   21   0.27155   0.21130   0.10414   0.10013   0.17357
1977   22   0.28716   0.21348   0.07852   0.10720   0.14954
1977   23   0.28551   0.21912   0.06273   0.10378   0.13325
1977   24   0.25393   0.22264   0.05472   0.09008   0.12279
1977   25   0.22203   0.22254   0.04818   0.07475   0.11859
1977   26   0.20992   0.21377   0.04031   0.06278   0.12078
1977   27   0.21646   0.19813   0.03371   0.05481   0.12145
1977   28   0.19052   0.17368   0.02687   0.04623   0.11225
1977   29   0.15000   0.16110   0.02256   0.04138   0.10482
1977   30   0.11972   0.14151   0.01868   0.03595   0.09659
1977   31   0.10687   0.10801   0.01420   0.02751   0.07910
1977   32   0.09870   0.08468   0.01127   0.02231   0.06877
1977   33   0.07981   0.07065   0.00945   0.01930   0.06475
1977   34   0.06828   0.05301   0.00759   0.01604   0.06029
1977   35   0.06051   0.03800   0.00597   0.01290   0.05346
1977   36   0.04348   0.02753   0.00461   0.01027   0.04580
1977   37   0.02966   0.02284   0.00396   0.00922   0.04251
1977   38   0.01759   0.01589   0.00282   0.00688   0.03203
1977   39   0.01265   0.01169   0.00214   0.00539   0.02521
1977   40   0.00846   0.00802   0.00138   0.00345   0.01636
1977   41   0.00712   0.00584   0.00118   0.00284   0.01428
1977   42   0.00335   0.00211   0.00059   0.00141   0.00759
1977   43   0.00291   0.00140   0.00058   0.00132   0.00785
1977   44   0.00136   0.00049   0.00033   0.00069   0.00473
1977   45         .         .         .         .         .
1977   46         .         .         .         .         .
1977   47         .         .         .         .         .
1977   48         .         .         .         .         .
1977   49         .         .         .         .         .
1977   50         .         .         .         .         .
1977   51         .         .         .         .         .
1977   52         .         .         .         .         .
1977   53         .         .         .         .         .
1977   54         .         .         .         .         .
1977   55+        .         .         .         .         .
1978   12-  0.00003         .         .         .         .
1978   13   0.00055   0.04573         .         .         .
1978   14   0.00317   0.01948         .         .         .
1978   15   0.01272   0.03204   0.00000         .         .
1978   16   0.02978   0.05130   0.00000         .         .
1978   17   0.05622   0.08890   0.00184         .         .
1978   18   0.10215   0.15302   0.04464   0.15942         .
1978   19   0.17295   0.19980   0.18674   0.14737   0.39339
1978   20   0.23861   0.20529   0.12620   0.10052   0.21702
1978   21   0.27544   0.20919   0.10136   0.10123   0.17661
1978   22   0.28852   0.21075   0.07774   0.10334   0.15140
1978   23   0.28887   0.21330   0.06114   0.10318   0.13544
1978   24   0.26542   0.21306   0.05194   0.09125   0.12659
1978   25   0.23894   0.21330   0.04565   0.07611   0.12554
1978   26   0.20914   0.20257   0.03705   0.06086   0.12479
1978   27   0.19202   0.18364   0.02947   0.04853   0.11896
1978   28   0.20400   0.17025   0.02498   0.04328   0.11619
1978   29   0.17622   0.14746   0.02004   0.03720   0.10207
1978   30   0.12575   0.13008   0.01633   0.03194   0.09012
1978   31   0.09596   0.10872   0.01300   0.02570   0.07541
1978   32   0.09456   0.08574   0.01064   0.02102   0.06723
1978   33   0.08770   0.06266   0.00818   0.01628   0.05892
1978   34   0.07125   0.04978   0.00675   0.01361   0.05724
1978   35   0.06111   0.03564   0.00519   0.01038   0.05085
1978   36   0.05508   0.02565   0.00412   0.00836   0.04523
1978   37   0.03699   0.01831   0.00318   0.00687   0.03698
1978   38   0.02254   0.01467   0.00274   0.00654   0.03254
1978   39   0.01161   0.00959   0.00192   0.00518   0.02296
1978   40   0.00653   0.00618   0.00122   0.00432   0.01487
1978   41   0.00474   0.00420   0.00091   0.00345   0.01146
1978   42   0.00348   0.00252   0.00069   0.00217   0.00872
1978   43   0.00188   0.00106   0.00037   0.00087   0.00476
1978   44   0.00187   0.00084   0.00036   0.00059   0.00474
1978   45   0.00085   0.00032   0.00015   0.00018   0.00213
1978   46         .         .         .         .         .
1978   47         .         .         .         .         .
1978   48         .         .         .         .         .
1978   49         .         .         .         .         .
1978   50         .         .         .         .         .
1978   51         .         .         .         .         .
1978   52         .         .         .         .         .
1978   53         .         .         .         .         .
1978   54         .         .         .         .         .
1978   55+        .         .         .         .         .
1979   12-  0.00005         .         .         .         .
1979   13   0.00063   0.05390         .         .         .
1979   14   0.00422   0.03357         .         .         .
1979   15   0.01327   0.04605   0.00000         .         .
1979   16   0.03248   0.06695   0.00000         .         .
1979   17   0.05778   0.09700   0.00187         .         .
1979   18   0.10681   0.15302   0.04871   0.18846         .
1979   19   0.17845   0.18961   0.20070   0.17614   0.33318
1979   20   0.24538   0.20160   0.13354   0.11055   0.19354
1979   21   0.28187   0.20434   0.10336   0.10063   0.16495
1979   22   0.30147   0.21294   0.07979   0.09414   0.14883
1979   23   0.29261   0.21658   0.06249   0.08806   0.13684
1979   24   0.26465   0.21310   0.05251   0.08240   0.12816
1979   25   0.24213   0.20848   0.04544   0.07357   0.12485
1979   26   0.21543   0.19672   0.03685   0.06077   0.12228
1979   27   0.18803   0.18395   0.03004   0.04983   0.11694
1979   28   0.17769   0.16532   0.02451   0.04158   0.10856
1979   29   0.18603   0.14078   0.02009   0.03627   0.09886
1979   30   0.15998   0.11624   0.01628   0.03094   0.08981
1979   31   0.12007   0.10383   0.01379   0.02649   0.08220
1979   32   0.08934   0.08097   0.01049   0.02056   0.06911
1979   33   0.08659   0.06107   0.00825   0.01677   0.06260
1979   34   0.07759   0.04364   0.00610   0.01315   0.05493
1979   35   0.05536   0.03375   0.00468   0.01069   0.04609
1979   36   0.04699   0.02582   0.00381   0.00896   0.04101
1979   37   0.04091   0.01764   0.00288   0.00675   0.03462
1979   38   0.03323   0.01369   0.00241   0.00556   0.03283
1979   39   0.02075   0.00961   0.00181   0.00409   0.02808
1979   40   0.01119   0.00517   0.00100   0.00198   0.01752
1979   41   0.00882   0.00401   0.00083   0.00159   0.01551
1979   42   0.00393   0.00189   0.00046   0.00100   0.00857
1979   43   0.00268   0.00140   0.00042   0.00118   0.00770
1979   44   0.00114   0.00071   0.00027   0.00094   0.00465
1979   45   0.00034   0.00028   0.00012   0.00061   0.00198
1979   46   0.00017   0.00015   0.00007   0.00025   0.00104
1979   47         .         .         .         .         .
1979   48         .         .         .         .         .
1979   49         .         .         .         .         .
1979   50         .         .         .         .         .
1979   51         .         .         .         .         .
1979   52         .         .         .         .         .
1979   53         .         .         .         .         .
1979   54         .         .         .         .         .
1979   55+        .         .         .         .         .
1980   12-  0.00007         .         .         .         .
1980   13   0.00062   0.06055         .         .         .
1980   14   0.00380   0.03593         .         .         .
1980   15   0.01343   0.05195   0.00000         .         .
1980   16   0.03293   0.07240   0.00000         .         .
1980   17   0.05710   0.09563   0.00164         .         .
1980   18   0.10485   0.14401   0.04489   0.12842         .
1980   19   0.17951   0.18096   0.19400   0.12173   0.16970
1980   20   0.23837   0.18851   0.12621   0.08805   0.11556
1980   21   0.27637   0.19461   0.09766   0.09184   0.12317
1980   22   0.29702   0.20002   0.07358   0.09335   0.13689
1980   23   0.28346   0.19676   0.05571   0.08717   0.14057
1980   24   0.26326   0.20091   0.04895   0.08312   0.14005
1980   25   0.23697   0.19164   0.04183   0.07472   0.13076
1980   26   0.21807   0.17911   0.03413   0.06357   0.12678
1980   27   0.18871   0.16246   0.02747   0.05037   0.11565
1980   28   0.16823   0.15459   0.02356   0.04189   0.10892
1980   29   0.14945   0.12787   0.01840   0.03224   0.09264
1980   30   0.15917   0.10648   0.01524   0.02720   0.08479
1980   31   0.13783   0.08710   0.01224   0.02195   0.07296
1980   32   0.09804   0.07531   0.01026   0.01825   0.06576
1980   33   0.06971   0.05682   0.00785   0.01388   0.05580
1980   34   0.06404   0.04064   0.00615   0.01091   0.05037
1980   35   0.05982   0.03118   0.00511   0.00879   0.04570
1980   36   0.04158   0.02345   0.00398   0.00675   0.03807
1980   37   0.03465   0.01751   0.00315   0.00574   0.03373
1980   38   0.02727   0.01110   0.00214   0.00446   0.02638
1980   39   0.02205   0.00904   0.00180   0.00442   0.02576
1980   40   0.01103   0.00559   0.00110   0.00308   0.01799
1980   41   0.00665   0.00381   0.00079   0.00239   0.01419
1980   42   0.00420   0.00230   0.00052   0.00167   0.01003
1980   43   0.00247   0.00120   0.00032   0.00101   0.00617
1980   44   0.00149   0.00061   0.00020   0.00060   0.00386
1980   45   0.00059   0.00021   0.00008   0.00023   0.00148
1980   46   0.00032   0.00011   0.00004   0.00008   0.00073
1980   47   0.00035   0.00013   0.00005   0.00004   0.00081
1980   48         .         .         .         .         .
1980   49         .         .         .         .         .
1980   50         .         .         .         .         .
1980   51         .         .         .         .         .
1980   52         .         .         .         .         .
1980   53         .         .         .         .         .
1980   54         .         .         .         .         .
1980   55+        .         .         .         .         .
1981   12-  0.00003         .         .         .         .
1981   13   0.00058   0.07719         .         .         .
1981   14   0.00373   0.05137         .         .         .
1981   15   0.01237   0.06137   0.18135         .         .
1981   16   0.03111   0.07790   0.16090   0.00000         .
1981   17   0.05731   0.09976   0.14089   0.00274         .
1981   18   0.10221   0.13798   0.13053   0.05963         .
1981   19   0.17206   0.16921   0.11602   0.16270   0.04798
1981   20   0.23312   0.18091   0.09989   0.11508   0.04826
