Bulgaria, Conditional fertility rates by calendar year, age and birth order (based on parity distribution from population census)
Last modified: 01/12/2022
Year  Age       m1x       m2x       m3x       m4x      m5px
2001   12-  0.00010         .         .         .         .
2001   13   0.00121   0.03626         .         .         .
2001   14   0.00590   0.03393   0.00000         .         .
2001   15   0.01483   0.07046   0.00000         .         .
2001   16   0.02695   0.11319   0.07782   0.00000         .
2001   17   0.03472   0.14198   0.09098   0.03986         .
2001   18   0.04710   0.14186   0.09759   0.07491   0.19476
2001   19   0.06372   0.14207   0.11532   0.06462   0.06968
2001   20   0.07530   0.12006   0.11715   0.16271   0.07731
2001   21   0.08016   0.10971   0.10331   0.11719   0.15450
2001   22   0.08356   0.09503   0.08222   0.14148   0.15166
2001   23   0.08948   0.08327   0.06322   0.13234   0.19301
2001   24   0.09741   0.07820   0.04979   0.11445   0.19225
2001   25   0.10694   0.07123   0.03718   0.10413   0.19372
2001   26   0.11109   0.06877   0.03014   0.07796   0.17355
2001   27   0.11718   0.06606   0.02306   0.08302   0.18090
2001   28   0.10860   0.06258   0.01787   0.06566   0.15073
2001   29   0.09928   0.05890   0.01284   0.05927   0.14989
2001   30   0.09794   0.05360   0.00974   0.04715   0.13207
2001   31   0.08812   0.04475   0.00919   0.02956   0.12767
2001   32   0.07172   0.03926   0.00750   0.02154   0.10799
2001   33   0.06954   0.03457   0.00599   0.02143   0.08912
2001   34   0.05360   0.02658   0.00459   0.01884   0.09305
2001   35   0.05175   0.02021   0.00395   0.01560   0.06052
2001   36   0.04377   0.01421   0.00322   0.01121   0.05405
2001   37   0.03889   0.01293   0.00334   0.00969   0.04626
2001   38   0.02662   0.00726   0.00212   0.00986   0.03491
2001   39   0.02279   0.00562   0.00155   0.00478   0.02757
2001   40   0.01457   0.00424   0.00145   0.00524   0.01878
2001   41   0.00950   0.00218   0.00059   0.00370   0.01288
2001   42   0.00807   0.00122   0.00060   0.00233   0.01005
2001   43   0.00373   0.00122   0.00042   0.00151   0.00253
2001   44   0.00158   0.00017   0.00021   0.00018   0.00101
2001   45   0.00063   0.00026   0.00000   0.00018   0.00099
2001   46   0.00131   0.00026   0.00003   0.00000   0.00049
2001   47   0.00034   0.00009   0.00000   0.00000   0.00000
2001   48   0.00000   0.00000   0.00000   0.00000   0.00000
2001   49   0.00071   0.00000   0.00000   0.00018   0.00000
2001   50   0.00000   0.00000   0.00000   0.00017   0.00000
2001   51   0.00000   0.00000   0.00000   0.00000   0.00000
2001   52   0.00000   0.00000   0.00000   0.00000   0.00000
2001   53   0.00000   0.00000   0.00000   0.00000   0.00000
2001   54   0.00000   0.00000   0.00000   0.00000   0.00000
2001   55+  0.00000   0.00000   0.00000   0.00000   0.00000
2011   12-  0.00016         .         .         .         .
2011   13   0.00203   0.00000         .         .         .
2011   14   0.00879   0.03700   0.00000         .         .
2011   15   0.02072   0.05176   0.03920   0.00000         .
2011   16   0.03111   0.08619   0.03242   0.00000         .
2011   17   0.03537   0.13061   0.09857   0.02390   0.00000
2011   18   0.03485   0.13833   0.09489   0.09015   0.07860
2011   19   0.04005   0.15130   0.14123   0.10096   0.07428
2011   20   0.04946   0.13726   0.11941   0.18936   0.09842
2011   21   0.04931   0.12376   0.11966   0.17720   0.15156
2011   22   0.05524   0.09908   0.09848   0.16571   0.24236
2011   23   0.06348   0.09294   0.07667   0.15713   0.23611
2011   24   0.07475   0.08650   0.06319   0.13606   0.20024
2011   25   0.09043   0.08841   0.05101   0.12577   0.17677
2011   26   0.10419   0.08856   0.04186   0.11102   0.17563
2011   27   0.11187   0.08123   0.03490   0.10046   0.17549
2011   28   0.11559   0.08795   0.03260   0.08439   0.17340
2011   29   0.12114   0.09009   0.02302   0.05696   0.17717
2011   30   0.12128   0.09073   0.02023   0.05295   0.17637
2011   31   0.11355   0.08251   0.01588   0.04776   0.12076
2011   32   0.11210   0.08338   0.01409   0.04220   0.14099
2011   33   0.09770   0.07594   0.01479   0.03211   0.10928
2011   34   0.08452   0.06733   0.01228   0.02595   0.08800
2011   35   0.07315   0.05353   0.00937   0.01990   0.08169
2011   36   0.06071   0.04302   0.00900   0.02220   0.08039
2011   37   0.05349   0.03305   0.00739   0.01282   0.08635
2011   38   0.04423   0.02153   0.00631   0.01167   0.05633
2011   39   0.03338   0.01567   0.00484   0.00937   0.04928
2011   40   0.02424   0.01073   0.00312   0.00549   0.04139
2011   41   0.01505   0.00564   0.00185   0.00693   0.02973
2011   42   0.01114   0.00409   0.00095   0.00163   0.01268
2011   43   0.00571   0.00193   0.00075   0.00138   0.00853
2011   44   0.00351   0.00118   0.00022   0.00000   0.00519
2011   45   0.00257   0.00040   0.00022   0.00034   0.00343
2011   46   0.00230   0.00023   0.00012   0.00000   0.00000
2011   47   0.00064   0.00000   0.00000   0.00000   0.00000
2011   48   0.00108   0.00016   0.00000   0.00000   0.00000
2011   49   0.00065   0.00000   0.00000   0.00000   0.00000
2011   50   0.00000   0.00009   0.00000   0.00000   0.00000
2011   51   0.00024   0.00000   0.00000   0.00000   0.00000
2011   52   0.00000   0.00000   0.00000   0.00000   0.00000
2011   53   0.00025   0.00009   0.00000   0.00000   0.00000
2011   54   0.00000   0.00000   0.00000   0.00000   0.00000
2011   55+  0.00000   0.00000   0.00000   0.00000   0.00000
