Bulgaria, Period fertility tables, birth orders 1 to 5+
Last modified: 01/12/2022
Year     x       w0x       m1x       q1x     l0x    b1x     L0x   Sb1x       w1x       m2x       q2x    l1x    b2x     L1x   Sb2x       w2x       m3x       q3x    l2x    b3x     L2x   Sb3x       w3x       m4x       q4x    l3x    b4x     L3x   Sb4x       w4x      m5px      q5px    l4x   b5px     L4x  Sb5px
1977    12-  1.00000   0.00000   0.00000   10000      0   10000      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1977    13   0.99988   0.00024   0.00024   10000      2    9999      0   0.00012   0.06741   0.06521      0      0       1      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1977    14   0.99782   0.00387   0.00386    9998     39    9978      2   0.00214   0.04169   0.04084      2      1      22      0   0.00004         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1977    15   0.99028   0.01131   0.01125    9959    112    9903     41   0.00946   0.04562   0.04460     40      4      95      1   0.00027   0.00000   0.00000      1      0       2      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1977    16   0.96984   0.03050   0.03004    9847    296    9699    153   0.02876   0.07126   0.06881    148     21     290      5   0.00140   0.00000   0.00000      5      0      10      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1977    17   0.92825   0.05744   0.05584    9551    533    9285    449   0.06611   0.10344   0.09835    423     69     669     26   0.00562   0.00181   0.00181     26      0      47      0   0.00002         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1977    18   0.85822   0.10217   0.09720    9018    877    8580    982   0.12331   0.15483   0.14371    887    195    1262     95   0.01797   0.04456   0.04359     95      7     157      0   0.00047   0.12623   0.11873      0      0       2      0   0.00003         .         .      0      0       0      0
1977    19   0.75348   0.17306   0.15927    8141   1297    7493   1859   0.19945   0.19600   0.17851   1568    407    2077    291   0.04203   0.18987   0.17340    283     76     399      7   0.00467   0.12933   0.12147      7      4      31      0   0.00037   0.31757   0.27405      0      0       1      0
1977    20   0.62407   0.24049   0.21468    6845   1469    6110   3155   0.28262   0.21143   0.19121   2458    625    2958    698   0.07910   0.13340   0.12506    615    108     811     83   0.01298   0.09482   0.09053     79     11     113      4   0.00122   0.20345   0.18467      4      2       8      0
1977    21   0.49317   0.27155   0.23909    5375   1285    4733   4625   0.35238   0.21130   0.19111   3302    767    3629   1323   0.12969   0.10414   0.09899   1132    145    1391    191   0.02206   0.10013   0.09536    176     22     224     15   0.00271   0.17357   0.15971     15      4      23      2
1977    22   0.37577   0.28716   0.25111    4090   1027    3577   5910   0.39558   0.21348   0.19289   3820    847    3965   2090   0.19248   0.07852   0.07555   1754    161    2056    336   0.03095   0.10720   0.10175    298     37     350     37   0.00521   0.14954   0.13914     37      8      53      6
1977    23   0.28307   0.28551   0.24984    3063    765    2680   6937   0.40745   0.21912   0.19749   4001    874    3988   2936   0.25914   0.06273   0.06082   2439    173    2760    497   0.04152   0.10378   0.09866    422     49     476     75   0.00883   0.13325   0.12493     75     13      96     14
