Bulgaria, Census-based period fertility tables, birth orders 1 to 5+
Last modified: 01/12/2022
Year     x       w0x       m1x       q1x     l0x    b1x     L0x   Sb1x       w1x       m2x       q2x    l1x    b2x     L1x   Sb2x       w2x       m3x       q3x    l2x    b3x     L2x   Sb3x       w3x       m4x       q4x    l3x    b4x     L3x   Sb4x       w4x      m5px      q5px    l4x   b5px     L4x  Sb5px
2001    12-  1.00000   0.00010   0.00010   10000      1   10000      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
2001    13   0.99887   0.00121   0.00121    9999     12    9993      1   0.00109   0.03626   0.03561      1      0       7      0   0.00004         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
2001    14   0.99519   0.00590   0.00588    9987     59    9958     13   0.00462   0.03393   0.03337     13      1      42      0   0.00019   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
2001    15   0.98558   0.01483   0.01472    9928    146    9855     72   0.01356   0.07046   0.06807     70     10     141      2   0.00085   0.00000   0.00000      2      0       4      0   0.00001         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
2001    16   0.96861   0.02695   0.02659    9782    260    9652    218   0.02845   0.11319   0.10712    206     37     325     12   0.00278   0.07782   0.07490     12      2      22      0   0.00016   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0
2001    17   0.94259   0.03472   0.03413    9522    325    9359    478   0.04977   0.14198   0.13256    430     80     564     48   0.00713   0.09098   0.08703     47      7      73      2   0.00048   0.03986   0.03908      2      0       4      0   0.00004         .         .      0      0       0      0
2001    18   0.90564   0.04710   0.04602    9197    423    8985    803   0.07844   0.14186   0.13247    675    119     841    128   0.01454   0.09759   0.09305    120     16     159      8   0.00128   0.07491   0.07220      8      1      14      0   0.00010   0.19476   0.17748      0      0       0      0
2001    19   0.85884   0.06372   0.06175    8774    542    8503   1226   0.11291   0.14207   0.13265    978    168    1184    248   0.02504   0.11532   0.10904    224     32     277     24   0.00293   0.06462   0.06260     23      2      34      1   0.00027   0.06968   0.06733      1      0       2      0
2001    20   0.80150   0.07530   0.07257    8232    597    7933   1768   0.15431   0.12006   0.11326   1352    189    1574    416   0.03832   0.11715   0.11067    360     49     417     56   0.00514   0.16271   0.15047     52     11      68      3   0.00072   0.07731   0.07444      3      1       7      0
2001    21   0.73584   0.08016   0.07707    7635    588    7340   2365   0.20046   0.10971   0.10400   1760    215    1963    605   0.05378   0.10331   0.09823    500     59     567    105   0.00852   0.11719   0.11070     90     13     110     15   0.00141   0.15450   0.14342     15      3      19      1
2001    22   0.67159   0.08356   0.08021    7046    565    6764   2954   0.24226   0.09503   0.09072   2133    220    2319    820   0.07119   0.08222   0.07897    657     60     728    163   0.01235   0.14148   0.13214    136     22     153     27   0.00261   0.15166   0.14097     27      6      36      4
2001    23   0.60592   0.08948   0.08565    6481    555    6204   3519   0.28079   0.08327   0.07994   2478    221    2657   1041   0.09329   0.06322   0.06128    818     56     892    223   0.01588   0.13234   0.12412    174     25     188     49   0.00412   0.19301   0.17602     49     12      60      9
2001    24   0.53532   0.09741   0.09289    5926    550    5651   4074   0.31995   0.07820   0.07525   2812    233    2981   1262   0.11928   0.04979   0.04858    983     53    1064    279   0.01957   0.11445   0.10825    206     25     218     74   0.00587   0.19225   0.17539     74     16      85     21
2001    25   0.46359   0.10694   0.10151    5375    546    5103   4625   0.35822   0.07123   0.06879   3129    235    3295   1495   0.14765   0.03718   0.03650   1163     46    1249    332   0.02287   0.10413   0.09897    234     25     243     99   0.00766   0.19372   0.17661     99     21     110     37
2001    26   0.39404   0.11109   0.10525    4830    508    4576   5170   0.38830   0.06877   0.06649   3440    246    3580   1730   0.18257   0.03014   0.02969   1351     44    1445    379   0.02558   0.07796   0.07504    255     21     265    124   0.00951   0.17355   0.15969    124     23     134     59
2001    27   0.33052   0.11718   0.11069    4321    478    4082   5679   0.40483   0.06606   0.06394   3702    253    3823   1976   0.22343   0.02306   0.02280   1554     38    1654    422   0.02928   0.08302   0.07971    278     24     284    145   0.01194   0.18090   0.16590    145     28     156     82
2001    28   0.27501   0.10860   0.10301    3843    396    3645   6157   0.40859   0.06258   0.06068   3928    251    4007   2229   0.26759   0.01787   0.01771   1768     33    1872    461   0.03452   0.06566   0.06357    292     20     299    169   0.01429   0.15073   0.14016    169     27     178    110
2001    29   0.22964   0.09928   0.09458    3447    326    3284   6553   0.40458   0.05890   0.05722   4073    243    4120   2479   0.31120   0.01284   0.01276   1985     27    2089    494   0.03865   0.05927   0.05756    306     18     310    188   0.01592   0.14989   0.13944    188     30     197    137
2001    30   0.19284   0.09794   0.09337    3121    291    2976   6879   0.39344   0.05360   0.05220   4157    225    4194   2722   0.35361   0.00974   0.00969   2201     22    2299    521   0.04286   0.04715   0.04606    314     15     318    206   0.01725   0.13207   0.12389    206     28     214    166
2001    31   0.16443   0.08812   0.08440    2830    239    2710   7170   0.37318   0.04475   0.04377   4223    190    4250   2947   0.39438   0.00919   0.00915   2404     23    2485    543   0.04870   0.02956   0.02913    322     10     328    221   0.01932   0.12767   0.12001    221     29     226    195
2001    32   0.14218   0.07172   0.06924    2591    179    2501   7409   0.34814   0.03926   0.03851   4272    168    4279   3137   0.43350   0.00750   0.00747   2571     20    2644    566   0.05446   0.02154   0.02131    335      7     341    231   0.02173   0.10799   0.10246    231     25     235    223
2001    33   0.12482   0.06954   0.06720    2412    162    2331   7588   0.32377   0.03457   0.03398   4283    148    4292   3305   0.46781   0.00599   0.00597   2719     17    2784    586   0.05967   0.02143   0.02121    347      8     352    239   0.02393   0.08912   0.08532    239     22     242    249
2001    34   0.11171   0.05360   0.05220    2249    117    2191   7751   0.30144   0.02658   0.02623   4297    114    4299   3453   0.49542   0.00459   0.00458   2851     13    2901    603   0.06538   0.01884   0.01866    357      7     360    246   0.02604   0.09305   0.08891    246     23     249    270
2001    35   0.10039   0.05175   0.05044    2132    108    2078   7868   0.27930   0.02021   0.02001   4300     87    4311   3568   0.52169   0.00395   0.00394   2952     12    2989    616   0.07087   0.01560   0.01548    363      6     366    253   0.02774   0.06052   0.05874    253     15     256    294
2001    36   0.09016   0.04377   0.04283    2025     87    1981   7975   0.26125   0.01421   0.01411   4321     62    4334   3655   0.54373   0.00322   0.00321   3027     10    3053    628   0.07567   0.01121   0.01114    369      4     372    259   0.02920   0.05405   0.05263    259     14     261    309
2001    37   0.08335   0.03889   0.03815    1938     74    1901   8062   0.24922   0.01293   0.01285   4346     56    4355   3716   0.55828   0.00334   0.00333   3079     10    3102    638   0.07957   0.00969   0.00964    375      4     378    263   0.02958   0.04626   0.04522    263     12     265    323
2001    38   0.07782   0.02662   0.02628    1864     49    1839   8136   0.23884   0.00726   0.00723   4363     32    4372   3773   0.57042   0.00212   0.00211   3125      7    3137    648   0.08255   0.00986   0.00981    382      4     383    266   0.03037   0.03491   0.03431    266      9     268    335
2001    39   0.07259   0.02279   0.02253    1815     41    1794   8185   0.22887   0.00562   0.00561   4381     25    4389   3804   0.58208   0.00155   0.00155   3150      5    3160    655   0.08498   0.00478   0.00477    384      2     386    270   0.03149   0.02757   0.02719    270      7     271    345
2001    40   0.06882   0.01457   0.01447    1774     26    1761   8226   0.21923   0.00424   0.00423   4397     19    4400   3829   0.59228   0.00145   0.00145   3170      5    3177    659   0.08746   0.00524   0.00522    387      2     389    272   0.03220   0.01878   0.01860    272      5     273    352
2001    41   0.06440   0.00950   0.00945    1748     17    1740   8252   0.21240   0.00218   0.00218   4404     10    4407   3848   0.59932   0.00059   0.00059   3184      2    3188    664   0.09063   0.00370   0.00369    390      1     390    274   0.03324   0.01288   0.01280    274      4     275    357
