Bulgaria, Period table mean ages at birth by birth order
Last modified: 01/12/2022
Year     TMAB    TMAB1    TMAB2    TMAB3    TMAB4   TMAB5p
1977    24.03    21.78    24.98    26.86    28.63    31.90
1978    23.95    21.78    25.00    26.74    28.42    31.61
1979    23.86    21.70    24.91    26.56    28.29    31.74
1980    23.83    21.73    25.02    26.67    28.16    31.58
1981    23.89    21.87    25.15    26.73    28.16    31.40
1982    23.80    21.77    25.03    26.63    27.96    31.45
1983    23.91    21.92    25.09    26.69    27.97    31.20
1984    23.94    21.96    25.10    26.75    28.02    31.11
1985    23.99    22.03    25.14    26.67    27.91    31.06
1986    23.97    22.04    25.10    26.80    28.15    31.14
1987    24.01    22.19    25.11    26.92    28.06    30.89
1988    24.00    22.21    25.07    26.73    27.85    30.84
1989    24.07    22.33    25.21    26.74    27.87    30.95
1990    24.15    22.46    25.44    26.79    27.76    30.70
1991    24.04    22.44    25.52    26.68    27.75    30.58
1992    24.16    22.63    25.80    26.79    27.59    30.89
1993    24.40    23.00    26.01    26.55    27.21    30.37
1994    24.70    23.44    26.31    26.35    26.99    30.38
1995    25.03    23.96    26.64    26.58    27.31    30.47
1996    25.16    24.13    26.69    26.63    27.18    30.36
1997    25.44    24.52    27.13    27.03    27.49    30.75
1998    25.49    24.54    27.24    26.72    27.36    30.36
1999    25.40    24.41    26.82    26.33    27.23    30.56
2000    25.65    24.66    27.15    26.60    27.53    30.64
2001    25.82    24.95    27.29    26.51    27.69    30.92
2002    26.01    25.16    27.46    26.50    27.58    30.88
2003    26.18    25.36    27.57    26.63    27.64    31.01
2004    26.22    25.38    27.55    26.68    27.40    31.00
2005    26.41    25.46    27.93    27.17    27.65    31.09
2006    26.48    25.52    27.97    27.06    27.41    30.83
2007    26.66    25.61    28.16    27.38    27.81    30.95
2008    26.65    25.43    28.31    27.70    28.06    31.10
2009    26.75    25.48    28.23    27.61    27.71    31.02
2010    27.24    26.10    28.74    28.08    28.23    31.32
2011    27.39    26.36    28.79    28.08    27.99    31.51
2012    27.44    26.41    28.81    28.10    28.22    31.58
2013    27.51    26.57    28.77    27.99    28.24    31.29
2014    27.62    26.61    28.91    28.36    28.45    31.48
2015    27.78    26.84    28.98    28.60    28.36    31.61
2016    27.87    26.84    29.13    29.00    28.81    31.56
2017    27.92    26.88    29.18    29.01    28.99    31.76
2018    28.01    27.00    29.19    29.08    29.24    31.78
2019    28.01    26.96    29.20    29.15    29.37    31.82
2020    28.12    27.14    29.28    29.20    29.28    31.85
2021    28.17    27.20    29.28    29.24    29.16    31.61
