Bulgaria, Cohort parity progression ratios
Last modified: 01/12/2022
Cohort   PPR0_1    PPR1_2    PPR2_3    PPR3_4
1932      0.906     0.806     0.302     0.405
1933      0.914     0.807     0.293     0.402
1934      0.917     0.805     0.287     0.397
1935      0.918     0.806     0.283     0.392
1936      0.919     0.815     0.280     0.386
1937      0.921     0.820     0.278     0.375
1938      0.924     0.818     0.278     0.364
1939      0.934     0.816     0.280     0.352
1940      0.953     0.813     0.280     0.339
1941      0.963     0.812     0.278     0.326
1942      0.965     0.815     0.273     0.314
1943      0.959     0.824     0.267     0.308
1944      0.967     0.820     0.260     0.301
1945      0.971     0.816     0.254     0.297
1946      0.959     0.826     0.249     0.297
1947      0.959     0.830     0.243     0.296
1948      0.973     0.821     0.240     0.294
1949      0.984     0.816     0.238     0.292
1950      0.976     0.821     0.240     0.286
1951      0.962     0.824     0.242     0.283
1952      0.966     0.818     0.238     0.284
1953      0.970     0.811     0.233     0.284
1954      0.975     0.808     0.230     0.286
1955      0.971     0.808     0.232     0.283
1956      0.974     0.806     0.230     0.280
1957      0.980     0.800     0.229     0.281
1958      0.979     0.792     0.225     0.285
1959      0.974     0.784     0.217     0.292
1960      0.963     0.777     0.211     0.291
1961      0.947     0.774     0.203     0.294
1962      0.939     0.769     0.201     0.296
1963      0.938     0.756     0.200     0.292
1964      0.945     0.740     0.194     0.301
1965      0.945     0.718     0.197     0.310
1966      0.956     0.680     0.196     0.311
1967      0.969     0.647     0.191     0.318
1968      0.965     0.628     0.189     0.319
1969      0.944     0.615     0.192     0.315
1970      0.942     0.601     0.187     0.323
1971      0.939     0.591     0.186     0.331
