Bulgaria, Standard deviation in cohort mean ages at birth by birth order and standard deviation in cohort mean ages at birth by birth order by age 40
Last modified: 01/12/2022
Cohort   sdCMAB     sdCMAB1     sdCMAB2     sdCMAB3     sdCMAB4    sdCMAB5p    sdCMAB40  sdCMAB40_1  sdCMAB40_2  sdCMAB40_3  sdCMAB40_4 sdCMAB40_5p
1932       4.91        3.89        4.11        4.53        4.29        4.69        4.69        3.75        3.99        4.28        3.99        4.03
1933       4.88        3.85        4.07        4.54        4.27        4.57        4.67        3.73        3.96        4.30        3.97        3.91
1934       4.86        3.82        4.07        4.55        4.31        4.56        4.66        3.70        3.95        4.33        4.00        3.95
1935       4.85        3.81        4.09        4.57        4.34        4.59        4.66        3.69        3.97        4.34        4.01        3.99
1936       4.87        3.82        4.13        4.57        4.37        4.51        4.69        3.71        4.02        4.35        4.05        3.92
1937       4.86        3.82        4.15        4.53        4.37        4.47        4.70        3.71        4.06        4.34        4.08        3.93
1938       4.86        3.81        4.17        4.48        4.37        4.57        4.70        3.70        4.09        4.29        4.08        4.01
1939       4.86        3.81        4.19        4.43        4.38        4.73        4.70        3.70        4.11        4.23        4.09        4.17
1940       4.85        3.80        4.18        4.39        4.41        4.77        4.69        3.70        4.11        4.17        4.12        4.22
1941       4.80        3.79        4.16        4.32        4.42        4.72        4.66        3.69        4.09        4.09        4.14        4.19
1942       4.78        3.79        4.15        4.27        4.42        4.74        4.64        3.69        4.08        4.05        4.15        4.21
1943       4.76        3.80        4.15        4.28        4.47        4.72        4.61        3.70        4.06        4.06        4.14        4.21
1944       4.70        3.78        4.10        4.32        4.47        4.80        4.55        3.68        4.01        4.08        4.12        4.27
1945       4.65        3.76        4.05        4.36        4.50        4.74        4.50        3.65        3.96        4.12        4.13        4.20
1946       4.63        3.77        4.01        4.48        4.54        4.69        4.48        3.66        3.93        4.19        4.16        4.16
1947       4.61        3.78        4.01        4.55        4.48        4.75        4.46        3.67        3.92        4.28        4.19        4.18
1948       4.60        3.78        4.00        4.64        4.56        4.70        4.44        3.67        3.91        4.34        4.24        4.15
1949       4.57        3.79        3.97        4.58        4.60        4.63        4.42        3.68        3.89        4.33        4.26        4.08
1950       4.56        3.80        3.99        4.60        4.66        4.61        4.41        3.68        3.90        4.38        4.27        4.07
1951       4.58        3.82        4.03        4.74        4.73        4.71        4.43        3.71        3.94        4.49        4.34        4.15
1952       4.59        3.83        4.07        4.75        4.71        4.76        4.45        3.73        4.00        4.51        4.39        4.25
1953       4.56        3.80        4.10        4.69        4.72        4.76        4.43        3.70        4.02        4.47        4.38        4.29
1954       4.58        3.83        4.12        4.67        4.76        4.82        4.43        3.71        4.04        4.42        4.36        4.32
1955       4.56        3.83        4.10        4.71        4.70        4.84        4.41        3.71        4.03        4.44        4.36        4.37
1956       4.52        3.80        4.08        4.68        4.72        4.92        4.38        3.68        4.00        4.45        4.39        4.48
1957       4.51        3.83        4.05        4.68        4.74        4.91        4.36        3.69        3.97        4.45        4.44        4.46
1958       4.52        3.88        4.04        4.72        4.77        4.90        4.36        3.74        3.95        4.44        4.38        4.38
1959       4.53        3.93        4.04        4.67        4.81        5.01        4.36        3.78        3.95        4.40        4.36        4.42
1960       4.53        3.95        4.01        4.68        5.02        5.00        4.36        3.80        3.91        4.41        4.45        4.51
1961       4.56        4.01        3.99        4.74        5.04        5.13        4.36        3.84        3.88        4.39        4.53        4.52
1962       4.61        4.14        4.06        4.76        5.02        5.18        4.39        3.93        3.93        4.42        4.54        4.51
1963       4.67        4.21        4.15        4.92        5.09        5.18        4.42        3.97        3.99        4.56        4.64        4.56
1964       4.74        4.29        4.25        5.07        5.09        5.05        4.48        4.02        4.06        4.63        4.68        4.53
1965       4.86        4.41        4.39        5.25        5.18        5.13        4.56        4.10        4.18        4.76        4.70        4.61
1966       5.05        4.56        4.66        5.43        5.23        5.33        4.72        4.23        4.40        4.93        4.80        4.74
1967       5.29        4.78        4.96        5.60        5.32        5.22        4.91        4.41        4.64        5.04        4.89        4.69
1968       5.45        4.95        5.18        5.87        5.38        5.23        5.05        4.56        4.83        5.26        4.95        4.68
1969       5.66        5.14        5.44        6.12        5.50        5.30        5.24        4.74        5.08        5.49        4.99        4.63
1970       5.86        5.34        5.69        6.34        5.66        5.30        5.44        4.94        5.32        5.70        5.04        4.65
1971       6.03        5.53        5.88        6.39        5.53        5.29        5.62        5.13        5.52        5.80        5.04        4.65
1972          .           .           .           .           .           .        5.79        5.34        5.67        5.88        5.01        4.61
1973          .           .           .           .           .           .        5.89        5.46        5.76        5.86        4.99        4.56
1974          .           .           .           .           .           .        5.96        5.56        5.81        5.86        5.03        4.52
1975          .           .           .           .           .           .        6.01        5.65        5.83        5.89        5.03        4.49
1976          .           .           .           .           .           .        6.01        5.68        5.81        5.87        4.97        4.51
1977          .           .           .           .           .           .        6.00        5.68        5.78        5.88        4.92        4.39
1978          .           .           .           .           .           .        5.98        5.67        5.72        5.92        4.95        4.37
1979          .           .           .           .           .           .        5.96        5.63        5.69        5.91        4.95        4.35
1980          .           .           .           .           .           .        5.94        5.62        5.64        5.87        5.02        4.40
1981          .           .           .           .           .           .        5.92        5.62        5.63        5.86        4.99        4.33
