Bulgaria, Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 01/12/2022
Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
1947     2.829     0.957     0.812     0.448     0.246     0.365     2.737     0.953     0.806     0.440     0.236     0.303
1948     2.875     0.982     0.822     0.446     0.248     0.377     2.782     0.978     0.816     0.438     0.237     0.313
1949     2.869     0.974     0.830     0.438     0.250     0.377     2.777     0.971     0.824     0.430     0.239     0.314
1950     2.927     1.008     0.845     0.444     0.252     0.378     2.823     1.004     0.838     0.434     0.239     0.309
1951     2.424     0.901     0.685     0.355     0.194     0.289     2.348     0.898     0.679     0.347     0.186     0.238
1952     2.428     0.878     0.729     0.360     0.196     0.265     2.359     0.875     0.725     0.352     0.186     0.220
1953     2.411     0.908     0.726     0.338     0.184     0.255     2.340     0.905     0.721     0.329     0.174     0.209
1954     2.360     0.916     0.699     0.327     0.179     0.239     2.295     0.913     0.695     0.320     0.170     0.197
1955     2.380     0.959     0.715     0.305     0.166     0.235     2.318     0.956     0.712     0.299     0.158     0.193
1956     2.345     0.982     0.717     0.277     0.148     0.221     2.287     0.980     0.713     0.272     0.141     0.181
1957     2.254     0.987     0.703     0.244     0.127     0.193     2.206     0.985     0.700     0.241     0.121     0.160
1958     2.231     0.974     0.729     0.231     0.118     0.178     2.185     0.972     0.726     0.228     0.113     0.146
1959     2.235     1.022     0.734     0.217     0.106     0.156     2.196     1.020     0.731     0.214     0.102     0.129
1960     2.312     1.043     0.787     0.229     0.104     0.150     2.274     1.040     0.784     0.226     0.100     0.124
1961     2.291     1.004     0.825     0.224     0.100     0.138     2.257     1.002     0.822     0.220     0.096     0.116
1962     2.241     0.959     0.828     0.221     0.099     0.135     2.207     0.956     0.826     0.218     0.095     0.112
1963     2.211     0.956     0.823     0.214     0.093     0.125     2.181     0.953     0.820     0.211     0.090     0.107
1964     2.184     0.983     0.785     0.208     0.090     0.118     2.155     0.980     0.783     0.205     0.087     0.100
1965     2.086     0.945     0.744     0.193     0.086     0.119     2.061     0.942     0.741     0.191     0.084     0.103
1966     2.025     0.924     0.729     0.183     0.080     0.108     2.002     0.922     0.726     0.181     0.078     0.095
1967     2.022     0.940     0.721     0.181     0.078     0.101     2.000     0.937     0.718     0.180     0.076     0.089
1968     2.269     0.989     0.844     0.268     0.076     0.092     2.247     0.986     0.841     0.265     0.074     0.080
1969     2.268     0.974     0.853     0.282     0.075     0.085     2.248     0.971     0.850     0.279     0.073     0.074
1970     2.173     0.958     0.812     0.257     0.072     0.075     2.155     0.955     0.809     0.254     0.071     0.066
1971     2.102     0.959     0.773     0.227     0.072     0.071     2.084     0.957     0.770     0.224     0.071     0.063
1972     2.028     0.939     0.757     0.201     0.066     0.064     2.011     0.937     0.754     0.198     0.064     0.057
1973     2.148     0.983     0.830     0.202     0.069     0.064     2.132     0.981     0.828     0.200     0.067     0.057
1974     2.289     0.975     0.975     0.208     0.068     0.062     2.273     0.973     0.972     0.206     0.067     0.056
1975     2.226     0.968     0.922     0.210     0.066     0.060     2.211     0.966     0.919     0.208     0.065     0.054
1976     2.243     1.002     0.897     0.216     0.066     0.062     2.228     0.999     0.894     0.214     0.064     0.056
1977     2.206     1.002     0.876     0.207     0.064     0.057     2.192     1.000     0.873     0.205     0.062     0.052
1978     2.149     1.000     0.839     0.195     0.060     0.054     2.137     0.998     0.836     0.193     0.059     0.050
1979     2.155     1.020     0.826     0.198     0.058     0.054     2.143     1.017     0.823     0.196     0.057     0.049
1980     2.054     0.992     0.771     0.185     0.055     0.050     2.042     0.990     0.768     0.184     0.054     0.046
1981     2.003     0.982     0.744     0.176     0.053     0.048     1.992     0.979     0.742     0.174     0.052     0.044
1982     2.012     0.980     0.760     0.172     0.054     0.047     2.002     0.978     0.758     0.170     0.053     0.043
1983     2.006     0.942     0.789     0.176     0.053     0.046     1.996     0.940     0.787     0.174     0.052     0.043
1984     2.009     0.938     0.793     0.179     0.053     0.046     1.999     0.936     0.791     0.177     0.052     0.043
1985     1.978     0.924     0.772     0.181     0.054     0.047     1.968     0.922     0.770     0.179     0.053     0.044
1986     2.019     0.946     0.804     0.177     0.049     0.044     2.009     0.944     0.802     0.174     0.048     0.042
1987     1.965     0.916     0.790     0.170     0.047     0.041     1.955     0.914     0.788     0.168     0.046     0.039
1988     1.972     0.913     0.799     0.170     0.048     0.041     1.962     0.911     0.797     0.168     0.047     0.039
1989     1.889     0.899     0.740     0.163     0.047     0.040     1.880     0.897     0.738     0.161     0.046     0.037
