Bulgaria, Completed cohort fertility and completed cohort fertility by age 40
Last modified: 01/12/2022
Cohort     CCF     CCF40
1932     2.045     2.030
1933     2.049     2.034
1934     2.041     2.027
1935     2.032     2.019
1936     2.036     2.023
1937     2.039     2.027
1938     2.038     2.027
1939     2.052     2.041
1940     2.085     2.075
1941     2.094     2.084
1942     2.091     2.081
1943     2.078     2.068
1944     2.077     2.067
1945     2.072     2.062
1946     2.053     2.043
1947     2.051     2.041
1948     2.065     2.055
1949     2.076     2.067
1950     2.066     2.057
1951     2.043     2.034
1952     2.042     2.033
1953     2.035     2.027
1954     2.039     2.030
1955     2.031     2.022
1956     2.032     2.024
1957     2.036     2.028
1958     2.019     2.010
1959     1.990     1.980
1960     1.950     1.941
1961     1.909     1.899
1962     1.884     1.872
1963     1.868     1.855
1964     1.857     1.844
1965     1.833     1.818
1966     1.809     1.792
1967     1.792     1.772
1968     1.757     1.735
1969     1.705     1.681
1970     1.682     1.655
1971     1.663     1.635
1972         .     1.634
1973         .     1.627
1974         .     1.607
1975         .     1.604
1976         .     1.614
1977         .     1.622
1978         .     1.633
1979         .     1.635
1980         .     1.629
1981         .     1.630
