Bulgaria, Completed cohort fertility by birth order and completed cohort fertility by birth order by age 40
Last modified: 01/12/2022
Cohort     CCF      CCF1      CCF2      CCF3      CCF4     CCF5p     CCF40   CCF40_1   CCF40_2   CCF40_3   CCF40_4  CCF40_5p
1932     2.045     0.906     0.730     0.220     0.089     0.100     2.030     0.904     0.727     0.218     0.088     0.093
1933     2.049     0.914     0.738     0.216     0.087     0.093     2.034     0.912     0.735     0.214     0.085     0.087
1934     2.041     0.917     0.739     0.212     0.084     0.088     2.027     0.915     0.736     0.210     0.083     0.083
1935     2.032     0.918     0.740     0.209     0.082     0.083     2.019     0.916     0.737     0.207     0.081     0.078
1936     2.036     0.919     0.749     0.209     0.081     0.078     2.023     0.917     0.746     0.207     0.079     0.074
1937     2.039     0.921     0.755     0.210     0.079     0.074     2.027     0.919     0.753     0.208     0.077     0.071
1938     2.038     0.924     0.756     0.210     0.076     0.071     2.027     0.922     0.754     0.208     0.075     0.067
1939     2.052     0.934     0.762     0.213     0.075     0.069     2.041     0.932     0.759     0.211     0.074     0.065
1940     2.085     0.953     0.776     0.217     0.074     0.065     2.075     0.952     0.774     0.215     0.072     0.062
1941     2.094     0.963     0.782     0.217     0.071     0.060     2.084     0.961     0.780     0.215     0.070     0.057
1942     2.091     0.965     0.786     0.215     0.068     0.056     2.081     0.964     0.784     0.213     0.067     0.054
1943     2.078     0.959     0.790     0.211     0.065     0.053     2.068     0.957     0.788     0.209     0.064     0.050
1944     2.077     0.967     0.793     0.206     0.062     0.050     2.067     0.965     0.790     0.204     0.061     0.047
1945     2.072     0.971     0.793     0.201     0.060     0.047     2.062     0.969     0.790     0.199     0.059     0.045
1946     2.053     0.959     0.792     0.197     0.059     0.046     2.043     0.957     0.790     0.195     0.057     0.044
1947     2.051     0.959     0.795     0.193     0.057     0.046     2.041     0.957     0.793     0.191     0.056     0.044
1948     2.065     0.973     0.799     0.192     0.056     0.045     2.055     0.971     0.797     0.189     0.055     0.043
1949     2.076     0.984     0.802     0.191     0.056     0.043     2.067     0.982     0.800     0.189     0.055     0.041
1950     2.066     0.976     0.801     0.192     0.055     0.042     2.057     0.973     0.799     0.191     0.054     0.040
1951     2.043     0.962     0.793     0.192     0.054     0.042     2.034     0.960     0.791     0.190     0.053     0.040
1952     2.042     0.966     0.791     0.188     0.053     0.043     2.033     0.965     0.789     0.186     0.053     0.041
1953     2.035     0.970     0.787     0.183     0.052     0.042     2.027     0.969     0.785     0.182     0.051     0.040
1954     2.039     0.975     0.788     0.182     0.052     0.043     2.030     0.972     0.786     0.180     0.051     0.041
1955     2.031     0.971     0.784     0.182     0.051     0.043     2.022     0.969     0.783     0.180     0.050     0.041
1956     2.032     0.974     0.786     0.181     0.051     0.041     2.024     0.972     0.784     0.179     0.050     0.039
1957     2.036     0.980     0.785     0.180     0.050     0.041     2.028     0.978     0.783     0.178     0.050     0.039
1958     2.019     0.979     0.776     0.175     0.050     0.040     2.010     0.977     0.774     0.173     0.049     0.038
1959     1.990     0.974     0.764     0.166     0.048     0.038     1.980     0.971     0.762     0.164     0.047     0.036
1960     1.950     0.963     0.748     0.157     0.046     0.037     1.941     0.960     0.745     0.156     0.045     0.035
1961     1.909     0.947     0.733     0.149     0.044     0.036     1.899     0.944     0.731     0.147     0.043     0.034
1962     1.884     0.939     0.722     0.145     0.043     0.035     1.872     0.935     0.719     0.143     0.042     0.033
1963     1.868     0.938     0.710     0.142     0.041     0.036     1.855     0.934     0.707     0.140     0.041     0.034
1964     1.857     0.945     0.699     0.136     0.041     0.036     1.844     0.941     0.696     0.133     0.040     0.034
1965     1.833     0.945     0.678     0.133     0.041     0.035     1.818     0.939     0.674     0.131     0.040     0.034
1966     1.809     0.956     0.650     0.128     0.040     0.036     1.792     0.949     0.645     0.125     0.039     0.034
1967     1.792     0.969     0.628     0.120     0.038     0.037     1.772     0.962     0.621     0.117     0.037     0.035
1968     1.757     0.965     0.606     0.115     0.037     0.035     1.735     0.956     0.598     0.111     0.036     0.033
1969     1.705     0.944     0.581     0.111     0.035     0.034     1.681     0.935     0.573     0.108     0.034     0.032
1970     1.682     0.942     0.566     0.106     0.034     0.034     1.655     0.932     0.557     0.102     0.033     0.031
1971     1.663     0.939     0.554     0.103     0.034     0.033     1.635     0.928     0.544     0.099     0.033     0.030
1972         .         .         .         .         .         .     1.634     0.931     0.538     0.100     0.034     0.032
1973         .         .         .         .         .         .     1.627     0.933     0.531     0.097     0.032     0.033
1974         .         .         .         .         .         .     1.607     0.932     0.521     0.094     0.030     0.031
1975         .         .         .         .         .         .     1.604     0.931     0.521     0.094     0.029     0.030
1976         .         .         .         .         .         .     1.614     0.929     0.527     0.096     0.030     0.031
1977         .         .         .         .         .         .     1.622     0.928     0.531     0.099     0.032     0.032
1978         .         .         .         .         .         .     1.633     0.931     0.538     0.100     0.032     0.033
1979         .         .         .         .         .         .     1.635     0.930     0.540     0.101     0.032     0.032
1980         .         .         .         .         .         .     1.629     0.918     0.541     0.104     0.033     0.033
1981         .         .         .         .         .         .     1.630     0.913     0.543     0.106     0.033     0.035
